,root:Host-associated:Human:Digestive_system:Large_intestine:Fecal,root:Host-associated:Human:Digestive_system:Oral:Periodontal_pockets,root:Host-associated:Human:Digestive_system:Oral:Saliva,root:Host-associated:Human:Digestive_system:Oral:Subgingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Supragingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Throat,root:Host-associated:Human:Digestive_system:Oral:buccal_mucosa,root:Host-associated:Human:Digestive_system:Oral:tongue_dorsum,root:Host-associated:Human:Reproductive_system:Vagina:posterior_fornix,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Nasal_cavity,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Pharynx,root:Host-associated:Human:Respiratory_system:Pulmonary_system:Sputum,Unknown
ERR1912980,0.99763954,5.818974e-05,0.0002654791,0.00035965443,0.00016447902,2.3572678e-05,0.000103472106,0.00015547872,3.639036e-05,0.00010812855,8.24725e-05,6.133818e-05,0.000941813
ERR1385468,0.9959966,3.889648e-05,0.00019821525,0.00023290515,9.619785e-05,2.201047e-05,6.5329405e-05,0.00011025352,2.5817257e-05,7.122339e-05,6.595711e-05,6.24439e-05,0.0030141473
SRR6367291,0.00079867244,0.00015577674,0.8731715,0.0025536716,0.00042921305,0.00021103024,0.00020226836,0.0010773838,9.367577e-05,0.00013372302,2.1803367e-05,6.5252876e-05,0.12108606
SRR6394117,0.0057684183,2.228966e-05,0.00033131242,0.0005697608,0.00011508084,1.1805998e-05,7.002782e-05,8.739522e-05,1.0800287e-05,5.476141e-05,0.00016871095,0.00014558434,0.9926441
ERR500213,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
ERR719404,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
ERR1314451,0.9976821,6.0271286e-05,0.00026485324,0.0003604591,0.00016516447,2.4053705e-05,0.00010487907,0.00015893579,3.7144564e-05,0.00011060801,8.240323e-05,6.400304e-05,0.000885129
DRR030451,6.23371e-05,0.00042778254,0.0006965995,0.008647889,0.96342444,0.00019416213,0.0123099685,0.0010327697,0.00020688772,0.00038072467,0.00024178624,0.0005335212,0.011841118
SRR5468015,0.00027552247,1.7396991e-05,0.00036987662,9.3244555e-05,0.000680238,3.762035e-05,0.00015300512,4.8618094e-05,2.9403504e-05,0.00013157725,0.00022730231,7.122726e-05,0.99786496
ERR1310820,0.9976397,5.8187856e-05,0.00026538968,0.00035977364,0.00016450882,2.3571487e-05,0.000103472106,0.00015547872,3.639088e-05,0.0001081301,8.2474624e-05,6.133268e-05,0.0009416342
SRR7449441,0.0002834797,2.0222727e-05,0.00037145615,0.00010474613,0.0005658567,4.8261696e-05,0.0002527833,4.9551287e-05,3.9765222e-05,0.00015807152,0.00033140182,7.0957016e-05,0.99770343
ERR1701208,0.00010149381,0.00032794478,0.028427066,0.0016222001,0.0025727155,8.525902e-05,0.0004884005,4.1494943e-05,5.1801497e-05,0.00013872983,7.3048686e-05,5.1624203e-05,0.96601826
ERR450794,0.002684474,2.2104286e-05,0.0002488792,0.00035709143,0.0002695918,2.2302163e-05,8.7394976e-05,4.5906447e-05,1.8128763e-05,9.800513e-05,0.0002424717,0.00025194883,0.9956517
ERR441382,0.0008807638,0.00016015231,0.002780063,0.00068681897,0.0046897987,0.00035279628,0.00013318924,0.98834455,0.00019601436,0.00041103887,0.0010280554,0.00033677218,0.0
