,root:Engineered,root:Environmental,root:Host-associated,Unknown
ERR309302,4.5729837e-05,0.00027768075,0.99967664,0.0
ERR309367,4.5765097e-05,0.000277353,0.9996769,0.0
ERR309258,4.5618694e-05,0.0002769359,0.9996775,0.0
ERR309326,4.5604687e-05,0.00027678692,0.9996776,0.0
ERR309522,4.5752524e-05,0.00027756157,0.9996767,0.0
ERR309373,4.560477e-05,0.00027684652,0.9996776,0.0
ERR308775,4.560468e-05,0.0002768465,0.9996776,0.0
ERR309013,4.5604425e-05,0.00027678692,0.99967766,0.0
ERR308365,4.562182e-05,0.0002768465,0.9996775,0.0
ERR308496,4.563444e-05,0.00027705505,0.99967736,0.0
ERR308797,4.5703073e-05,0.00027756157,0.99967676,0.0
ERR309659,4.563262e-05,0.0002769061,0.9996775,0.0
ERR309127,4.58333e-05,0.00027824682,0.99967587,0.0
ERR309389,4.5637924e-05,0.00027684652,0.9996775,0.0
ERR308841,4.5604513e-05,0.00027678692,0.9996776,0.0
ERR308758,4.5653593e-05,0.00027687626,0.9996774,0.0
ERR309284,4.5621124e-05,0.00027690607,0.9996774,0.0
ERR308770,4.5698813e-05,0.00027711468,0.99967724,0.0
ERR309395,4.5726087e-05,0.00027774033,0.9996766,0.0
ERR308726,4.5604946e-05,0.00027681672,0.9996776,0.0
ERR308790,4.5629564e-05,0.00027693587,0.9996775,0.0
ERR309353,4.5630262e-05,0.00027702528,0.99967736,0.0
ERR308345,4.5608245e-05,0.00027687626,0.9996775,0.0
ERR309061,4.560512e-05,0.00027681672,0.9996776,0.0
ERR309482,4.5604513e-05,0.00027678692,0.9996776,0.0
ERR308501,4.5644105e-05,0.0002769359,0.9996775,0.0
ERR309532,4.5604687e-05,0.0002767571,0.99967766,0.0
ERR308305,4.5607383e-05,0.00027681672,0.9996776,0.0
ERR309117,4.5609297e-05,0.0002767571,0.9996776,0.0
ERR309300,4.560477e-05,0.0002767571,0.9996776,0.0
ERR309786,4.5604513e-05,0.0002767571,0.99967766,0.0
ERR309713,4.566718e-05,0.00027720406,0.9996771,0.0
ERR309313,4.56066e-05,0.0002767571,0.9996776,0.0
ERR309817,4.56133e-05,0.00027681672,0.9996776,0.0
ERR309503,4.575227e-05,0.00027711465,0.9996771,0.0
ERR309700,4.5641576e-05,0.00027711465,0.9996773,0.0
ERR308908,4.5650457e-05,0.00027696567,0.99967736,0.0
ERR308402,4.560782e-05,0.00027681672,0.9996776,0.0
ERR308778,4.5604513e-05,0.00027678692,0.9996776,0.0
ERR309101,4.5604513e-05,0.00027684652,0.9996776,0.0
ERR308507,4.5612866e-05,0.00027687632,0.99967754,0.0
ERR309207,4.5642013e-05,0.00027714446,0.99967724,0.0
ERR308326,4.563922e-05,0.00027714443,0.99967724,0.0
ERR308836,4.5730703e-05,0.0002779787,0.9996763,0.0
ERR308341,4.5604425e-05,0.00027678692,0.9996776,0.0
ERR309849,4.5651683e-05,0.00027687632,0.9996775,0.0
ERR308833,4.569985e-05,0.0002773232,0.99967694,0.0
ERR308383,4.560729e-05,0.0002768167,0.9996776,0.0
ERR309710,4.560425e-05,0.00027678692,0.99967766,0.0
ERR308964,4.563131e-05,0.0002769657,0.9996774,0.0
ERR309080,4.56374e-05,0.00027705505,0.9996773,0.0
ERR309268,4.560425e-05,0.00027678692,0.99967766,0.0
ERR308629,4.560477e-05,0.0002767571,0.99967766,0.0
ERR309336,4.560468e-05,0.00027675708,0.9996776,0.0
ERR308434,4.5727575e-05,0.0002774722,0.9996768,0.0
ERR309808,4.5684592e-05,0.00027726358,0.999677,0.0
ERR1598845,4.5605033e-05,0.00027684652,0.9996776,0.0
ERR1598919,4.560425e-05,0.00027678692,0.99967766,0.0
ERR1598949,4.5614954e-05,0.00027684652,0.9996776,0.0
ERR1598420,4.560425e-05,0.00027678692,0.99967766,0.0
ERR1599031,4.5616605e-05,0.00027681672,0.9996776,0.0
ERR1599609,4.5607994e-05,0.0002767571,0.9996776,0.0
ERR1599113,4.5604338e-05,0.00027678692,0.99967766,0.0
ERR1599073,4.5604946e-05,0.0002767571,0.9996776,0.0
ERR1598579,4.5604338e-05,0.0002767571,0.9996776,0.0
ERR1599589,4.5800647e-05,0.0002770551,0.9996771,0.0
ERR1599232,4.560477e-05,0.00027684652,0.9996776,0.0
ERR1599124,4.560425e-05,0.00027678692,0.99967766,0.0
ERR1598126,4.560425e-05,0.00027678692,0.99967766,0.0
ERR1599566,4.560425e-05,0.00027678692,0.99967766,0.0
ERR1598776,4.560486e-05,0.00027678692,0.9996776,0.0
ERR1598902,4.560425e-05,0.00027678692,0.99967766,0.0
ERR1598628,4.5604338e-05,0.00027678692,0.9996776,0.0
ERR1598638,4.560425e-05,0.00027678692,0.99967766,0.0
ERR1599257,4.5616864e-05,0.00027684652,0.9996776,0.0
ERR1598286,4.5604338e-05,0.00027678692,0.9996776,0.0
ERR1598520,4.560425e-05,0.00027678692,0.99967766,0.0
