,root:Host-associated:Birds:Digestive_system:Ceca,root:Host-associated:Human:Digestive_system:Large_intestine,root:Host-associated:Human:Digestive_system:Oral,root:Host-associated:Human:Reproductive_system:Female,root:Host-associated:Human:Reproductive_system:Vagina,root:Host-associated:Human:Respiratory_system:Nasopharyngeal,root:Host-associated:Mammals:Digestive_system:Fecal,root:Host-associated:Mammals:Digestive_system:Stomach,Unknown
ERR309302,0.0015097617,0.006647646,8.171672e-06,0.00042037477,0.0026523985,2.5677396e-05,0.9859075,0.0028284278,0.0
ERR309367,0.00010615394,0.9045049,0.00014348204,0.0005288436,0.010536187,4.104516e-05,0.08410467,3.46991e-05,0.0
ERR309258,0.0014641504,0.007252327,8.172357e-06,0.0004039535,0.0025295515,2.4551524e-05,0.9851021,0.0032152168,0.0
ERR309326,6.408994e-05,0.62961704,3.5708355e-05,0.00048261392,0.0058926987,2.8892147e-05,0.3638611,1.7840961e-05,0.0
ERR309522,0.0015150573,0.008456676,9.1479815e-06,0.00044147795,0.0029310791,2.9740684e-05,0.98330635,0.003310405,0.0
ERR309373,0.0014493004,0.0073539135,8.1695825e-06,0.0003968576,0.0024948544,2.3945995e-05,0.98502517,0.0032477693,0.0
ERR308775,0.0014003181,0.005907968,7.641909e-06,0.00046932776,0.0027343237,2.8703509e-05,0.98772347,0.0017282563,0.0
ERR309013,0.0014291723,0.0071660015,8.023562e-06,0.00039764622,0.0024877288,2.4145189e-05,0.98531204,0.0031752551,0.0
ERR308365,0.0015338552,0.0060079726,8.053877e-06,0.00043467578,0.002658785,2.6927306e-05,0.9868076,0.0025221212,0.0
ERR308496,0.0015732186,0.0057411003,8.189955e-06,0.00045386667,0.0027048164,2.7751057e-05,0.98721516,0.0022758862,0.0
ERR308797,0.0017515722,0.0043594395,8.654795e-06,0.000518154,0.0029413402,3.1195752e-05,0.98887503,0.0015145285,0.0
ERR309659,0.0017003941,0.006247279,8.786336e-06,0.0004354881,0.0032261133,3.018453e-05,0.9856632,0.002688551,0.0
ERR309127,0.0025764406,0.0019086301,1.2569877e-05,0.00072053075,0.00444597,4.6971567e-05,0.9794791,0.0006746352,0.010135114
ERR309389,0.0050130785,0.0007017255,1.3908411e-05,0.00087204576,0.0060591996,8.1240585e-05,0.97138184,0.00014969707,0.015727282
