,root:Engineered:Food_production,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Birds,root:Host-associated:Fish,root:Host-associated:Human,root:Host-associated:Mammals,root:Host-associated:Plants,Unknown
ERR309302,4.594949e-05,0.0004668339,0.00015273163,1.6492042e-05,0.0003194942,0.0017059054,0.9972521,4.0511244e-05,0.0
ERR309367,5.2830943e-05,2.6389234e-06,2.223919e-05,3.2174037e-05,0.0010956256,0.97394615,0.024781836,6.654178e-05,0.0
ERR309258,2.4044508e-05,0.00047391653,0.00012185914,1.6316673e-05,0.0002862215,0.0016888082,0.9973585,3.0238403e-05,1.1920929e-07
ERR309326,2.8514267e-05,0.0002579093,6.162008e-05,1.969663e-05,0.0004300475,0.0043786764,0.9933816,2.3750832e-05,0.0014181733
ERR309522,2.2875902e-05,0.00028316278,6.8211775e-05,9.096638e-06,0.0005444843,0.012038554,0.98695064,8.304211e-05,0.0
ERR309373,3.6110858e-05,0.0004636057,0.00014072043,1.6236812e-05,0.00029103472,0.0016995796,0.99731714,3.550463e-05,0.0
ERR308775,4.5668556e-05,0.00046427432,0.00015088543,1.6726726e-05,0.00030537543,0.0017149105,0.99726224,3.982063e-05,0.0
ERR309013,2.2167365e-05,0.0004760623,0.00011859934,1.6311182e-05,0.0002848208,0.0016846955,0.99731576,2.9262457e-05,5.2332878e-05
ERR308365,3.7629732e-05,0.00046267026,0.00014280241,1.623375e-05,0.00029180196,0.0017007281,0.9973121,3.610133e-05,0.0
ERR308496,3.289678e-05,0.00046705702,0.00013560297,1.640028e-05,0.0002907821,0.001702084,0.99732083,3.431588e-05,0.0
ERR308797,0.00024467244,0.00042119846,0.0002740736,1.6174352e-05,0.00032371038,0.0017602608,0.9968833,7.661021e-05,0.0
ERR309659,2.8435894e-05,0.00041794777,0.00010695007,1.6507938e-05,0.00032496452,0.0026026964,0.9962462,2.7224e-05,0.00022906065
ERR309127,0.00025408357,0.00045907605,0.0002277529,2.4511266e-05,0.00032837476,0.0019312435,0.9966912,8.380746e-05,0.0
ERR309389,5.6990768e-05,0.00046022102,0.00016495398,1.638005e-05,0.00032091263,0.0017111667,0.9972253,4.4045897e-05,0.0
ERR308841,2.8619206e-05,0.0004694538,0.00012974495,1.6271188e-05,0.00028806715,0.0016924951,0.99734294,3.2383603e-05,0.0
ERR308758,0.0002830294,0.0004201701,0.0002841006,1.6553344e-05,0.00032007435,0.0017751228,0.9968203,8.07635e-05,0.0
ERR309284,6.3752435e-05,0.0004579251,0.00017149482,1.6420878e-05,0.00032163467,0.0017126845,0.99720997,4.6037676e-05,0.0
ERR308770,8.857788e-05,0.00043928405,0.00017813158,1.6136879e-05,0.00029763044,0.0021119104,0.996825,4.332226e-05,0.0
ERR309395,1.977919e-05,8.098095e-06,9.128377e-05,2.8999493e-06,0.00010174888,0.99854887,0.0008229315,9.531779e-05,0.00030905008
ERR308726,2.4132729e-05,0.00047385567,0.0001221462,1.6296462e-05,0.00028583332,0.0016873733,0.9973601,3.0271216e-05,0.0
ERR308790,3.517384e-05,0.00046310536,0.00013759382,1.623743e-05,0.0003075749,0.0017456656,0.997258,3.6677247e-05,0.0
ERR309353,0.00011823935,0.00043751198,0.00021231017,1.6270173e-05,0.00031187056,0.0017380792,0.99710834,5.7323137e-05,0.0
ERR308345,2.5732097e-05,0.00047294144,0.00012480647,1.633591e-05,0.0002880562,0.0016896258,0.9973514,3.112509e-05,0.0
ERR309061,4.4368735e-05,0.00045857194,0.00015118902,1.6207932e-05,0.00029403658,0.0017057697,0.99729127,3.8540395e-05,0.0
ERR309482,2.1781878e-05,0.00050219893,0.00012204662,1.6743053e-05,0.00029674172,0.0016555786,0.99717915,2.8414073e-05,0.00017732382
