,root:Diseases:Digestive System Diseases,root:Diseases:Hemic and Lymphatic Diseases,root:Infections:Bacterial Infections and Mycoses,Unknown
SRR5429226,0.081856556,0.73752,0.18062347,0.0
SRR5548347,0.024912477,0.000721246,0.0056076646,0.9687586
SRR5078789,0.014808625,0.0007047951,0.00318259,0.981304
SRR5637777,0.017747164,0.0006108582,0.004145652,0.9774963
SRR051715,0.9302454,0.003653288,0.0028690398,0.0632323
SRR961790,0.09589794,0.0003426671,0.0088143945,0.894945
SRR5549011,0.9222712,0.013768869,0.063959874,0.0
ERR525995,0.87485886,0.0018111765,0.006661415,0.11666858
SRR5343194,0.87225026,0.0047031343,0.0029727817,0.120073855
SRR5761712,0.03526783,0.0011718273,0.0035039783,0.96005636
SRR6724520,0.9317591,0.0037408173,0.0031121671,0.061387897
SRR6331198,0.004461676,0.011102289,0.09414929,0.89028674
SRR7507646,0.015758455,0.000890404,0.00325948,0.9800917
SRR6182532,0.012400836,0.0007864535,0.0030917227,0.983721
SRR5757906,0.027149899,0.027696362,0.9451537,0.0
SRR6265561,0.031632632,0.00053849816,0.0048696995,0.9629592
SRR5202839,0.008865416,0.001252085,0.005142808,0.98473966
SRR1766081,0.021166831,0.0009791553,0.0040605664,0.97379345
SRR5202912,0.83373314,0.0038379133,0.0037727058,0.15865624
SRR5758090,0.029462013,0.010797846,0.9597402,0.0
SRR1008768,0.9455096,0.0054110587,0.007417232,0.041662097
SRR6264714,0.009955406,0.0055793226,0.08295652,0.90150875
SRR5580452,0.021232903,0.0007953048,0.0054450035,0.9725268
SRR5648997,0.010782838,0.0009341836,0.003930092,0.9843529
SRR6182360,0.010659367,0.0011262298,0.0043517947,0.98386264
SRR5548686,0.853601,0.02893587,0.1174631,0.0
SRR1765993,0.05439222,0.00084760785,0.004147887,0.9406123
ERR209579,0.23354626,0.002125144,0.0028720498,0.76145655
ERR209481,0.05719742,0.0006468594,0.004416108,0.9377396
SRR5983392,0.8628893,0.009877443,0.011619806,0.11561346
SRR5758025,0.0051641464,0.008069813,0.06557435,0.9211917
SRR5648773,0.013930529,0.0012216568,0.0045567453,0.98029107
SRR5983278,0.15149233,0.00022637844,0.01940155,0.8288797
SRR6724436,0.93264425,0.0070700943,0.011596173,0.048689485
SRR6724560,0.75999725,0.011063963,0.0016025007,0.22733629
ERR719740,0.060964495,0.00083479285,0.011602521,0.9265982
ERR505100,0.5624093,0.0015758574,0.004900098,0.4311148
SRR5548426,0.22228318,0.0004440844,0.19600496,0.5812678
SRR5202936,0.013892353,0.00082948804,0.0032656789,0.9820125
ERR720068,0.011949033,0.0011581182,0.0050570667,0.9818358
SRR5649116,0.011171907,0.00077083707,0.0031020641,0.9849552
ERR525972,0.5713963,0.0015060008,0.008523941,0.41857374
SRR5649083,0.038309693,0.00085905194,0.0039072335,0.956924
SRR5078708,0.012819916,0.0007354319,0.0029340088,0.9835106
SRR6182381,0.011181623,0.0032432377,0.010604948,0.9749702
ERR695632,0.01942128,0.0007761717,0.0034207106,0.97638184
SRR7507337,0.01105997,0.0012478232,0.0043144226,0.9833778
SRR5548693,0.67782265,0.0015065372,0.038108587,0.28256226
SRR051686,0.020108491,0.00085026026,0.00462994,0.9744113
SRR5343090,0.011449903,0.0007315576,0.0029094517,0.98490906
ERR719243,0.021513313,0.0007992685,0.0035144985,0.97417295
SRR5548032,0.9488115,0.0047824085,0.0057482123,0.040657938
