,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic diseases,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections:Gram-Positive Bacterial Infections:Clostridium Infections,Unknown
SRR5429226,0.0039120317,0.006634444,0.06484181,0.9246117
SRR5548347,0.011633575,0.20167527,0.012965709,0.77372545
SRR5078789,0.0035120547,0.007840276,0.005065322,0.9835824
SRR5637777,0.0045375824,0.005399555,0.007540256,0.9825226
SRR051715,0.61355007,0.08451244,0.0012971759,0.30064029
SRR961790,0.024357945,0.029132038,0.0042808056,0.9422292
SRR5549011,0.028584564,0.9274864,0.043929003,0.0
ERR525995,0.042927206,0.92075866,0.011244476,0.025069654
SRR5343194,0.23062962,0.08461857,0.0010124445,0.68373936
SRR5761712,0.006902665,0.0415003,0.0044669807,0.9471301
SRR6724520,0.011585742,0.003845811,0.009937555,0.9746309
SRR6331198,0.0075366795,0.0041193366,0.05986643,0.9284775
SRR7507646,0.010317564,0.0025006533,0.016603887,0.9705779
SRR6182532,0.011874795,0.0024574995,0.016346514,0.9693212
SRR5757906,0.0015452802,0.032996684,0.77035445,0.19510359
SRR6265561,0.004651338,0.005945593,0.007665336,0.98173773
SRR5202839,0.0055942833,0.004184574,0.009761333,0.9804598
SRR1766081,0.024222732,0.0032568574,0.012996644,0.9595238
SRR5202912,0.0773851,0.45618123,0.0013842583,0.4650494
SRR5758090,0.00089755654,0.04984781,0.9091369,0.04011774
SRR1008768,0.04493888,0.9277478,0.027313361,0.0
SRR6264714,0.002199769,0.02094084,0.07690483,0.89995456
SRR5580452,0.0071440935,0.0036067069,0.010866582,0.9783826
SRR5648997,0.015305519,0.0025853515,0.015490264,0.9666189
SRR6182360,0.02998513,0.005768031,0.007677883,0.95656896
SRR5548686,0.0018310547,0.21339142,0.10128531,0.6834922
SRR1765993,0.23780861,0.020648152,0.0031653345,0.7383779
ERR209579,0.030447036,0.7676443,0.0074813664,0.19442737
ERR209481,0.009506226,0.2808685,0.023944378,0.68568087
SRR5983392,0.029765487,0.83928776,0.013411522,0.11753523
SRR5758025,0.0015835166,0.023453474,0.29855996,0.67640305
SRR5648773,0.0029673576,0.015156835,0.0048306286,0.9770452
SRR5983278,0.0017042458,0.12080744,0.012108058,0.8653803
SRR6724436,0.053076446,0.75238705,0.0060599446,0.18847656
SRR6724560,0.006085038,0.009352148,0.0042079687,0.98035485
ERR719740,0.0074442625,0.083794266,0.017602354,0.8911591
ERR505100,0.024659902,0.7718978,0.010328352,0.19311398
SRR5548426,0.0025717318,0.09747654,0.8434384,0.05651331
SRR5202936,0.0031674206,0.010690033,0.0056815147,0.980461
ERR720068,0.0034032762,0.008442253,0.0045140684,0.98364043
SRR5649116,0.0032652915,0.008879364,0.0036092997,0.984246
ERR525972,0.030370355,0.7666544,0.021587282,0.18138802
SRR5649083,0.043070197,0.02322954,0.003460437,0.9302398
SRR5078708,0.003949076,0.0065588355,0.005798489,0.9836936
SRR6182381,0.007868916,0.03298369,0.0040938556,0.95505357
ERR695632,0.03484273,0.008104503,0.006982982,0.9500698
SRR7507337,0.0031085908,0.009793669,0.0045086443,0.9825891
SRR5548693,0.025267016,0.9235013,0.051231727,0.0
SRR051686,0.0060305,0.0044476986,0.009671122,0.97985065
SRR5343090,0.0049295723,0.0046727657,0.0074662864,0.9829314
ERR719243,0.003447771,0.016310304,0.008606046,0.9716359
SRR5548032,0.032208428,0.92627096,0.041520584,0.0
SRR6424580,0.0012600422,0.076369345,0.8612546,0.06111604
