,root:Engineered:Food_production,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Birds,root:Host-associated:Fish,root:Host-associated:Human,root:Host-associated:Mammals,root:Host-associated:Plants,Unknown
ERR308338,0.0017391477,0.00652991,0.0033023537,0.0020024786,0.010474611,0.0053979214,0.9670571,0.003496413,0.0
ERR308421,0.0017392341,0.006529849,0.0033020321,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964986,0.0
ERR308615,0.0017392341,0.006529849,0.003302003,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964113,0.0
ERR308982,0.0017392343,0.006529879,0.00330212,0.002002507,0.010474666,0.005397571,0.96705765,0.0034963826,0.0
ERR309416,0.0017392341,0.006529849,0.003302003,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964113,0.0
ERR309710,0.0017392341,0.006529849,0.003302003,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964113,0.0
ERR308247,0.0017326793,0.006556338,0.0033293979,0.0019956145,0.0104397,0.0054249982,0.96702063,0.003500723,0.0
ERR308341,0.0017392341,0.006529849,0.003302003,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964113,0.0
ERR308803,0.0017397233,0.00653297,0.003305919,0.0020028206,0.010480827,0.005392261,0.967045,0.003500414,0.0
ERR309704,0.001739292,0.0065298774,0.003302061,0.0020025938,0.010474692,0.0053973948,0.9670577,0.003496411,0.0
ERR308971,0.0017387478,0.0065303445,0.003302862,0.0020018471,0.010471631,0.0054017245,0.96705765,0.0034952061,0.0
ERR309291,0.001739463,0.0065334407,0.0033043223,0.0020029095,0.010475659,0.005393923,0.96705157,0.0034987011,0.0
ERR308355,0.0017392341,0.006529849,0.003302003,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964113,0.0
ERR308603,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR309541,0.0017392918,0.0065298476,0.0033020314,0.0020025354,0.010474779,0.005397336,0.9670577,0.0034964397,0.0
ERR308661,0.0017392341,0.006529849,0.003302003,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964113,0.0
ERR309773,0.0017392341,0.006529849,0.003302003,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964113,0.0
ERR309502,0.0017392918,0.0065298476,0.0033019732,0.0020025354,0.010474779,0.0053973068,0.9670577,0.0034964397,0.0
ERR309167,0.0017392341,0.006529849,0.003302003,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964113,0.0
ERR309820,0.0017392341,0.006529849,0.003302003,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964113,0.0
ERR309300,0.0017392918,0.006529964,0.0033022058,0.0020025354,0.01047504,0.0053972197,0.9670571,0.003496585,0.0
ERR308359,0.000993967,0.0015535057,0.0026954412,0.0013395846,0.0011603236,0.92865837,0.044087708,0.00091150403,0.01859957
ERR309549,0.0017392341,0.006529849,0.003302003,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964113,0.0
ERR309829,0.0017392341,0.006529849,0.003302003,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964113,0.0
ERR309826,0.0016433874,0.006615342,0.0034456216,0.0018820943,0.009966698,0.006203993,0.9669448,0.0032980086,0.0
ERR308764,0.0017395779,0.006533319,0.0033054247,0.002002908,0.0104785,0.005392639,0.96704763,0.0034999195,0.0
ERR309105,0.0017386896,0.0065303445,0.0033028328,0.0020019053,0.010471689,0.0054017245,0.96705765,0.0034952643,0.0
ERR308778,0.0017392341,0.006529849,0.0033020321,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964113,0.0
ERR309449,0.0017391477,0.0065299976,0.003302121,0.0020024495,0.010474378,0.0053978926,0.96705765,0.0034963258,0.0
ERR309264,0.0017392918,0.0065298765,0.0033020896,0.0020025936,0.010474691,0.0053973943,0.9670576,0.0034964688,0.0
ERR308841,0.0017392341,0.006529849,0.003302003,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964113,0.0
ERR308991,0.0017392058,0.0065299976,0.003302121,0.0020025077,0.0104743205,0.0053979508,0.96705765,0.0034962676,0.0
ERR309136,0.0017392341,0.006529849,0.003302003,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964113,0.0
ERR308939,0.0017392341,0.006529849,0.0033020321,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964986,0.0
ERR308695,0.0017392341,0.006529849,0.003302003,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964113,0.0
ERR309409,0.0017392341,0.006529849,0.0033020321,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964986,0.0
ERR309498,0.0017392918,0.0065298476,0.0033020896,0.0020025936,0.010474779,0.0053972197,0.9670577,0.0034964688,0.0
ERR308454,0.0017393503,0.006529848,0.003302032,0.0020025356,0.010474721,0.0053972495,0.96705776,0.0034964692,0.0
ERR309302,0.0017392341,0.006529849,0.003302003,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964113,0.0
ERR309808,0.0017392918,0.00653008,0.0033023222,0.0020025936,0.010474865,0.005397045,0.96705717,0.0034967014,0.0
ERR309477,0.001685487,0.0065728812,0.0033888377,0.0019327297,0.0102093695,0.0058374954,0.9669857,0.0033874703,0.0
ERR309059,0.0017392923,0.00652982,0.003302003,0.0020025359,0.010474809,0.0053972793,0.9670578,0.0034964695,0.0
ERR308437,0.0017392341,0.006529849,0.003302003,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964113,0.0
ERR308677,0.0017392918,0.006529906,0.0033020314,0.0020025936,0.010474865,0.0053973068,0.9670575,0.0034964688,0.0
ERR309226,0.0017393787,0.0065297005,0.0033023506,0.002002535,0.010475765,0.0053971605,0.9670564,0.0034967295,0.0
ERR308389,0.0017392341,0.006529849,0.0033020321,0.002002594,0.010474723,0.00539725,0.9670579,0.0034964986,0.0
ERR309144,0.001739292,0.006529848,0.0033020899,0.0020025938,0.010474751,0.005397366,0.9670577,0.003496382,0.0
ERR308593,0.0017392915,0.0065304274,0.003302525,0.002002564,0.0104746595,0.005396695,0.9670569,0.0034969042,0.0
ERR308857,0.0017392341,0.006529849,0.003302003,0.002002594,0.010474723,0.005397308,0.9670579,0.0034964113,0.0
ERR309739,0.0017392341,0.006529878,0.0033020903,0.0020025359,0.010474664,0.0053974246,0.96705765,0.0034964404,0.0
ERR1599003,0.0017555039,0.0007479496,0.00095981976,0.0007690299,0.00045496042,0.9920236,0.0016677435,0.0016215508,0.0
ERR1598645,0.0017554443,0.0007479495,0.00095981965,0.0007689705,0.00045496036,0.9920235,0.0016677136,0.0016215505,0.0
ERR1598886,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1598551,0.0017555039,0.0007479496,0.00095981976,0.00076900027,0.00045496042,0.9920236,0.0016677435,0.0016215508,0.0
ERR1599004,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1598226,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1598547,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1598708,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1598817,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1598458,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1598637,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1598095,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1598867,0.0017561561,0.00074791996,0.00096017553,0.00076894095,0.00045507902,0.992023,0.0016672395,0.0016215211,0.0
ERR1598665,0.0017555035,0.0007479791,0.00095984916,0.0007689704,0.00045493068,0.9920234,0.0016677431,0.0016215503,0.0
ERR1598502,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1598519,0.0017553262,0.00074809795,0.00095987914,0.00076902995,0.0004550198,0.99202335,0.0016679512,0.0016213434,0.0
ERR1599499,0.0016985573,0.00079703267,0.0009760685,0.0007814953,0.0004717259,0.9919906,0.0017491428,0.0015353257,0.0
ERR1598760,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1599086,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1599443,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1598522,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1598136,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1599510,0.0017554446,0.00074797927,0.00095981976,0.0007689706,0.0004549308,0.9920235,0.0016677731,0.0016215508,0.0
ERR1599614,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1599200,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1599206,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1598328,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1598448,0.0016151406,0.0008784462,0.0010016339,0.0008009275,0.00049880036,0.9919124,0.00188094,0.001411706,0.0
ERR1598907,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1598915,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1598110,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1599258,0.0007683476,0.0032812671,0.0017888581,0.001261141,0.0012624192,0.97989094,0.011298464,0.00044853715,0.0
ERR1598826,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1599022,0.0017555039,0.0007479496,0.00095981976,0.0007690299,0.00045496042,0.9920235,0.0016677435,0.0016215508,0.0
ERR1599531,0.0017555037,0.0007479495,0.0009598493,0.0007690298,0.00045496036,0.9920234,0.0016677433,0.0016215505,0.0
ERR1598370,0.0009013365,0.0028005664,0.0014170976,0.0010723573,0.0010037948,0.9876838,0.004607213,0.00051392254,0.0
