,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525712,0.080314845,0.15162326,0.76806194,0.0
ERR525831,0.08031806,0.15162241,0.76805955,0.0
ERR525835,0.08030963,0.15162459,0.7680658,0.0
ERR525859,0.07991663,0.15344344,0.76663995,0.0
ERR525875,0.08030946,0.15162468,0.7680659,0.0
ERR525895,0.080310956,0.15162426,0.7680648,0.0
ERR525901,0.08031267,0.15162379,0.76806355,0.0
ERR525919,0.6734444,0.16959696,0.15695862,0.0
ERR526063,0.08031041,0.1516244,0.7680652,0.0
ERR525704,0.40949708,0.33897355,0.17363346,0.07789588
ERR525777,0.7272311,0.13429195,0.138477,0.0
ERR525793,0.272151,0.5927381,0.054180384,0.08093053
ERR525802,0.08879995,0.6451951,0.104355484,0.16164947
ERR525857,0.09584209,0.64346975,0.10332075,0.15736747
ERR525933,0.36794102,0.48244894,0.032788604,0.11682141
ERR526037,0.088897616,0.64524937,0.10430738,0.16154563
ERR526065,0.07055268,0.3049043,0.61326486,0.0112781525
ERR525805,0.103572756,0.6422914,0.102323234,0.15181261
ERR525917,0.6635252,0.15598707,0.18048768,0.0
ERR525749,0.10323921,0.6311365,0.096366465,0.16925782
ERR525774,0.6812401,0.28185916,0.036900744,0.0
ERR525818,0.6786992,0.15368982,0.16761102,0.0
ERR525822,0.67081016,0.23463276,0.070941806,0.023615241
ERR525914,0.6489177,0.337378,0.013704333,0.0
ERR525966,0.7260436,0.13852546,0.13543095,0.0
ERR526042,0.10412595,0.5652922,0.14621866,0.18436325
ERR526066,0.67388415,0.27387744,0.033846557,0.018391848
ERR525814,0.64569414,0.18792649,0.1663794,0.0
ERR525938,0.7258842,0.14439134,0.12972444,0.0
