,root:CRC (stage 0),root:CRC (stage I),root:CRC (stage II),root:CRC (stage III),root:CRC (stage IV),Unknown
ERR480939,0.03796023,0.26577306,0.1493887,0.24618858,0.14531174,0.15537775
ERR480719,0.042255633,0.6181976,0.043328855,0.10607633,0.19014157,0.0
ERR479565,0.05365792,0.29601735,0.30021515,0.1414361,0.03428352,0.17438996
ERR480750,0.03387755,0.12997022,0.243752,0.08777994,0.43110988,0.07351041
ERR479246,0.038677603,0.5808136,0.105885625,0.13754702,0.06695339,0.07012272
ERR479441,0.06613007,0.18919507,0.42060167,0.20669323,0.09140116,0.025978804
ERR479429,0.01991667,0.036258183,0.8092008,0.0956032,0.039021235,0.0
ERR480983,0.03947246,0.57970923,0.110212445,0.13559258,0.06909281,0.06592047
ERR480464,0.10796852,0.35743523,0.27158487,0.15147297,0.11153849,0.0
ERR479142,0.045801707,0.28260994,0.11810632,0.3794885,0.1739935,0.0
ERR480608,0.050647955,0.19559911,0.20242459,0.52515227,0.02617615,0.0
ERR480662,0.02627781,0.20429489,0.23132595,0.18506005,0.106951445,0.24608982
ERR479310,0.030686814,0.64242226,0.058734585,0.099785395,0.16837093,0.0
ERR479335,0.045570675,0.24377236,0.040755115,0.06455197,0.60534984,0.0
ERR480751,0.04903962,0.11510959,0.09662001,0.073394425,0.66583633,0.0
ERR480978,0.022330998,0.17030843,0.10267997,0.060968433,0.6437122,0.0
ERR480720,0.035391033,0.55200356,0.044039786,0.10602316,0.23394552,0.028596997
ERR480915,0.035390805,0.13738157,0.60618025,0.19876514,0.022282181,0.0
ERR480937,0.034060597,0.238471,0.1640692,0.22780827,0.18518344,0.15040755
ERR480715,0.02582638,0.15422507,0.09521492,0.071221694,0.65351194,0.0
ERR480864,0.021064296,0.028531233,0.77089,0.09660445,0.08291,0.0
ERR479350,0.034900162,0.6302168,0.075425714,0.106158294,0.15329914,0.0
ERR475585,0.03567238,0.44846293,0.026643327,0.30034557,0.18887578,0.0
ERR479030,0.022267425,0.1331459,0.11253267,0.07405391,0.65800005,0.0
ERR481022,0.04470161,0.12214687,0.10751847,0.06691256,0.6587205,0.0
ERR479548,0.041287333,0.5881516,0.09360939,0.1722694,0.08529773,0.019384623
ERR480955,0.03479795,0.13274707,0.61543405,0.19424458,0.022776308,0.0
ERR479179,0.03438763,0.3389502,0.08086526,0.48941407,0.056382917,0.0
ERR475513,0.055453956,0.30460626,0.12437266,0.07488525,0.32297415,0.11770773
ERR480507,0.049910974,0.22841856,0.18876255,0.5047043,0.028203666,0.0
ERR479357,0.044817008,0.10259971,0.10248108,0.078021415,0.67208076,0.0
ERR480561,0.029880304,0.049157485,0.739204,0.14763579,0.034122344,0.0
ERR479257,0.043147117,0.12522838,0.10293236,0.0687785,0.65991366,0.0
ERR479356,0.051258083,0.119613454,0.08570473,0.07669277,0.666731,0.0
ERR479504,0.023592055,0.3780494,0.13865381,0.071409404,0.19454053,0.19375479
ERR479549,0.04154253,0.5895297,0.092496395,0.17665362,0.086871415,0.012906313
ERR480732,0.04513865,0.13060218,0.10259556,0.06511654,0.65654707,0.0
ERR475520,0.049637258,0.23324347,0.04164964,0.06774479,0.60772485,0.0
ERR475577,0.07150979,0.4542859,0.08988426,0.321415,0.06290505,0.0
ERR481053,0.028812971,0.122386254,0.14628752,0.056503206,0.64601004,0.0
ERR479469,0.038387597,0.2705714,0.07249376,0.34396553,0.22877249,0.04580915
ERR479507,0.040443104,0.37296396,0.07878618,0.056487095,0.4513197,0.0
ERR481054,0.022503117,0.14519705,0.10480603,0.074208625,0.6532852,0.0
ERR479553,0.37946364,0.2151846,0.14074574,0.14994048,0.11466557,0.0
ERR475573,0.058909625,0.22915742,0.30174208,0.19990894,0.13649052,0.073791444
ERR480522,0.034159034,0.6385841,0.063218646,0.10429352,0.15974475,0.0
ERR475539,0.058090985,0.18694538,0.17369735,0.19013384,0.22871548,0.162417
ERR479415,0.05911663,0.238406,0.33883905,0.20418626,0.119687736,0.039764285
ERR479485,0.033072192,0.64241475,0.064142354,0.10620018,0.15417059,0.0
ERR480740,0.060974002,0.23403862,0.3501082,0.21041471,0.12787348,0.016590953
ERR480980,0.04094827,0.5476767,0.12314409,0.13769254,0.059283674,0.09125477
ERR479426,0.054141443,0.23995224,0.30977342,0.37716547,0.018967379,0.0
ERR479419,0.0355695,0.13461731,0.6100644,0.19713046,0.022618324,0.0
ERR480830,0.030611515,0.6405188,0.056444813,0.09965707,0.17276777,0.0
ERR479505,0.039199203,0.3857173,0.087966315,0.0601846,0.4269325,0.0
ERR479526,0.043062102,0.12263846,0.10991888,0.06576544,0.6586151,0.0
ERR480949,0.0591003,0.6623027,0.047864556,0.06576104,0.16497143,0.0
ERR479562,0.052244335,0.2523241,0.3322464,0.13987383,0.03930688,0.18400443
ERR480963,0.030082777,0.6322551,0.058071945,0.095445216,0.18414503,0.0
ERR480934,0.048462026,0.11313942,0.09107972,0.07320557,0.6741133,0.0
ERR480621,0.04082198,0.55733985,0.048969373,0.10882469,0.24404415,0.0
ERR479440,0.05302994,0.39703783,0.098248206,0.32849896,0.12318506,0.0
ERR481037,0.050750438,0.0983355,0.099743366,0.078170635,0.67300004,0.0
ERR481056,0.021248054,0.16456679,0.09586111,0.063840196,0.6544839,0.0
