,root:baby_birth:cesarean_section,root:baby_birth:vaginal_delivery,root:baby_fourthmonth:cesarean_section,root:baby_fourthmonth:vaginal_delivery,Unknown
ERR525725,0.13142678,0.27514076,0.14109176,0.13632053,0.3160202
ERR525746,0.13142678,0.27514046,0.14109212,0.13632026,0.31602037
ERR525763,0.13142678,0.27514046,0.14109212,0.13632026,0.31602037
ERR525815,0.13142869,0.27515674,0.14107174,0.13633531,0.31600755
ERR525895,0.13142678,0.27514052,0.14109206,0.1363203,0.3160203
ERR525903,0.13142678,0.27514046,0.14109212,0.13632026,0.31602037
ERR525948,0.13142678,0.27514046,0.14109212,0.13632026,0.31602037
ERR526003,0.13142678,0.27514046,0.14109212,0.13632026,0.31602037
ERR526039,0.13144478,0.27529532,0.14089856,0.13646325,0.31589806
ERR525721,0.14638728,0.20028424,0.10274696,0.48832142,0.06226009
ERR525769,0.14637932,0.20029184,0.102746725,0.48830402,0.062278092
ERR525882,0.14355975,0.3861519,0.05486074,0.25808907,0.1573385
ERR525887,0.14637774,0.2003482,0.10272294,0.48820767,0.06234348
ERR525926,0.14637223,0.20074031,0.10255644,0.48753846,0.06279254
ERR525989,0.14355999,0.38615316,0.054859936,0.2580928,0.15733409
ERR526041,0.14356124,0.38567758,0.054948658,0.25842553,0.15738696
ERR526053,0.14636338,0.20109582,0.10240641,0.48693192,0.0632025
ERR525921,0.14355999,0.38615406,0.054859787,0.25809208,0.15733409
ERR526029,0.14637882,0.20029396,0.10274598,0.48830026,0.062281013
ERR525724,0.14383495,0.37238854,0.057135224,0.27049816,0.15614313
ERR525749,0.14357579,0.3846538,0.05511108,0.25936,0.1572994
ERR525774,0.14355999,0.3861541,0.054859787,0.25809187,0.15733427
ERR525782,0.13240203,0.28360093,0.13092649,0.14424744,0.3088231
ERR525846,0.14792216,0.19915628,0.10280314,0.49101233,0.05910611
ERR525850,0.14345556,0.38516015,0.055309266,0.25683874,0.15923625
ERR525888,0.13142678,0.27514046,0.14109212,0.13632026,0.31602037
ERR525954,0.14355999,0.38615423,0.054859787,0.25809208,0.15733397
ERR525938,0.14341947,0.38481766,0.05546522,0.25640583,0.15989184
ERR525970,0.14637664,0.20040557,0.102698565,0.4881096,0.06240964
