,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525725,0.15022859,0.1894408,0.66033065,0.0
ERR525746,0.15019795,0.18962468,0.66017735,0.0
ERR525763,0.1502345,0.1894103,0.66035515,0.0
ERR525815,0.1491751,0.19392654,0.65689844,0.0
ERR525895,0.15021555,0.18951946,0.660265,0.0
ERR525903,0.15024133,0.1894076,0.6603511,0.0
ERR525948,0.15024038,0.18941294,0.6603466,0.0
ERR526003,0.15021135,0.18956082,0.66022784,0.0
ERR526039,0.09201133,0.48251963,0.40112686,0.02434218
ERR525721,0.0969294,0.61448973,0.12608,0.16250086
ERR525769,0.081620574,0.6248229,0.11739528,0.17616123
ERR525882,0.5862056,0.38900587,0.024788536,0.0
ERR525887,0.11679268,0.6145976,0.12720937,0.14140034
ERR525926,0.08462942,0.6228679,0.1207045,0.17179823
ERR525989,0.51010436,0.43580148,0.0540942,0.0
ERR526041,0.27999735,0.49236855,0.05232072,0.17531335
ERR526053,0.08566666,0.6249901,0.120316416,0.16902685
ERR525921,0.117140174,0.6145051,0.12728807,0.14106667
ERR526029,0.114112705,0.6154095,0.12668982,0.14378798
ERR525724,0.33131802,0.4359877,0.07009384,0.1626004
ERR525749,0.33572504,0.48324,0.046177536,0.13485742
ERR525774,0.59694356,0.37395403,0.029102387,0.0
ERR525782,0.5965704,0.30931675,0.094112866,0.0
ERR525846,0.09901944,0.5904908,0.10743311,0.2030567
ERR525850,0.5577397,0.3710343,0.07122608,0.0
ERR525888,0.13662606,0.35121512,0.50914097,0.0030178428
ERR525954,0.544831,0.40454453,0.050624482,0.0
ERR525938,0.56136394,0.25039458,0.11065531,0.077586174
ERR525970,0.5966174,0.3092656,0.09411698,0.0
