,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525753,0.052022934,0.7946836,0.08420113,0.06909239
ERR525804,0.052022934,0.7946836,0.08420113,0.06909239
ERR525879,0.05195174,0.60462964,0.34341863,0.0
ERR525928,0.09158164,0.16486788,0.7435505,0.0
ERR525948,0.81723225,0.117930606,0.06483718,0.0
ERR525963,0.10361278,0.44355747,0.4253309,0.027498841
ERR526027,0.14166838,0.75010526,0.061018914,0.047207475
ERR526035,0.052022934,0.7946836,0.08420113,0.06909239
ERR526051,0.09158428,0.1648662,0.74354947,0.0
ERR525735,0.05765581,0.7771788,0.08699706,0.07816827
ERR525744,0.06008473,0.7859368,0.078786016,0.07519245
ERR525773,0.052022934,0.7946836,0.08420113,0.06909239
ERR525797,0.052022934,0.7946836,0.08420113,0.06909239
ERR525807,0.3189515,0.32723403,0.28175774,0.07205677
ERR525845,0.81723225,0.117930606,0.06483718,0.0
ERR525853,0.052023202,0.79468334,0.08420101,0.06909251
ERR525913,0.061011005,0.5385184,0.40047053,0.0
ERR525921,0.052022934,0.7946836,0.08420113,0.06909239
ERR525946,0.09158116,0.16486757,0.7435513,0.0
ERR525724,0.6253524,0.3675064,0.00714124,0.0
ERR525878,0.07873276,0.77649057,0.07371664,0.07106006
ERR525883,0.81723213,0.11793069,0.064837225,0.0
ERR525892,0.8165315,0.11862534,0.06484311,0.0
ERR525894,0.8163765,0.118737,0.06488653,0.0
ERR525966,0.8167674,0.11836397,0.064868584,0.0
ERR526046,0.4855638,0.3305968,0.064487964,0.11935139
ERR526074,0.81722695,0.11793562,0.064837456,0.0
ERR526030,0.053925842,0.7932311,0.083299875,0.06954312
ERR526034,0.20295551,0.12698212,0.6700623,0.0
