,root:Engineered:Food_production:Dairy_products,root:Environmental:Aquatic:Thermal_springs,root:Environmental:Terrestrial:Deep_subsurface,root:Environmental:Terrestrial:Soil,root:Host-associated:Birds:Digestive_system,root:Host-associated:Human:Digestive_system,root:Host-associated:Human:Reproductive_system,root:Host-associated:Human:Respiratory_system,root:Host-associated:Human:Skin,root:Host-associated:Mammals:Digestive_system,root:Host-associated:Mammals:Gastrointestinal_tract,root:Host-associated:Plants:Root,Unknown
ERR308962,0.0006177537,0.0041532977,0.0027528643,0.0011949368,0.0033129496,0.0013193807,0.0031170591,0.0009141157,0.0032688538,0.9717795,0.0050548106,0.002514435,0.0
ERR308648,0.00061772426,0.004153356,0.0027529227,0.0011949367,0.0033129784,0.0013194686,0.003117059,0.0009140568,0.003268912,0.97177947,0.005054663,0.002514464,0.0
ERR309433,0.00061772426,0.004153356,0.0027529227,0.0011949367,0.0033129784,0.0013194686,0.003117059,0.0009140568,0.003268912,0.97177947,0.005054663,0.002514464,0.0
ERR309477,0.00061582454,0.0041389307,0.0027486617,0.0011863753,0.0033256758,0.0013343306,0.003151749,0.0009246329,0.0032449116,0.97175264,0.0050631817,0.0025131553,0.0
ERR309563,0.00061772426,0.004153356,0.002752952,0.0011949367,0.0033129784,0.0013194686,0.003117059,0.0009140568,0.003268912,0.97177947,0.005054663,0.002514464,0.0
ERR308877,0.00061772426,0.004153415,0.002752952,0.0011949367,0.0033129784,0.0013194686,0.0031169706,0.0009140568,0.003268912,0.9717794,0.005054663,0.002514464,0.0
ERR309606,0.0006177244,0.004153357,0.0027529527,0.001194937,0.0033129794,0.0013193808,0.003117001,0.000914057,0.0032689716,0.9717796,0.0050546643,0.0025144352,0.0
ERR309500,0.00061772426,0.004153356,0.0027529227,0.0011949367,0.0033129784,0.0013194686,0.003117059,0.0009140568,0.003268912,0.97177947,0.005054663,0.002514464,0.0
ERR309078,0.00061772426,0.004153356,0.0027529227,0.0011949367,0.0033129784,0.0013194686,0.003117059,0.0009140568,0.003268912,0.97177947,0.005054663,0.002514464,0.0
ERR308761,0.0006177243,0.0041532977,0.002752923,0.0011949368,0.003312979,0.0013194688,0.0031170591,0.0009140569,0.0032689418,0.9717795,0.0050546634,0.0025144643,0.0
ERR308328,0.0006177537,0.0041532977,0.002752923,0.0011949663,0.003312979,0.0013193807,0.0031170005,0.000914145,0.0032689418,0.9717795,0.0050546634,0.0025144643,0.0
ERR309089,0.0005299747,0.003051877,0.0035783648,0.00012043335,0.010113388,0.031339496,0.014746428,0.0011490583,0.00171417,0.8714639,0.016252458,0.0014855266,0.044454932
ERR308324,0.0006175779,0.004151891,0.0027533658,0.0011940271,0.0033146269,0.0013212619,0.0031224967,0.00091567344,0.0032657129,0.9717726,0.005055696,0.0025150247,0.0
ERR309284,0.00061772426,0.004153356,0.0027529227,0.0011949367,0.0033129784,0.0013194686,0.003117059,0.0009140568,0.003268912,0.97177947,0.005054663,0.002514464,0.0
ERR309382,0.00061772426,0.004153356,0.0027529227,0.0011949367,0.0033129784,0.0013194686,0.003117059,0.0009140568,0.003268912,0.97177947,0.005054663,0.002514464,0.0
ERR308270,0.00061772426,0.004153356,0.002752952,0.0011949367,0.0033129784,0.0013194686,0.003117059,0.0009140568,0.003268912,0.97177947,0.005054663,0.002514464,0.0
ERR308927,0.0006177245,0.0041532987,0.0027528943,0.0011949665,0.0033130385,0.0013194691,0.0031170894,0.00091411587,0.0032688838,0.9717795,0.005054665,0.002514465,0.0
ERR309802,0.00061772426,0.004153356,0.0027529227,0.0011949367,0.0033129784,0.0013194686,0.003117059,0.0009140568,0.003268912,0.97177947,0.005054663,0.002514464,0.0
ERR308396,0.0006177249,0.0041532726,0.0027535718,0.0011949086,0.0033135696,0.0013204395,0.0031196768,0.0009146453,0.0032679753,0.97177505,0.0050546685,0.0025144373,0.0
ERR309632,0.00061772426,0.004153356,0.0027529227,0.0011949367,0.0033129784,0.0013194686,0.003117059,0.0009140568,0.003268912,0.97177947,0.005054663,0.002514464,0.0
ERR308905,0.0006177538,0.0041533867,0.0027529232,0.0011949664,0.0033129794,0.0013194102,0.003117089,0.00091411575,0.0032688833,0.9717794,0.0050546643,0.0025144648,0.0
ERR309317,0.00061772426,0.004153356,0.0027529227,0.0011949367,0.0033129784,0.0013194686,0.003117059,0.0009140568,0.003268912,0.97177947,0.005054663,0.002514464,0.0
ERR309739,0.00061772426,0.004153415,0.002752952,0.001194966,0.0033129784,0.0013194099,0.003117059,0.0009140568,0.0032689413,0.9717794,0.005054663,0.002514464,0.0
ERR308406,0.0006177243,0.0041533564,0.002752923,0.0011949368,0.0033129496,0.0013194688,0.0031170591,0.0009140569,0.0032689418,0.9717795,0.0050546634,0.002514435,0.0
ERR309138,0.0006178418,0.0041533853,0.0027529227,0.0011949367,0.0033129784,0.0013194099,0.003117147,0.0009141156,0.003268912,0.9717792,0.005054663,0.0025144054,0.0
ERR309027,0.0006177543,0.004153302,0.0027528668,0.0011949673,0.0033129526,0.0013194995,0.003117356,0.0009141753,0.0032687099,0.9717794,0.0050545507,0.0025144666,0.0
ERR309585,0.0005023289,0.0034271572,0.00249047,0.00086612493,0.0038003477,0.0020534317,0.005393358,0.0016914911,0.0021947036,0.9701602,0.0049022497,0.0025181235,0.0
