,root:Engineered:Food_production:Dairy_products,root:Environmental:Aquatic:Thermal_springs,root:Environmental:Terrestrial:Deep_subsurface,root:Environmental:Terrestrial:Soil,root:Host-associated:Birds:Digestive_system,root:Host-associated:Human:Digestive_system,root:Host-associated:Human:Reproductive_system,root:Host-associated:Human:Respiratory_system,root:Host-associated:Human:Skin,root:Host-associated:Mammals:Digestive_system,root:Host-associated:Mammals:Gastrointestinal_tract,root:Host-associated:Plants:Root,Unknown
ERR309302,0.0001818033,0.00029829002,0.0010508663,0.00013217216,0.0045375656,0.0025329052,0.007623575,0.0012700188,0.0017946529,0.9762642,0.0033859275,0.0009279575,0.0
ERR309367,0.00038759355,0.00068105594,0.00048439548,0.0007527523,0.0009725598,0.98954886,0.0020690747,0.0016648332,0.0004949303,0.0021938607,0.0004575687,0.00029263148,0.0
ERR309258,0.00018189171,0.00029823018,0.0010509233,0.00013217187,0.0045380294,0.0025329886,0.007623796,0.001270164,0.001794649,0.97626334,0.0033859203,0.0009279259,0.0
ERR309326,0.00038588865,0.0006800531,0.00048298397,0.00075759285,0.0009745439,0.9895697,0.002058884,0.001674301,0.000496842,0.0021734575,0.0004550305,0.00029072218,0.0
ERR309522,0.0001818324,0.00029820038,0.0010509521,0.00013217179,0.004538559,0.0025328388,0.0076235537,0.0012706071,0.0017945886,0.976263,0.00338577,0.00092783646,0.0
ERR309373,0.00018189201,0.00029817148,0.0010508954,0.00013211291,0.0045376816,0.002532904,0.007623572,0.0012701366,0.0017946521,0.97626406,0.003385926,0.000927957,0.0
ERR308775,0.00018192123,0.00029825966,0.0010508638,0.00013220143,0.00453862,0.0025326326,0.0076232604,0.0012707851,0.0017946188,0.97626334,0.0033857415,0.0009278368,0.0
ERR309013,0.00018171457,0.0002981421,0.001050837,0.0001321722,0.0045375964,0.002532876,0.007623636,0.0012700487,0.0017946534,0.9762644,0.0033859285,0.0009279281,0.0
ERR308365,0.00018209791,0.000298199,0.0010508585,0.00013211198,0.004540284,0.0025323238,0.0076232227,0.0012716962,0.0017945211,0.9762617,0.0033853697,0.000927625,0.0
ERR308496,0.00018186218,0.0002982303,0.001050894,0.00013217193,0.0045381496,0.0025328414,0.0076235323,0.0012704013,0.0017946496,0.9762635,0.0033858623,0.000927867,0.0
ERR308797,0.0001818329,0.00029823082,0.0010508959,0.00013217216,0.004537625,0.0025329348,0.007623575,0.0012700484,0.001794712,0.9762642,0.0033859275,0.0009279279,0.0
ERR309659,0.00018198017,0.00029831845,0.0010510102,0.00013220124,0.004539087,0.0025324216,0.0076235454,0.0012709609,0.0017947643,0.9762625,0.0033855,0.0009277171,0.0
ERR309127,0.00018419804,0.00029946977,0.0010510593,0.00013160807,0.0045568594,0.0025455079,0.007593463,0.0012839704,0.001791758,0.9762397,0.003396388,0.0009260509,0.0
ERR309389,0.00018221514,0.0002983155,0.0010509111,0.00013211115,0.004542475,0.0025318938,0.0076228785,0.0012730792,0.0017943619,0.9762594,0.003384934,0.0009273528,0.0
ERR308841,0.00018183289,0.0002982308,0.0010508366,0.00013217215,0.0045376243,0.0025329345,0.007623634,0.0012700186,0.0017946527,0.9762642,0.0033859864,0.0009279278,0.0
ERR308758,0.00018183282,0.00029817148,0.0010508363,0.00013217209,0.004537741,0.0025329336,0.007623572,0.0012701366,0.0017946521,0.97626406,0.0033859555,0.00092792744,0.0
ERR309284,0.0001818033,0.00029817162,0.0010508663,0.00013217216,0.004537625,0.0025329052,0.007623575,0.001270078,0.0017946529,0.9762643,0.0033859867,0.0009279279,0.0
ERR308770,0.0001818328,0.00029823065,0.0010508657,0.00013223127,0.00453777,0.0025328444,0.007623541,0.001270166,0.0017946518,0.976264,0.0033859257,0.00092795695,0.0
ERR309395,0.00038081422,0.00066613546,0.00048497485,0.00075714616,0.0009793595,0.98937035,0.0022014142,0.0016939983,0.0004969078,0.0022493834,0.00043166266,0.0002879928,0.0
ERR308726,0.00018180335,0.0002981421,0.001050837,0.00013220179,0.0045375074,0.002532876,0.007623636,0.0012700487,0.0017946534,0.9762644,0.0033859285,0.0009279873,0.0
ERR308790,0.00018192115,0.00029820035,0.0010508929,0.00013217177,0.004538647,0.00253272,0.0076234047,0.0012706957,0.001794618,0.9762632,0.0033857103,0.00092783634,0.0
ERR309353,0.00018183286,0.00029823076,0.0010508365,0.00013211294,0.004537653,0.002532934,0.007623633,0.0012701072,0.0017946524,0.97626406,0.0033859564,0.00092795724,0.0
ERR308345,0.00018180326,0.00029817157,0.0010508365,0.00013217214,0.004537653,0.0025329045,0.007623633,0.0012701072,0.0017947117,0.97626406,0.0033859564,0.00092795724,0.0
ERR309061,0.0001818033,0.00029817162,0.0010508368,0.00013220175,0.0045375656,0.0025329348,0.0076236348,0.0012700484,0.0017946529,0.97626424,0.003385898,0.00092798704,0.0
ERR309482,0.00018180333,0.00029817165,0.001050896,0.00013211298,0.004537566,0.002532935,0.007623576,0.0012700486,0.0017946531,0.97626436,0.0033859576,0.0009278984,0.0
ERR308501,0.00018200949,0.0002982588,0.0010508902,0.00013220104,0.0045395237,0.0025325066,0.007623208,0.0012713141,0.0017945543,0.9762622,0.003385554,0.00092774525,0.0
