,root:Host-associated,Unknown
SRR6866469,0.9937414,0.006258607
ERR2198027,0.9937414,0.006258607
ERR1314668,0.9937414,0.006258607
ERR719442,0.9937414,0.006258607
ERR1385224,0.9937414,0.006258607
SRR7448602,0.9937414,0.006258607
SRR1618345,0.9937414,0.006258607
SRR6394203,0.9937414,0.006258607
SRR2144020,0.9937414,0.006258607
ERR1987733,0.993741,0.006259024
ERR1109583,0.9937415,0.0062584877
SRR6264285,0.9937414,0.006258607
ERR441386,0.9937414,0.006258607
ERR1384587,0.9937414,0.006258607
SRR5688083,0.9937414,0.006258607
ERR1310720,0.9937414,0.006258607
ERR2739102,0.9937414,0.006258607
ERR107002,0.9937413,0.006258726
ERR498473,0.9937415,0.0062584877
ERR1913230,0.9937414,0.006258607
SRR1617820,0.9937414,0.006258607
ERR2511886,0.9937414,0.006258607
DRR044305,0.99374104,0.0062589645
SRR7449004,0.9937414,0.006258607
DRR041937,0.99374104,0.0062589645
ERR1331807,0.9937414,0.006258607
SRR6264412,0.9937414,0.006258607
ERR1913060,0.9937415,0.0062584877
SRR6411976,0.9937414,0.006258607
SRR6414056,0.9937414,0.006258607
SRR2658740,0.9937414,0.006258607
SRR6265647,0.9937414,0.006258607
SRR2143696,0.9937414,0.006258607
ERR501236,0.9937414,0.006258607
SRR388066,0.9937414,0.006258607
DRR030610,0.9937414,0.006258607
ERR2511832,0.9937414,0.006258607
SRR2924477,0.9937414,0.006258607
ERR209821,0.9937414,0.006258607
ERR1313747,0.9937414,0.006258607
SRR995596,0.9937414,0.006258607
SRR6038325,0.9937414,0.006258607
DRR043906,0.9937414,0.006258607
SRR6414045,0.9937414,0.006258607
ERR2002381,0.9937414,0.006258607
ERR1701245,0.9937414,0.006258607
ERR2002243,0.9937414,0.006258607
ERR1960823,0.9937414,0.006258607
DRR030599,0.9937414,0.006258607
SRR996975,0.9937414,0.006258607
ERR532081,0.9937414,0.006258607
ERR1384923,0.9937414,0.006258607
ERR441446,0.9937414,0.006258607
SRR3094817,0.9937414,0.006258607
DRR047731,0.9937414,0.006258607
SRR920607,0.9937414,0.006258607
ERR1109652,0.9937414,0.006258607
ERR1611389,0.9937414,0.006258607
SRR2658011,0.9937414,0.006258607
SRR823317,0.9937414,0.006258607
SRR6931490,0.9937414,0.006258607
DRR024059,0.9937414,0.006258607
SRR7448670,0.9937414,0.006258607
ERR139112,0.9937414,0.006258607
ERR1383816,0.9937414,0.006258607
SRR6417493,0.9937415,0.0062584877
ERR1885249,0.9937414,0.006258607
ERR1020510,0.9937414,0.006258607
ERR499930,0.9937414,0.006258607
SRR2155019,0.9937414,0.006258607
SRR1145277,0.9937414,0.006258607
ERR1811120,0.9937414,0.006258607
ERR365884,0.9937414,0.006258607
SRR6028495,0.9937414,0.006258607
SRR6444654,0.9937414,0.006258607
SRR6054673,0.9937414,0.006258607
ERR441979,0.99374145,0.0062585473
SRR1618302,0.9937414,0.006258607
ERR500292,0.9937414,0.006258607
SRR996007,0.9937414,0.006258607
SRR5688044,0.9937414,0.006258607
SRR6931721,0.9937414,0.006258607
ERR883455,0.9937414,0.006258607
SRR7448824,0.99374133,0.0062586665
SRR7449426,0.9937414,0.006258607
ERR2511070,0.9937414,0.006258607
ERR2198076,0.9937414,0.006258607
ERR2730369,0.9937414,0.006258607
SRR6054702,0.9937414,0.006258607
SRR6264920,0.9937414,0.006258607
ERR1678092,0.9937414,0.006258607
SRR5983377,0.9937414,0.006258607
ERR1885029,0.9937415,0.0062584877
DRR047648,0.9937414,0.006258607
SRR5644010,0.9937414,0.006258607
ERR443167,0.9937414,0.006258607
ERR1311268,0.9937414,0.006258607
ERR501253,0.9937414,0.006258607
SRR6408700,0.9937414,0.006258607
ERR1384718,0.9937414,0.006258607
SRR6038426,0.9937414,0.006258607
SRR2154948,0.9937414,0.006258607
ERR139306,0.9937414,0.006258607
SRR1617887,0.9937414,0.006258607
SRR6309282,0.9937414,0.006258607
DRR047550,0.9937414,0.006258607
ERR2738745,0.9937414,0.006258607
SRR7448680,0.9937414,0.006258607
ERR500097,0.9937414,0.006258607
ERR501346,0.9937414,0.006258607
SRR1923906,0.9937414,0.006258607
ERR1111279,0.9937414,0.006258607
ERR1384994,0.9937414,0.006258607
SRR6408571,0.9937414,0.006258607
SRR3361563,0.9937414,0.006258607
SRR7797559,0.99374145,0.0062585473
ERR1310621,0.9937414,0.006258607
SRR387969,0.9937414,0.006258607
SRR920902,0.9937414,0.006258607
ERR500996,0.9937414,0.006258607
SRR3094832,0.9937414,0.006258607
ERR443600,0.9937414,0.006258607
SRR5467781,0.9937414,0.006258607
SRR6394045,0.9937414,0.006258607
ERR1313504,0.9937414,0.006258607
ERR498745,0.9937414,0.006258607
ERR498725,0.9937414,0.006258607
ERR499076,0.9937414,0.006258607
ERR2738771,0.9937414,0.006258607
SRR6054631,0.9937414,0.006258607
ERR499690,0.9937414,0.006258607
ERR1314079,0.9937414,0.006258607
ERR1111270,0.9937414,0.006258607
DRR042935,0.9937414,0.006258607
SRR6932486,0.9937414,0.006258607
DRR029205,0.9937414,0.006258607
SRR5687877,0.9937414,0.006258607
SRR6444663,0.9937415,0.0062584877
SRR7448859,0.9937414,0.006258607
ERR500566,0.9937414,0.006258607
SRR2145486,0.9937414,0.006258607
ERR1311130,0.9937414,0.006258607
ERR2738952,0.9937414,0.006258607
SRR3732494,0.9937414,0.006258607
ERR522361,0.9937414,0.006258607
ERR531722,0.9937414,0.006258607
SRR6443864,0.9937414,0.006258607
SRR6394120,0.9937414,0.006258607
SRR6264578,0.9937414,0.006258607
DRR043929,0.9937414,0.006258607
ERR2511120,0.9937414,0.006258607
SRR5724721,0.9937414,0.006258607
ERR1383010,0.9937414,0.006258607
SRR3095109,0.9937414,0.006258607
SRR6054438,0.9937414,0.006258607
ERR520714,0.9937414,0.006258607
SRR1922958,0.9937414,0.006258607
ERR209251,0.9937414,0.006258607
SRR6411661,0.9937414,0.006258607
SRR3053536,0.9937414,0.006258607
SRR5196283,0.9937414,0.006258607
DRR030467,0.9937414,0.006258607
SRR3419462,0.9937414,0.006258607
ERR579604,0.9937414,0.006258607
SRR2761301,0.9937414,0.006258607
SRR2155039,0.9937414,0.006258607
ERR522099,0.9937414,0.006258607
ERR1314821,0.9937414,0.006258607
ERR1383824,0.9937414,0.006258607
ERR1678088,0.9937414,0.006258607
SRR3503358,0.9937414,0.006258607
SRR3992167,0.9937414,0.006258607
SRR6931654,0.9937414,0.006258607
SRR1660214,0.9937414,0.006258607
SRR7453819,0.9937414,0.006258607
SRR3094891,0.9937414,0.006258607
SRR6365002,0.9937414,0.006258607
SRR5699357,0.9937414,0.006258607
ERR441051,0.9937414,0.006258607
SRR7453925,0.9937414,0.006258607
SRR2924496,0.9937414,0.006258607
ERR1383542,0.9937414,0.006258607
DRR041986,0.9937415,0.0062584877
ERR498729,0.9937414,0.006258607
SRR5467894,0.99373806,0.006261945
DRR018769,0.99374104,0.0062589645
SRR2046627,0.9937414,0.006258607
SRR3201957,0.9937414,0.006258607
SRR6038259,0.9937414,0.006258607
ERR2011844,0.9937414,0.006258607
ERR866498,0.9937414,0.006258607
SRR920696,0.9937414,0.006258607
SRR3647845,0.9937414,0.006258607
ERR501354,0.9937414,0.006258607
ERR499515,0.9937414,0.006258607
ERR883443,0.9937414,0.006258607
SRR3095092,0.9937414,0.006258607
ERR2849489,0.9937415,0.0062584877
DRR048234,0.99374115,0.0062588453
SRR5467602,0.9937414,0.006258607
SRR6038425,0.9937414,0.006258607
SRR5467545,0.9937414,0.006258607
ERR2738834,0.9937414,0.006258607
DRR018728,0.9937408,0.006259203
SRR1461299,0.9937414,0.006258607
ERR2739065,0.9937414,0.006258607
DRR030573,0.9937414,0.006258607
SRR1949016,0.9937414,0.006258607
ERR2042075,0.9937414,0.006258607
ERR2738896,0.9937414,0.006258607
SRR5467533,0.9937414,0.006258607
ERR2001878,0.9937414,0.006258607
ERR1811244,0.9937414,0.006258607
SRR995278,0.9937414,0.006258607
ERR2011881,0.9937414,0.006258607
ERR719151,0.9937414,0.006258607
SRR2163546,0.9937414,0.006258607
ERR867087,0.99374145,0.0062585473
SRR6038195,0.9937413,0.006258726
SRR995586,0.9937414,0.006258607
SRR996260,0.9937414,0.006258607
ERR498819,0.9937414,0.006258607
SRR994452,0.9937414,0.006258607
SRR3732532,0.9937414,0.006258607
SRR5467722,0.9937414,0.006258607
ERR1310888,0.9937414,0.006258607
ERR209701,0.9937414,0.006258607
ERR1314299,0.9937414,0.006258607
DRR042021,0.9937414,0.006258607
SRR028710,0.9937414,0.006258607
