,mean,std
7756,3.2620948786643567e-06,1.86963352462044e-05
7757,7.52308171314553e-09,1.7961176013159275e-07
7758,0.04071735590696335,0.08667201548814774
7759,6.081476158215082e-07,4.968910616298672e-06
7760,0.0,0.0
7761,0.04071735590696335,0.08667201548814774
7762,5.676066621163045e-07,5.93169488638523e-06
7763,1.7994240408825135e-07,1.708592662907904e-06
7764,0.04071735590696335,0.08667201548814774
7765,5.676066621163045e-07,5.93169488638523e-06
7766,1.3382424945973526e-08,2.4648267071825103e-07
7767,0.04071735590696335,0.08667201548814774
7768,1.1159685442407863e-07,8.697430757820257e-07
7769,0.0,0.0
7770,0.04071735590696335,0.08667201548814774
7771,5.676066621163045e-07,5.93169488638523e-06
7772,0.0,0.0
7773,0.04071735590696335,0.08667201548814774
7774,2.787686241845222e-07,2.381444346610806e-06
7775,0.0,0.0
7776,0.04071735590696335,0.08667201548814774
7777,6.483369929810578e-08,7.314628760468622e-07
7778,0.0,0.0
7779,0.04071735590696335,0.08667201548814774
7780,3.078974089021358e-07,2.839525677700294e-06
7781,0.0,0.0
7782,0.04071735590696335,0.08667201548814774
7783,2.787686241845222e-07,2.381444346610806e-06
7784,0.0,0.0
7785,1.1349155101925135e-05,8.176799019565806e-05
7786,6.83681446389528e-06,7.04257472534664e-05
7787,0.0,0.0
7788,0.0022000004537403584,0.011625802144408226
7789,3.6047470075573074e-07,2.7811536256194813e-06
7790,3.6047470075573074e-07,2.7811536256194813e-06
7791,0.00042672065319493413,0.0025219160597771406
7792,0.00042672065319493413,0.0025219160597771406
7793,0.00017722707707434893,0.0012966749491170049
7794,0.0,0.0
7795,0.0,0.0
7796,0.0,0.0
7797,0.0,0.0
7798,0.0,0.0
7799,0.0,0.0
7800,0.04071735590696335,0.08667201548814774
7801,3.2620948786643567e-06,1.86963352462044e-05
7802,0.0,0.0
7803,0.04071735590696335,0.08667201548814774
7804,3.9619629887965857e-07,2.7550272534426767e-06
7805,0.0,0.0
7806,0.04071735590696335,0.08667201548814774
7807,0.028161508962512016,0.07804730534553528
7808,3.5603263768280158e-06,2.806060183502268e-05
7809,2.3362913736946211e-07,1.5023626929178135e-06
7810,6.878030944790225e-08,7.613127195327252e-07
7811,0.0,0.0
7812,2.3362913736946211e-07,1.5023626929178135e-06
7813,0.0,0.0
7814,0.0,0.0
7815,0.050678908824920654,0.0672740489244461
7816,0.0,0.0
7817,0.0,0.0
7818,0.050678908824920654,0.0672740489244461
7819,1.757994141371455e-06,1.1051032743125688e-05
7820,9.620883645311551e-09,2.2969736335198832e-07
7821,0.050678908824920654,0.0672740489244461
7822,1.757994141371455e-06,1.1051032743125688e-05
7823,0.0,0.0
7824,0.48019886016845703,0.17894300818443298
