,root:CRC (stage 0),root:CRC (stage I),root:CRC (stage II),root:CRC (stage III),root:CRC (stage IV),Unknown
ERR479353,0.12443364,0.14056134,0.12906487,0.044663385,0.5612768,0.0
ERR479563,0.11539608,0.41904536,0.19177723,0.16804248,0.10573884,0.0
ERR480750,0.12258981,0.15513502,0.13098948,0.043076303,0.54820937,0.0
ERR480831,0.085261725,0.5553025,0.07606751,0.09468263,0.18868561,0.0
ERR481036,0.12874432,0.14171818,0.121839665,0.04689223,0.5608056,0.0
ERR479560,0.082411796,0.13111223,0.21884863,0.023345022,0.5442823,0.0
ERR480731,0.10832382,0.13505459,0.1582178,0.036698516,0.5617053,0.0
ERR481062,0.13761932,0.12335569,0.42261183,0.19840819,0.03984341,0.0781616
ERR479144,0.101147175,0.3837356,0.08408141,0.30728546,0.123750344,0.0
ERR481051,0.14140888,0.17253867,0.10800414,0.043606162,0.5344421,0.0
ERR479518,0.085202396,0.55483,0.07627975,0.09431793,0.18936978,0.0
ERR479519,0.08503847,0.5521613,0.07687115,0.09385062,0.1920785,0.0
ERR479562,0.113852,0.41676137,0.19346291,0.16708283,0.10884081,0.0
ERR480740,0.12041116,0.09811936,0.24247232,0.49048886,0.048508286,0.0
ERR479258,0.11457916,0.13571848,0.14568624,0.04013092,0.5638852,0.0
ERR479438,0.12810361,0.14130557,0.12292197,0.046641808,0.56102705,0.0
ERR479245,0.085986935,0.5553848,0.07718339,0.09525847,0.18618639,0.0
ERR480715,0.07992571,0.12739749,0.22475971,0.023562333,0.54435474,0.0
ERR481028,0.15983272,0.30720922,0.05169656,0.043197688,0.4380638,0.0
ERR480751,0.07469024,0.11432636,0.2333303,0.023292858,0.5543603,0.0
ERR479471,0.10154781,0.38245732,0.084876135,0.30836082,0.122757964,0.0
ERR479223,0.1197706,0.14835848,0.14404975,0.040411834,0.54740936,0.0
ERR481034,0.12851082,0.1426605,0.12229287,0.046529,0.5600068,0.0
ERR479566,0.13567773,0.12031895,0.4308718,0.19674361,0.03970477,0.07668316
ERR479246,0.0856549,0.55534816,0.07672046,0.09495259,0.18732388,0.0
ERR478968,0.08400138,0.56306124,0.11964203,0.08871455,0.14458078,0.0
ERR479545,0.0860109,0.5363594,0.08321497,0.09635467,0.19806005,0.0
ERR479278,0.12988818,0.14783108,0.120588906,0.045839407,0.5558524,0.0
ERR479194,0.100444674,0.37827295,0.082658574,0.3144766,0.124147214,0.0
ERR480718,0.07862121,0.12723988,0.22753526,0.022951836,0.5436518,0.0
ERR475533,0.09116743,0.31651512,0.12619174,0.06470271,0.40142295,0.0
ERR479357,0.11539857,0.115304396,0.37283188,0.024056258,0.37240896,0.0
ERR479114,0.15028855,0.15536314,0.23215358,0.41448852,0.047706258,0.0
ERR475532,0.09540674,0.24394742,0.27188498,0.17907524,0.10485703,0.104828596
ERR480974,0.060636323,0.07108863,0.6726911,0.046348248,0.14923568,0.0
ERR480690,0.10043424,0.37835425,0.082660034,0.3143789,0.12417261,0.0
ERR480944,0.0878707,0.55066746,0.079208195,0.10224901,0.18000461,0.0
ERR480955,0.062109265,0.06330713,0.6937613,0.045477144,0.13534507,0.0
ERR481039,0.08584592,0.5130421,0.07834478,0.11318207,0.20958513,0.0
ERR479469,0.1015921,0.38255963,0.08500917,0.30813548,0.12270368,0.0
ERR481037,0.12753755,0.1405992,0.12374523,0.04647057,0.5616474,0.0
ERR480671,0.13610888,0.12032902,0.42883044,0.19787505,0.039670497,0.07718611
ERR480958,0.08688567,0.2434205,0.14731945,0.37503237,0.14734209,0.0
ERR480912,0.106945,0.13626604,0.1658016,0.034586538,0.5564008,0.0
ERR479463,0.099204205,0.31566626,0.1441862,0.31105018,0.12989314,0.0
ERR479115,0.115384914,0.115297236,0.3728573,0.024052804,0.37240776,0.0
ERR481054,0.12881027,0.14842257,0.11879601,0.04637038,0.5576008,0.0
ERR480952,0.0635514,0.06021982,0.70333344,0.046042137,0.12685315,0.0
ERR479505,0.093073905,0.28396684,0.24274495,0.18178883,0.11851248,0.07991302
ERR481057,0.12947182,0.16098177,0.11297087,0.046692505,0.54988295,0.0
ERR480721,0.0951939,0.49999127,0.085909165,0.16157998,0.15732573,0.0
ERR475509,0.16887984,0.11097654,0.11417274,0.15276657,0.4532043,0.0
ERR479369,0.077938825,0.097387075,0.66535056,0.10804629,0.050254077,0.0010231733
ERR475579,0.37067834,0.23753479,0.095952176,0.22034587,0.07548876,0.0
ERR480864,0.07541129,0.15192354,0.52384895,0.12121239,0.07662657,0.05097735
ERR480807,0.08533643,0.5449706,0.07599538,0.101868615,0.19182894,0.0
ERR479302,0.100147806,0.3832407,0.08250921,0.3083758,0.12572645,0.0
ERR480999,0.077702194,0.09621913,0.6689393,0.10744395,0.04969546,0.0
ERR480977,0.1215184,0.1451662,0.13723613,0.041923705,0.5541556,0.0
ERR480610,0.15343839,0.15581007,0.2299938,0.41244498,0.048312765,0.0
ERR479513,0.12277268,0.14004289,0.13187148,0.043810524,0.5615025,0.0
ERR479367,0.07801741,0.09750441,0.6647221,0.1081928,0.050272167,0.0012910962
ERR479546,0.12117618,0.46839574,0.12832616,0.1855351,0.09656683,0.0
ERR479389,0.0747355,0.52919453,0.16924457,0.11337131,0.11345405,0.0
