,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525688,0.12262159,0.18012106,0.69725734,0.0
ERR525689,0.104703404,0.18216866,0.7131279,0.0
ERR525694,0.078521274,0.4995803,0.4218984,0.0
ERR525700,0.10577157,0.29262975,0.6015987,0.0
ERR525701,0.10662803,0.1847574,0.70861465,0.0
ERR525703,0.10451548,0.31391555,0.581569,0.0
ERR525709,0.11783916,0.17966002,0.7025008,0.0
ERR525713,0.08524852,0.311513,0.6032385,0.0
ERR525717,0.12513767,0.18129523,0.6935671,0.0
ERR525722,0.107705034,0.18152893,0.710766,0.0
ERR525726,0.589733,0.38910726,0.021159777,0.0
ERR525730,0.10809668,0.18144685,0.7104565,0.0
ERR525734,0.10893742,0.18137686,0.7096857,0.0
ERR525738,0.062873185,0.6628234,0.11498216,0.15932131
ERR525742,0.10784874,0.1818508,0.7103005,0.0
ERR525743,0.105897345,0.18190934,0.7121933,0.0
ERR525747,0.10880381,0.18150103,0.70969516,0.0
ERR525754,0.2790323,0.3296455,0.3156855,0.075636685
ERR525760,0.45969045,0.29438484,0.2459247,0.0
ERR525764,0.13309236,0.19514692,0.67176074,0.0
ERR525768,0.47405186,0.37738878,0.11412445,0.034434915
ERR525772,0.20504878,0.16103859,0.6339126,0.0
ERR525776,0.7105976,0.19070266,0.09869979,0.0
ERR525780,0.078521274,0.4995803,0.4218984,0.0
ERR525784,0.078521274,0.4995803,0.4218984,0.0
ERR525788,0.10454345,0.18220377,0.7132528,0.0
ERR525792,0.6322321,0.30027083,0.067496985,0.0
ERR525796,0.104381666,0.1921787,0.70343965,0.0
ERR525800,0.6460889,0.23630455,0.11760662,0.0
ERR525801,0.062873185,0.6628234,0.11498216,0.15932131
ERR525806,0.11550124,0.18040529,0.7040935,0.0
ERR525810,0.06298557,0.66278994,0.11492628,0.15929824
ERR525816,0.11502136,0.1807017,0.7042769,0.0
ERR525820,0.11681241,0.56762445,0.14501229,0.17055082
ERR525824,0.08154496,0.38852677,0.5299283,0.0
ERR525828,0.113500446,0.1806718,0.7058278,0.0
ERR525832,0.088661164,0.619208,0.14795932,0.14417148
ERR525836,0.11212164,0.24243787,0.6454405,0.0
ERR525844,0.11300711,0.18049923,0.7064937,0.0
ERR525848,0.062873185,0.6628234,0.11498216,0.15932131
ERR525852,0.084306166,0.49998024,0.4157136,0.0
ERR525856,0.11276443,0.18048379,0.7067518,0.0
ERR525860,0.12139892,0.17942314,0.6991779,0.0
ERR525864,0.16308615,0.46087268,0.29164413,0.08439708
ERR525868,0.14711851,0.476744,0.27779955,0.09833795
ERR525872,0.12712269,0.27882057,0.5940567,0.0
ERR525876,0.13798189,0.2338002,0.6282179,0.0
ERR525880,0.12796712,0.1863984,0.6856345,0.0
ERR525881,0.10780676,0.18163268,0.7105606,0.0
ERR525886,0.078521274,0.4995803,0.4218984,0.0
ERR525890,0.20490554,0.16106798,0.6340265,0.0
ERR525896,0.102982126,0.42143765,0.47558022,0.0
ERR525898,0.10920638,0.18124162,0.70955193,0.0
ERR525904,0.10367228,0.1952646,0.70106316,0.0
ERR525908,0.105075516,0.18208699,0.7128375,0.0
ERR525912,0.10805392,0.1814613,0.7104848,0.0
ERR525916,0.18933153,0.6296514,0.06267607,0.11834097
