,root:CRC (stage 0),root:CRC (stage I),root:CRC (stage II),root:CRC (stage III),root:CRC (stage IV),Unknown
ERR479534,0.058309343,0.09872603,0.6242694,0.07838688,0.1403084,0.0
ERR475532,0.101699576,0.12626635,0.26954815,0.06369718,0.4387887,0.0
ERR479039,0.06691369,0.14912918,0.22219355,0.027122179,0.5346414,0.0
ERR475501,0.059322517,0.17592768,0.51959467,0.11712521,0.1280299,0.0
ERR479333,0.10836813,0.5037743,0.12263727,0.13382913,0.13139118,0.0
ERR480641,0.13178237,0.15878315,0.340287,0.30650216,0.062645316,0.0
ERR479175,0.1355689,0.15973492,0.39382166,0.25584778,0.05502675,0.0
ERR481047,0.2181925,0.46766105,0.060088124,0.07476346,0.17929485,0.0
ERR478985,0.1875355,0.0844735,0.21227296,0.08127056,0.4344475,0.0
ERR479114,0.10297127,0.114587784,0.23080523,0.4680537,0.08358205,0.0
ERR479360,0.11054058,0.51843655,0.122330226,0.13029133,0.11840131,0.0
ERR479353,0.1005916,0.16897237,0.2092077,0.06482413,0.45640415,0.0
ERR479145,0.13713491,0.16647366,0.37793568,0.26157865,0.056877077,0.0
ERR479148,0.13908729,0.24119902,0.13887429,0.07014246,0.41069692,0.0
ERR480982,0.10956093,0.5163164,0.12136627,0.13055357,0.122202836,0.0
ERR480844,0.21248873,0.25366616,0.0681929,0.032090545,0.43356168,0.0
ERR480927,0.04974707,0.09131342,0.6013517,0.045911092,0.21167679,0.0
ERR479448,0.10987126,0.5189555,0.12180145,0.12851927,0.12085254,0.0
ERR480716,0.111909814,0.19917758,0.18395571,0.06417621,0.4407807,0.0
ERR479488,0.073946185,0.15252005,0.21073706,0.029504724,0.53329194,0.0
ERR481057,0.08901398,0.11026396,0.26340753,0.032137092,0.50517744,0.0
ERR479174,0.0723492,0.12585497,0.24654143,0.026825601,0.5284288,0.0
ERR480527,0.09201614,0.15329193,0.22819935,0.06250451,0.4639881,0.0
ERR479558,0.07837635,0.1002952,0.29595554,0.02363949,0.5017334,0.0
ERR479032,0.09737914,0.16321689,0.21615244,0.06391581,0.45933568,0.0
ERR479516,0.1098681,0.5197664,0.121168815,0.12962179,0.11957497,0.0
ERR479431,0.05277144,0.09707316,0.4364426,0.29932848,0.114384316,0.0
ERR479470,0.1338945,0.16066939,0.40086445,0.23910306,0.06546861,0.0
ERR481063,0.1378385,0.1657555,0.38735616,0.2543279,0.054721873,0.0
ERR479024,0.110248476,0.5191344,0.121111296,0.13012013,0.11938573,0.0
ERR479222,0.087313615,0.14409886,0.21586926,0.029219119,0.5234992,0.0
ERR478969,0.13721187,0.50964737,0.10166531,0.11344948,0.13802601,0.0
ERR475493,0.07866205,0.4171912,0.056786202,0.2628566,0.18450403,0.0
ERR480943,0.057990275,0.069424555,0.67105335,0.05078353,0.15074839,0.0
ERR479256,0.09294102,0.15456334,0.22621869,0.06293619,0.46334073,0.0
ERR479200,0.10300282,0.11530558,0.23015529,0.4676649,0.08387134,0.0
ERR475521,0.07921287,0.1873777,0.14431478,0.42928097,0.15981375,0.0
ERR480947,0.10982435,0.5118285,0.12737194,0.12235689,0.1286183,0.0
ERR481042,0.11203654,0.5011754,0.12330178,0.14489983,0.11858641,0.0
ERR475557,0.1714895,0.23136148,0.120483,0.038483705,0.4381823,0.0
ERR479318,0.06244812,0.07057267,0.65337086,0.04889733,0.16471091,0.0
ERR479030,0.0979936,0.16454399,0.2147477,0.06398978,0.45872498,0.0
ERR479246,0.10984264,0.5164304,0.12380749,0.12638746,0.123532,0.0
ERR481021,0.07259695,0.14257203,0.22467318,0.027383331,0.5327745,0.0
ERR480970,0.058567245,0.1072139,0.6155611,0.08267328,0.13598448,0.0
ERR480912,0.07746171,0.1262129,0.24518542,0.02786047,0.52327955,0.0
ERR480933,0.06794983,0.13901332,0.23208392,0.026732786,0.53422016,0.0
ERR480611,0.06374195,0.103938565,0.64641213,0.09155903,0.094348244,0.0
ERR475520,0.19487649,0.2846188,0.073931016,0.09764061,0.3489331,0.0
ERR480805,0.109214395,0.51068324,0.12426649,0.12694497,0.12889095,0.0
ERR480580,0.092632316,0.1545982,0.22674122,0.06260598,0.46342227,0.0
ERR479389,0.11048074,0.518965,0.12194597,0.13006032,0.11854802,0.0
ERR479031,0.09882984,0.1658756,0.21298322,0.06428472,0.45802665,0.0
ERR479559,0.0773535,0.09967013,0.2910261,0.023783779,0.5081665,0.0
ERR479540,0.06752961,0.14979884,0.22029853,0.027599066,0.5347739,0.0
ERR480507,0.11962079,0.11859632,0.53027767,0.099247605,0.13225766,0.0
ERR480956,0.095052876,0.15167697,0.1911159,0.038905777,0.5232485,0.0
ERR481024,0.05801084,0.06950958,0.67105913,0.05087798,0.15054254,0.0
ERR481039,0.10773184,0.47768924,0.12361018,0.14813058,0.14283817,0.0
ERR475577,0.18753563,0.084473595,0.21227273,0.08127058,0.43444744,0.0
ERR479546,0.1104897,0.5081366,0.12076232,0.14008838,0.12052302,0.0
ERR480951,0.11423016,0.5150156,0.12140556,0.12845723,0.12089145,0.0
ERR480569,0.06649226,0.14782456,0.2238869,0.027006602,0.5347897,0.0
ERR480671,0.13455187,0.15867522,0.3978688,0.25389326,0.055010818,0.0
