,root:baby_birth:cesarean_section,root:baby_birth:vaginal_delivery,root:baby_fourthmonth:cesarean_section,root:baby_fourthmonth:vaginal_delivery,Unknown
ERR525712,0.3539701,0.14762402,0.19243872,0.14788249,0.15808463
ERR525831,0.26481813,0.18132922,0.32515624,0.14620715,0.08248925
ERR525835,0.35397014,0.14762408,0.19243848,0.14788264,0.15808469
ERR525859,0.35265803,0.14805365,0.19394049,0.14786541,0.15748239
ERR525875,0.36293823,0.3083624,0.11305949,0.070363075,0.14527678
ERR525895,0.29925096,0.17097831,0.25189653,0.15361401,0.12426019
ERR525901,0.35309958,0.14805236,0.1929706,0.14813936,0.15773809
ERR525919,0.2824012,0.23268309,0.14035636,0.2526791,0.09188026
ERR526063,0.35397044,0.14762464,0.19243595,0.14788392,0.15808511
ERR525704,0.35270712,0.1480324,0.19388473,0.14786029,0.15751547
ERR525777,0.28246516,0.23267975,0.14024115,0.25273925,0.09187466
ERR525793,0.37663817,0.19084933,0.07361561,0.25532472,0.10357219
ERR525802,0.17893572,0.1352637,0.18435505,0.50144553,0.0
ERR525857,0.31374615,0.13044408,0.15121743,0.40459237,0.0
ERR525933,0.228787,0.28715172,0.20042339,0.2836379,0.0
ERR526037,0.18527196,0.13164656,0.17797558,0.5051059,0.0
ERR526065,0.34060982,0.15209639,0.20813176,0.14775452,0.15140748
ERR525805,0.2824845,0.23266977,0.14022186,0.25273982,0.091884136
ERR525917,0.31344646,0.33780813,0.21662265,0.11310992,0.019012809
ERR525749,0.22752635,0.28864786,0.20207967,0.2817462,0.0
ERR525774,0.320835,0.40425232,0.1799635,0.08974624,0.0052030087
ERR525818,0.32078087,0.38656598,0.1768713,0.08890897,0.026872873
ERR525822,0.320835,0.4042523,0.17996347,0.08974624,0.0052030087
ERR525914,0.3207766,0.40421766,0.18000308,0.08975881,0.005243838
ERR525966,0.3204042,0.40316373,0.18007901,0.0897021,0.0066509247
ERR526042,0.3429953,0.1512273,0.20536411,0.14768884,0.1527245
ERR526066,0.30823642,0.16548383,0.254111,0.1486074,0.12356138
ERR525814,0.35012156,0.33570322,0.1303564,0.075699836,0.10811901
ERR525938,0.340356,0.15211266,0.20859748,0.14764163,0.1512922
