,root:baby_birth:cesarean_section,root:baby_birth:vaginal_delivery,root:baby_fourthmonth:cesarean_section,root:baby_fourthmonth:vaginal_delivery,Unknown
ERR525692,0.28345376,0.37779817,0.08461565,0.050272733,0.20385969
ERR525767,0.26424563,0.16957045,0.13228217,0.105460644,0.32844114
ERR525804,0.26423645,0.1694994,0.1323098,0.10549641,0.32845795
ERR525823,0.26423788,0.16950837,0.13230592,0.10549161,0.32845616
ERR525931,0.26423645,0.1694994,0.1323098,0.10549641,0.32845795
ERR526011,0.23128682,0.26064125,0.21604624,0.13693422,0.15509146
ERR526015,0.2901313,0.21617156,0.050994128,0.20114645,0.24155653
ERR526027,0.26423645,0.1694994,0.1323098,0.10549641,0.32845795
ERR526067,0.26429552,0.16989195,0.13213879,0.10528681,0.3283869
ERR525773,0.32933724,0.16913009,0.15292217,0.34861052,0.0
ERR525797,0.23125944,0.2605722,0.21625659,0.13682753,0.15508425
ERR525833,0.2947303,0.14764406,0.13577276,0.4218529,0.0
ERR525853,0.17277378,0.12973498,0.17481573,0.5226755,0.0
ERR525861,0.34237292,0.16023713,0.08771335,0.4096766,0.0
ERR525891,0.32206807,0.24755758,0.08636735,0.34400702,0.0
ERR525905,0.2901313,0.21617153,0.050994128,0.20114648,0.24155653
ERR526065,0.19229263,0.3664225,0.17780562,0.26347926,0.0
ERR525946,0.2642354,0.16950014,0.13231128,0.105496466,0.3284567
ERR526021,0.19415292,0.35956803,0.1915208,0.25475824,0.0
ERR525762,0.2947303,0.14764406,0.13577276,0.4218529,0.0
ERR525770,0.26844224,0.5557222,0.051154237,0.124681436,0.0
ERR525782,0.2901313,0.21617153,0.050994128,0.20114648,0.24155653
ERR525786,0.2520212,0.49896201,0.13657919,0.06471503,0.047722578
ERR525838,0.26844224,0.5557222,0.051154237,0.124681436,0.0
ERR525862,0.2947303,0.14764406,0.13577276,0.4218529,0.0
ERR525874,0.27441812,0.54511607,0.050967194,0.12949868,0.0
ERR525998,0.2947303,0.14764406,0.13577276,0.4218529,0.0
ERR525814,0.28683603,0.36584997,0.08041108,0.048966616,0.21793628
ERR526062,0.26844224,0.5557222,0.051154237,0.124681436,0.0
