,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525716,0.12598178,0.16253656,0.71148163,0.0
ERR525733,0.12598178,0.16253659,0.71148163,0.0
ERR525779,0.085990846,0.28670636,0.62730277,0.0
ERR525815,0.12598158,0.16253792,0.7114805,0.0
ERR525851,0.12598176,0.16253656,0.71148163,0.0
ERR525907,0.12596686,0.16275203,0.7112811,0.0
ERR526003,0.12598181,0.16253687,0.7114814,0.0
ERR526067,0.12598132,0.16254525,0.7114734,0.0
ERR526083,0.1259818,0.16253649,0.71148175,0.0
ERR525714,0.12106064,0.6408722,0.114004225,0.124062896
ERR525721,0.12056288,0.6389744,0.115731716,0.124730945
ERR525727,0.1265553,0.5990348,0.13743198,0.13697791
ERR525739,0.306759,0.44847733,0.14113185,0.103631854
ERR525869,0.15009949,0.5593492,0.14639929,0.14415205
ERR525941,0.12105715,0.6408818,0.114001006,0.124060035
ERR526041,0.12619025,0.62344366,0.12044877,0.12991732
ERR526045,0.12105632,0.64088005,0.11400449,0.12405914
ERR525690,0.71371144,0.25294182,0.03334682,0.0
ERR526029,0.10636631,0.58976185,0.17892608,0.12494576
ERR525715,0.71287256,0.2539994,0.03312807,0.0
ERR525874,0.69041586,0.27990732,0.029676836,0.0
ERR525878,0.5280049,0.4267279,0.02021429,0.025052905
ERR525888,0.18359834,0.38736492,0.4290367,0.0
ERR525906,0.7054114,0.26278582,0.031802807,0.0
ERR525998,0.6781431,0.28814572,0.033711225,0.0
ERR526006,0.7117679,0.2547444,0.033487763,0.0
ERR526066,0.7043209,0.26312757,0.032551505,0.0
ERR525958,0.66087717,0.1607905,0.14445266,0.033879638
ERR526030,0.608455,0.3718845,0.019660568,0.0
