,root:baby_birth:cesarean_section,root:baby_birth:vaginal_delivery,root:baby_fourthmonth:cesarean_section,root:baby_fourthmonth:vaginal_delivery,Unknown
ERR525716,0.10383928,0.26606935,0.1144543,0.12624505,0.38939202
ERR525733,0.10383928,0.26606935,0.1144543,0.12624505,0.38939202
ERR525779,0.10383996,0.2660781,0.11444667,0.12625182,0.38938344
ERR525815,0.103839725,0.26607388,0.11444992,0.12624994,0.38938653
ERR525851,0.10383928,0.26606935,0.1144543,0.12624505,0.38939202
ERR525907,0.10384959,0.26620373,0.11433673,0.12635174,0.3892582
ERR526003,0.10383928,0.26606935,0.1144543,0.12624505,0.38939202
ERR526067,0.10383937,0.26606977,0.11445394,0.12624538,0.38939154
ERR526083,0.10383928,0.26606935,0.1144543,0.12624505,0.38939202
ERR525714,0.11809012,0.2174862,0.083397865,0.50397885,0.07704699
ERR525721,0.11808628,0.21749076,0.083408,0.50397426,0.07704067
ERR525727,0.11338842,0.4022008,0.043500274,0.2575149,0.18339556
ERR525739,0.11305651,0.40071002,0.044355333,0.25040498,0.19147313
ERR525869,0.113378614,0.402762,0.043419033,0.2570413,0.18339908
ERR525941,0.11809012,0.2174862,0.083397865,0.50397885,0.07704699
ERR526041,0.113331944,0.40486503,0.043137163,0.2549943,0.1836716
ERR526045,0.11809012,0.2174862,0.083397865,0.50397885,0.07704699
ERR525690,0.11333278,0.40495896,0.04311952,0.25497153,0.18361723
ERR526029,0.11809012,0.2174862,0.083397865,0.50397885,0.07704699
ERR525715,0.11333278,0.40495896,0.04311952,0.25497153,0.18361723
ERR525874,0.11333278,0.40495896,0.04311952,0.25497153,0.18361723
ERR525878,0.11333278,0.40495896,0.04311952,0.25497153,0.18361723
ERR525888,0.10383928,0.26606935,0.1144543,0.12624505,0.38939202
ERR525906,0.11333278,0.40495896,0.04311952,0.25497153,0.18361723
ERR525998,0.11332795,0.40488446,0.04314083,0.2548917,0.18375504
ERR526006,0.11332077,0.40477353,0.043172598,0.25477272,0.18396038
ERR526066,0.11333093,0.40487888,0.043137044,0.25495815,0.18369496
ERR525958,0.10386106,0.26636243,0.114200145,0.12647185,0.3891045
ERR526030,0.11333278,0.40495896,0.04311952,0.25497153,0.18361723
