,root:Engineered:Wastewater,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Human,root:Host-associated:Insecta,root:Host-associated:Mammals,root:Host-associated:Plants
SRR8605621,0.00925269,0.022493396,0.050109826,0.058545873,0.015363702,0.0075116474,0.8367228
ERR2528817,0.0068335184,0.011008843,0.026036287,0.015410731,0.002770262,0.93696475,0.0009755921
SRR8605225,0.0044326647,0.016289758,0.036336027,0.6401289,0.0757456,0.014527712,0.21253937
ERR1314307,0.0076245563,0.007026539,0.0049717147,0.3499538,0.008431658,0.62008435,0.0019073293
SRR5915528,0.00090716867,0.994338,0.0007807041,0.0006052649,0.0014492462,0.0013295683,0.0005901973
ERR2784848,0.00012472822,0.000621155,0.001082919,0.99507105,0.00030012112,0.0018979132,0.00090210425
SRR3034970,0.00012472442,0.00062118703,0.0010829195,0.99507105,0.0003001191,0.0018979991,0.0009021047
ERR3344392,0.0009072378,0.994337,0.00078078004,0.00060541095,0.0014495207,0.001329836,0.0005901922
ERR1385430,0.00012473098,0.000621135,0.0010829165,0.9950712,0.00030012144,0.0018978518,0.0009021022
ERR2003193,0.005648789,0.007211061,0.0031837532,0.48893493,0.00867223,0.4851578,0.0011913665
SRR5178958,0.0009071669,0.994338,0.0007807018,0.0006052614,0.0014492408,0.001329562,0.0005901973
DRR044044,0.0001247624,0.0006208407,0.0010828825,0.9950722,0.00030013034,0.0018970683,0.0009020627
SRR1632482,0.00012649578,0.0006294099,0.0010904999,0.9950211,0.00030522095,0.0019135519,0.0009138396
ERR1298170,0.0048041865,0.006375667,0.036786396,0.014590639,0.007713226,0.0024839093,0.927246
SRR5196331,0.00012499346,0.0006189287,0.0010831369,0.9950781,0.00030031963,0.0018922931,0.00090220437
ERR499150,0.00014539619,0.0005079871,0.0010815819,0.9954508,0.00031319258,0.0016097485,0.000891478
SRR1949359,0.00021302777,0.0010268503,0.0013060503,0.9930039,0.00063566794,0.0023724898,0.0014420046
SRR3501922,0.0001253442,0.0006194869,0.0010837602,0.99507457,0.00030069976,0.0018941605,0.0009020098
ERR579531,0.0001284716,0.0005965076,0.0010824689,0.99515754,0.00030221062,0.001833279,0.00089956226
SRR6457166,0.00090718834,0.99433774,0.0007807255,0.0006053063,0.0014493248,0.0013296441,0.000590196
ERR498495,0.005953281,0.0068553933,0.0032765537,0.5117619,0.008861421,0.4620606,0.0012308779
SRR5431429,0.00012476723,0.00062094646,0.0010829451,0.9950718,0.00030014283,0.0018972775,0.0009021402
ERR1311570,0.005793554,0.0071043023,0.0032142207,0.49439338,0.008784765,0.4795077,0.0012020709
SRR6436892,0.00012526961,0.00061633793,0.0010826207,0.99508864,0.00030033744,0.0018851408,0.00090169185
SRR1426847,0.015079066,0.004512575,0.017082633,0.20643221,0.0064504603,0.74256814,0.007874917
SRR6414094,0.00012473538,0.0006211338,0.0010829692,0.9950712,0.0003001346,0.0018978636,0.0009021469
SRR7596832,0.0009071669,0.994338,0.0007807018,0.0006052614,0.0014492408,0.001329562,0.0005901973
SRR7448859,0.0001247732,0.0006212892,0.0010834107,0.99506915,0.00030032295,0.0018984561,0.0009025952
ERR1255917,0.0052926894,0.0074867685,0.0031054174,0.474869,0.008387111,0.49969518,0.0011637922
DRR047902,0.00012499634,0.0006187222,0.0010826671,0.9950801,0.000300202,0.001891384,0.0009018127
SRR5178154,0.00012495444,0.0006191009,0.0010827038,0.9950787,0.0003001887,0.0018923999,0.0009018561
ERR1512196,0.006796465,0.011043704,0.02611721,0.0152455885,0.0027555465,0.9370762,0.0009652624
ERR719876,0.0001247576,0.00062088785,0.0010828886,0.99507195,0.0003001291,0.0018971919,0.0009020702
ERR1548655,0.00016142151,0.00080098363,0.0012067751,0.9938559,0.00039193983,0.0026118148,0.00097114657
ERR538573,0.0046450403,0.017004468,0.71987206,0.06993328,0.0032615806,0.025397154,0.15988638
ERR441211,0.00012474807,0.0006211292,0.0010833129,0.99507,0.000300231,0.0018981626,0.0009024238
SRR5908746,0.0009071728,0.99433786,0.00078070845,0.00060527463,0.0014492641,0.0013295847,0.0005901972
ERR499028,0.0001249855,0.00061891554,0.0010827116,0.9950793,0.00030020802,0.0018919309,0.0009018416
SRR5942107,0.00013841559,0.0005942604,0.0011057244,0.9947497,0.0003239691,0.0021712903,0.0009166191
ERR1135235,0.0005702442,0.0056408574,0.0025435619,0.9586358,0.0011271917,0.030287929,0.0011942954
ERR499786,0.00012488043,0.00061977323,0.0010827788,0.9950765,0.00030016768,0.0018942085,0.0009019409
ERR719121,0.0001247639,0.0006209133,0.0010829178,0.9950718,0.00030013936,0.001897302,0.0009020899
SRR6444292,0.00012472537,0.0006211823,0.0010829298,0.99507105,0.00030012254,0.0018979945,0.0009021133
ERR500167,0.00012477694,0.0006207796,0.0010828921,0.9950724,0.00030014556,0.0018969332,0.0009020625
ERR1987724,0.00017873029,0.0003835488,0.0010883047,0.9958538,0.00033065485,0.0012753231,0.0008897075
SRR7269994,0.0068484168,0.011075862,0.026104052,0.015370148,0.0027718544,0.9368527,0.0009770321
ERR1511974,0.0070578787,0.010977114,0.024692515,0.018058598,0.0029713148,0.9352061,0.0010365167
ERR675625,0.0068210014,0.011066121,0.026087282,0.015350371,0.0027658758,0.9369388,0.0009705906
ERR1511824,0.006042362,0.014615923,0.009151668,0.14386493,0.0065487223,0.81885695,0.0009194656
ERR1256781,0.0070595164,0.012322786,0.012844238,0.07925407,0.005333574,0.88201934,0.0011664566
SRR8608461,0.0070585404,0.0204734,0.04833466,0.19190258,0.037009068,0.008628891,0.6865929
SRR1770724,0.0046457434,0.017003808,0.7198317,0.069948025,0.0032619734,0.025399406,0.15990919
SRR6413823,0.00012494794,0.00061921356,0.0010828064,0.9950781,0.00030021224,0.0018927696,0.0009019437
SRR6816725,0.0009071729,0.994338,0.00078070856,0.0006052684,0.0014492553,0.0013295773,0.00059019955
SRR2668731,0.0009072834,0.99433666,0.0007808304,0.0006055066,0.0014496993,0.0013300093,0.0005901903
ERR532247,0.00012634718,0.0006270362,0.0010889211,0.99501675,0.00030318074,0.0019336668,0.00090404705
SRR1328200,0.0009071669,0.994338,0.0007807018,0.000605262,0.0014492414,0.0013295633,0.0005901973
ERR1689444,0.0047998456,0.006370416,0.036780465,0.014597222,0.007705859,0.0024802817,0.9272659
ERR209862,0.0007475536,0.0022504542,0.0022668657,0.959861,0.0012925452,0.03238305,0.0011985915
SRR7453856,0.00012637275,0.0006289305,0.0010884104,0.9950282,0.0003058111,0.001909208,0.00091308955
SRR5165711,0.00012476975,0.0006208213,0.0010829939,0.99507207,0.00030016236,0.0018971026,0.0009021542
ERR1297808,0.00012482311,0.00062033447,0.0010828455,0.9950742,0.00030015328,0.0018957348,0.00090201845
ERR1144139,0.00090773794,0.9943355,0.00078130246,0.00060512027,0.0014495482,0.001330189,0.00059065636
ERR2729909,0.59380394,0.08837051,0.04042771,0.028463526,0.033842746,0.13277443,0.08231713
ERR1513341,0.007108803,0.011238951,0.022325912,0.023115452,0.0032870017,0.93185645,0.0010674183
ERR2234488,0.019653242,0.022147493,0.045262136,0.4993574,0.2154266,0.024665525,0.17348759
SRR8605503,0.0415916,0.08916319,0.023913875,0.24809782,0.5226761,0.0081474045,0.066409945
ERR1548679,0.04152707,0.08896008,0.023600241,0.24775918,0.5240981,0.008146425,0.065908894
SRR6264465,0.00013439979,0.0006652073,0.0011166026,0.99476874,0.00032357083,0.0020702262,0.0009211361
SRR5915125,0.00090842665,0.9943229,0.0007820966,0.0006078985,0.0014541653,0.0013343586,0.0005901348
ERR1583097,0.00090750656,0.99433374,0.00078107906,0.0006059811,0.0014505843,0.0013308775,0.00059017364
SRR5468181,0.005105496,0.006767077,0.037168503,0.014206841,0.008221085,0.0026955039,0.92583543
ERR1582920,0.00090737996,0.99433535,0.0007809463,0.000605714,0.0014500596,0.0013303893,0.0005901864
SRR5178888,0.0009071669,0.994338,0.0007807018,0.0006052614,0.0014492408,0.001329562,0.0005901973
SRR6412168,0.00012472442,0.0006211864,0.0010829195,0.99507105,0.0003001191,0.0018979973,0.0009021047
SRR1460627,0.0009071754,0.99433786,0.0007807107,0.00060527894,0.0014492725,0.0013295923,0.0005901969
SRR3737421,0.0009086312,0.9943287,0.0007820575,0.0006061246,0.0014515315,0.0013319482,0.0005908416
SRR3938013,0.00015958979,0.00039590042,0.0010544807,0.9959331,0.00030957093,0.0012778956,0.00086946925
ERR3344344,0.0009071669,0.994338,0.0007807018,0.0006052614,0.0014492408,0.001329562,0.0005901973
ERR1960817,0.00017327996,0.0008590042,0.0012433432,0.9934588,0.0004215816,0.002853531,0.000990416
ERR538764,0.0046450403,0.017004468,0.71987206,0.06993328,0.0032615806,0.025397154,0.15988638
SRR980677,0.04056924,0.020342931,0.07431089,0.012665742,0.04601439,0.010295275,0.7958016
SRR500387,0.0009073874,0.9943355,0.00078094075,0.00060568546,0.0014500181,0.0013302759,0.00059022394
SRR5942088,0.00012477362,0.0006209732,0.0010829831,0.99507153,0.00030015674,0.0018975422,0.0009021546
ERR1811257,0.00012473264,0.0006211171,0.0010829176,0.9950712,0.00030012315,0.0018978103,0.0009021018
SRR6508128,0.0009072335,0.994337,0.00078077556,0.00060540286,0.0014495049,0.0013298194,0.00059019274
SRR6414235,0.00012473467,0.00062110624,0.0010829424,0.9950712,0.00030013057,0.0018978065,0.00090212066
