,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525688,0.18726324,0.30631337,0.5064234,0.0
ERR525689,0.19063929,0.30598244,0.5033783,0.0
ERR525694,0.3446895,0.42655855,0.05827862,0.17047334
ERR525700,0.18707141,0.30467644,0.5082522,0.0
ERR525701,0.1904368,0.29846856,0.5110946,0.0
ERR525703,0.18838108,0.3062478,0.50537115,0.0
ERR525709,0.18252419,0.31319204,0.5042838,0.0
ERR525713,0.3736115,0.38214368,0.041965812,0.20227897
ERR525717,0.18054909,0.31210703,0.5073439,0.0
ERR525722,0.1870718,0.30644915,0.5064791,0.0
ERR525726,0.17960146,0.30931205,0.51108646,0.0
ERR525730,0.18884288,0.30589083,0.5052663,0.0
ERR525734,0.18800554,0.3038772,0.50811726,0.0
ERR525738,0.43811607,0.38755563,0.04464212,0.12968624
ERR525742,0.18909828,0.30221492,0.50868684,0.0
ERR525743,0.18876123,0.30517992,0.5060588,0.0
ERR525747,0.1884129,0.30650017,0.50508696,0.0
ERR525754,0.23199154,0.40472257,0.3632859,0.0
ERR525760,0.5388236,0.38301846,0.03690061,0.041257262
ERR525764,0.13881865,0.43563563,0.42554575,0.0
ERR525768,0.14365041,0.5301069,0.18040657,0.14583611
ERR525772,0.550136,0.38393763,0.036696672,0.029229641
ERR525776,0.5500086,0.38400128,0.036711276,0.029278815
ERR525780,0.3610716,0.38991427,0.051270902,0.19774324
ERR525784,0.31439716,0.3910701,0.05600086,0.23853195
ERR525788,0.31439716,0.3910701,0.05600086,0.23853195
ERR525792,0.18499754,0.30797884,0.5070236,0.0
ERR525796,0.19761404,0.41343617,0.38894972,0.0
ERR525800,0.42200953,0.40988067,0.04814741,0.119962335
ERR525801,0.5433499,0.38413933,0.037136585,0.035374165
ERR525806,0.18646228,0.30411032,0.5094274,0.0
ERR525810,0.1530891,0.49849734,0.1992738,0.14913976
ERR525816,0.18591526,0.3065633,0.5075215,0.0
ERR525820,0.2874052,0.4759626,0.08513534,0.15149689
ERR525824,0.39741904,0.3930311,0.048564494,0.16098541
ERR525828,0.1870018,0.30611438,0.5068838,0.0
ERR525832,0.18808562,0.30244082,0.50947356,0.0
ERR525836,0.18722105,0.30524474,0.5075342,0.0
ERR525844,0.1861901,0.30640414,0.50740576,0.0
ERR525848,0.24880052,0.47556594,0.0761601,0.1994735
ERR525852,0.1368142,0.57827526,0.1401771,0.14473343
ERR525856,0.18772963,0.3040663,0.508204,0.0
ERR525860,0.18171915,0.31365153,0.5046293,0.0
ERR525864,0.18928348,0.3018939,0.5088226,0.0
ERR525868,0.18783385,0.30354384,0.5086223,0.0
ERR525872,0.185914,0.30552053,0.5085655,0.0
ERR525876,0.13964075,0.5121257,0.23300606,0.11522752
ERR525880,0.18408155,0.3077179,0.5082006,0.0
ERR525881,0.19032115,0.30289507,0.5067838,0.0
ERR525886,0.31439716,0.3910701,0.05600086,0.23853195
ERR525890,0.19162747,0.49049288,0.083947,0.23393267
ERR525896,0.18882486,0.49668384,0.09473303,0.21975827
ERR525898,0.18720989,0.30660656,0.50618356,0.0
ERR525904,0.18798862,0.3057347,0.5062767,0.0
ERR525908,0.18201366,0.5538851,0.11342952,0.15067172
ERR525912,0.1888517,0.3060189,0.5051294,0.0
ERR525916,0.18571219,0.5106056,0.23560172,0.068080485
ERR525920,0.39241353,0.41482475,0.19276173,0.0
ERR525924,0.18702711,0.30423537,0.50873756,0.0
ERR525925,0.18706353,0.30565393,0.50728256,0.0
ERR525932,0.52394205,0.34467837,0.13137953,0.0
ERR525936,0.18617326,0.31231257,0.50151414,0.0
ERR525940,0.43862984,0.37390524,0.038241,0.14922392
ERR525944,0.18423034,0.29705817,0.5187115,0.0
ERR525945,0.13717687,0.4180406,0.44478253,0.0
ERR525950,0.18769316,0.30481884,0.5074881,0.0
ERR525956,0.42289996,0.40862048,0.047165662,0.12131393
ERR525960,0.1866263,0.30914673,0.50422704,0.0
ERR525964,0.18622434,0.3058783,0.5078974,0.0
ERR525968,0.20840368,0.50909346,0.1065667,0.17593622
