,root:baby_birth:cesarean_section,root:baby_birth:vaginal_delivery,root:baby_fourthmonth:cesarean_section,root:baby_fourthmonth:vaginal_delivery,Unknown
ERR525688,0.3643336,0.14338467,0.24673963,0.1687488,0.07679331
ERR525689,0.38628924,0.13613603,0.21973625,0.16886947,0.08896899
ERR525694,0.34060732,0.15045574,0.2844283,0.16607979,0.058428884
ERR525700,0.33116156,0.15468821,0.2957432,0.16734111,0.05106592
ERR525701,0.32314062,0.19802642,0.1848697,0.24466962,0.049293637
ERR525703,0.3781261,0.13872418,0.22963268,0.16872197,0.08479506
ERR525709,0.3626798,0.14361084,0.2501676,0.1680677,0.075474024
ERR525713,0.34611058,0.1491386,0.27386278,0.16740203,0.06348598
ERR525717,0.35654604,0.1485888,0.2478554,0.17359802,0.0734117
ERR525722,0.3492384,0.14888975,0.26614648,0.16909382,0.066631556
ERR525726,0.31970483,0.21320194,0.15968889,0.27208155,0.035322785
ERR525730,0.36609668,0.14287853,0.24411917,0.16894534,0.07796025
ERR525734,0.31886333,0.21270582,0.16232166,0.27019513,0.035914063
ERR525738,0.31758404,0.2143085,0.16170606,0.27214962,0.03425175
ERR525742,0.31861383,0.21319738,0.16184556,0.27094176,0.035401464
ERR525743,0.34016752,0.15110299,0.2831865,0.1669881,0.058554888
ERR525747,0.3831633,0.13706738,0.22366789,0.16870558,0.08739591
ERR525754,0.38098145,0.13770512,0.22651082,0.16855589,0.08624673
ERR525760,0.31758946,0.2143048,0.16170257,0.27214757,0.034255624
ERR525764,0.31772155,0.21423048,0.16163015,0.27220052,0.034217298
ERR525768,0.31779563,0.2141948,0.16154489,0.27219158,0.034273088
ERR525772,0.38897714,0.13533303,0.21643552,0.16899207,0.090262294
ERR525776,0.39896065,0.18107355,0.094136536,0.27924877,0.046580493
ERR525780,0.31758404,0.2143085,0.16170606,0.27214962,0.03425175
ERR525784,0.31758404,0.2143085,0.16170606,0.27214962,0.03425175
ERR525788,0.31758404,0.2143085,0.16170606,0.27214962,0.03425175
ERR525792,0.37947723,0.1381582,0.22844908,0.16847518,0.08544028
ERR525796,0.31982774,0.2132507,0.15934122,0.27229145,0.03528893
ERR525800,0.38897702,0.13533303,0.21643564,0.16899207,0.090262294
ERR525801,0.31758404,0.2143085,0.16170606,0.27214962,0.03425175
ERR525806,0.31713775,0.1940282,0.20852947,0.23110259,0.049201965
ERR525810,0.31880847,0.17363995,0.26385647,0.19330272,0.05039239
ERR525816,0.361241,0.1440711,0.25216925,0.16799644,0.07452226
ERR525820,0.31801608,0.21405712,0.1616981,0.27265054,0.033578157
ERR525824,0.31758404,0.2143085,0.16170606,0.27214962,0.03425175
ERR525828,0.3568318,0.14572752,0.2575603,0.1682218,0.07165861
ERR525832,0.3230029,0.20960963,0.16027796,0.26806578,0.039043665
ERR525836,0.3188596,0.21307349,0.16160133,0.2709404,0.035525203
ERR525844,0.35686952,0.14540562,0.25867093,0.16762218,0.071431756
ERR525848,0.383777,0.1368585,0.22298229,0.16868556,0.08769667
ERR525852,0.31760108,0.21428728,0.1617139,0.2721239,0.034273863
ERR525856,0.31555873,0.18352494,0.24178672,0.20933247,0.049797177
ERR525860,0.31788126,0.21413538,0.16145566,0.27210325,0.034424484
ERR525864,0.31939268,0.21307233,0.16054714,0.27148253,0.035505354
ERR525868,0.31831187,0.21393141,0.16100025,0.2721287,0.034627795
ERR525872,0.31790465,0.17231098,0.27090314,0.19008827,0.04879296
ERR525876,0.31804842,0.21404064,0.16166842,0.27264923,0.033593297
ERR525880,0.34838694,0.15039703,0.26284018,0.17139336,0.06698251
ERR525881,0.31980753,0.20573738,0.1748026,0.25700104,0.042651474
ERR525886,0.31758404,0.2143085,0.16170606,0.27214962,0.03425175
ERR525890,0.31758398,0.21430749,0.16170824,0.27214748,0.034252822
ERR525896,0.38445008,0.13691041,0.22123009,0.16924092,0.0881685
ERR525898,0.36922583,0.1417045,0.24056,0.168731,0.07977867
ERR525904,0.35047334,0.14982173,0.259323,0.17174953,0.068632424
ERR525908,0.40288472,0.09482342,0.12001064,0.3822812,0.0
ERR525912,0.37398294,0.14009082,0.23470125,0.16870484,0.08252013
ERR525916,0.3169985,0.21247244,0.16655466,0.26782238,0.036152005
ERR525920,0.29608908,0.1666458,0.3624341,0.163252,0.011579037
ERR525924,0.3196358,0.16884011,0.27778053,0.1849865,0.048757076
ERR525925,0.35097438,0.14769879,0.26589808,0.16800866,0.067420125
ERR525932,0.33600438,0.3666096,0.1971267,0.100259244,0.0
ERR525936,0.3576444,0.14504695,0.2579633,0.16745359,0.071891725
ERR525940,0.41349962,0.17584834,0.08555624,0.28046444,0.044631362
ERR525944,0.33367062,0.15901598,0.2723207,0.17719182,0.05780089
ERR525945,0.3176844,0.21425557,0.16163242,0.27217945,0.034248114
ERR525950,0.315278,0.1679934,0.293876,0.18005705,0.04279554
ERR525956,0.3905284,0.15767819,0.14870891,0.21825859,0.08482587
ERR525960,0.35375392,0.14680943,0.2617212,0.16820791,0.06950748
ERR525964,0.34917444,0.14880532,0.2666404,0.1688875,0.06649232
ERR525968,0.31768695,0.2142492,0.16169757,0.27226135,0.034104943
ERR525972,0.36227664,0.14375761,0.25066847,0.16808137,0.075215936
ERR525980,0.37489522,0.13052678,0.13510492,0.359473,0.0
ERR525984,0.31810823,0.18587226,0.22819436,0.2160618,0.051763296
ERR525988,0.3767707,0.13932696,0.23070917,0.16903555,0.084157586
ERR525992,0.38896662,0.13533801,0.21644184,0.16899544,0.09025806
ERR525996,0.35593918,0.14953604,0.24596536,0.1750432,0.07351625
ERR526000,0.3696191,0.14150551,0.2403081,0.1685997,0.07996762
ERR526004,0.31769648,0.21424484,0.16168493,0.2722585,0.034115314
ERR526008,0.36996645,0.14121953,0.24049264,0.16826317,0.08005822
ERR526012,0.31792563,0.18587652,0.22865576,0.21590984,0.051632226
ERR526016,0.33600426,0.15843576,0.26768064,0.17784142,0.06003791
ERR526020,0.31874973,0.16453412,0.295932,0.17637187,0.044412315
ERR526024,0.37608972,0.13917798,0.23289657,0.1682773,0.08355844
ERR526028,0.31758407,0.21430847,0.16170606,0.27214962,0.03425175
ERR526032,0.3856227,0.13638374,0.22039205,0.16893712,0.08866441
ERR526036,0.3531757,0.14702639,0.26246268,0.16822928,0.06910598
ERR526040,0.3180647,0.2140879,0.1611833,0.27219355,0.03447056
ERR526044,0.3180746,0.21401235,0.16131267,0.27205074,0.034549594
ERR526048,0.41349977,0.1758486,0.0855557,0.28046522,0.044630647
ERR526052,0.32816544,0.15591177,0.3000123,0.16746807,0.048442423
ERR526056,0.33751237,0.19601837,0.16033295,0.25445512,0.05168128
