,root:Engineered:Wastewater,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Human,root:Host-associated:Insecta,root:Host-associated:Mammals,root:Host-associated:Plants
SRR5568770,0.0023654182,0.9812136,0.0034120723,0.005503133,0.0028872946,0.0037603898,0.0008581933
SRR6408666,0.00062848034,0.0019687861,0.0035721203,0.987706,0.0008901115,0.004013295,0.0012210652
SRR8608707,0.0040775044,0.0067371703,0.018077113,0.0198063,0.010505818,0.014947742,0.9258483
SRR6931650,0.0006271033,0.0019686322,0.0036124117,0.9875874,0.0008905726,0.004085427,0.0012284184
ERR444146,0.0006292135,0.0019714616,0.0035867,0.9876533,0.0008921848,0.004044037,0.0012230972
ERR2511559,0.0005954163,0.0020227758,0.0046666176,0.9840921,0.00091425725,0.006275184,0.0014337058
SRR5181216,0.0023654182,0.9812137,0.0034120465,0.0055030757,0.0028872907,0.003760395,0.0008581864
ERR2709722,0.0038415727,0.006553905,0.017582845,0.019807262,0.009978489,0.013905463,0.9283305
ERR923792,0.0038387524,0.006545038,0.017557245,0.019800475,0.009973641,0.01389956,0.92838526
ERR1103069,0.0023680187,0.9811824,0.0034162516,0.0055147815,0.002892337,0.003767871,0.0008583641
ERR500108,0.0006290007,0.0019718788,0.0035747406,0.9876956,0.00089054275,0.004015404,0.0012229711
SRR5181132,0.0023658858,0.9812106,0.0034126213,0.005503389,0.002887627,0.0037615814,0.00085820945
ERR2001889,0.00062852236,0.0019688143,0.0035718551,0.98770565,0.00089024234,0.0040140394,0.0012208406
SRR924163,0.0023656143,0.9812107,0.0034123957,0.005504337,0.0028877873,0.0037610007,0.0008581977
SRR3271851,0.0023653633,0.9812138,0.0034119785,0.00550305,0.002887255,0.0037602559,0.00085818244
ERR531533,0.00062788936,0.0019683514,0.003591723,0.9876481,0.0008904792,0.004049314,0.001224054
DRR043956,0.00062838197,0.001968414,0.0035715478,0.9877078,0.00089002866,0.004013124,0.00122076
SRR5908701,0.0023654194,0.9812137,0.003412079,0.005502981,0.002887233,0.0037603665,0.0008581995
ERR1690417,0.0038388332,0.006545166,0.017557474,0.019800417,0.0099738445,0.013899905,0.92838436
ERR3256925,0.002366315,0.9812042,0.0034135513,0.0055061984,0.0028886304,0.0037628324,0.00085828983
SRR6670726,0.007245442,0.02181327,0.028609026,0.025747294,0.004961403,0.9066171,0.0050064498
SRR4341471,0.0023653645,0.9812138,0.00341198,0.005503055,0.0028872578,0.0037602596,0.00085818244
SRR618719,0.011130309,0.025674025,0.74335855,0.11132206,0.006409355,0.01492455,0.087181106
ERR990523,0.007241667,0.021808388,0.02863792,0.025820196,0.0049608303,0.9065164,0.00501463
ERR443877,0.0006284712,0.0019685687,0.0035722014,0.98770624,0.00089010794,0.0040133744,0.0012209496
SRR2163506,0.0006284032,0.0019683754,0.0035718128,0.9877072,0.00089009263,0.0040131924,0.0012208396
SRR1461256,0.0013036669,0.010124585,0.012519517,0.9205502,0.0028465418,0.044000734,0.00865486
ERR1383496,0.00062823336,0.0019686767,0.0035833588,0.987672,0.00089048664,0.0040345695,0.0012226871
SRR822903,0.0006284479,0.0019684366,0.0035719632,0.98770684,0.0008900694,0.0040134396,0.0012208932
SRR2135687,0.0069121476,0.0111921765,0.10213311,0.7818624,0.008487019,0.015628453,0.073784746
ERR840853,0.0015746901,0.009146585,0.0067539527,0.95985293,0.0028408975,0.014010466,0.005820536
ERR1310917,0.00065050833,0.0020467318,0.0038362462,0.986649,0.0009405027,0.004613186,0.0012639612
SRR5210822,0.007289163,0.021889454,0.028507212,0.025896523,0.0050066565,0.9063533,0.005057776
ERR1315005,0.0006285106,0.0019688623,0.003572599,0.98770463,0.00089014467,0.0040144906,0.0012207712
SRR5868637,0.00062837335,0.0019683787,0.0035714968,0.9877079,0.00089002284,0.0040130997,0.0012207346
ERR500147,0.0006285525,0.0019689878,0.0035729122,0.98770404,0.0008903033,0.0040138187,0.0012213993
