,root:CRC (stage 0),root:CRC (stage I),root:CRC (stage II),root:CRC (stage III),root:CRC (stage IV),Unknown
ERR479550,0.3640551,0.1568905,0.17173709,0.04485963,0.2624576,0.0
ERR480935,0.10660186,0.1505184,0.111356996,0.12236208,0.5091606,0.0
ERR479484,0.07714212,0.4703293,0.09602226,0.15813461,0.1983717,0.0
ERR480926,0.05437019,0.13102007,0.4449639,0.05613979,0.31350598,0.0
ERR480612,0.099091105,0.24910139,0.28231302,0.06728299,0.30221143,0.0
ERR479461,0.08697224,0.17854108,0.21819255,0.072174504,0.44411957,0.0
ERR480611,0.031573974,0.16356751,0.5810933,0.15696481,0.06680046,0.0
ERR479180,0.11199249,0.31116992,0.119055085,0.32714128,0.13064122,0.0
ERR479074,0.107697815,0.1384128,0.09225984,0.14202523,0.51960427,0.0
ERR479507,0.08018643,0.070996486,0.59219617,0.16969892,0.08692204,0.0
ERR481054,0.1326692,0.31008282,0.13471736,0.05221179,0.37031877,0.0
ERR479518,0.08104055,0.4821606,0.121897236,0.10944067,0.205461,0.0
ERR480579,0.10153114,0.14050695,0.09763453,0.14296669,0.51736075,0.0
ERR480814,0.04211319,0.051710732,0.7273464,0.08616629,0.092663415,0.0
ERR481016,0.080216564,0.46848637,0.11002068,0.13402334,0.20725308,0.0
ERR475493,0.083711386,0.51054275,0.113250844,0.12213908,0.17035602,0.0
ERR479533,0.07455331,0.46146297,0.08827576,0.17410718,0.20160073,0.0
ERR479111,0.09312706,0.12597542,0.19895929,0.47380725,0.10813097,0.0
ERR481022,0.060961243,0.18511151,0.25357938,0.0775595,0.42278838,0.0
ERR479519,0.08022653,0.47213158,0.12624383,0.10306968,0.2183284,0.0
ERR481002,0.051034108,0.17548451,0.2752972,0.08601502,0.41216916,0.0
ERR481055,0.12946372,0.30822933,0.14596014,0.053898443,0.36244845,0.0
ERR479348,0.08521627,0.3841685,0.1625917,0.1005592,0.26746425,0.0
ERR481001,0.052062824,0.18139291,0.27397126,0.0900949,0.4024781,0.0
ERR479523,0.07821676,0.43248737,0.113024995,0.1589031,0.21736778,0.0
ERR480925,0.05528662,0.12686945,0.45169505,0.05532124,0.31082767,0.0
ERR479333,0.073186554,0.40390378,0.12703246,0.1521339,0.24374335,0.0
ERR479426,0.049423743,0.22783448,0.11631077,0.3444235,0.26200745,0.0
ERR479083,0.10885732,0.15687542,0.13397451,0.09738093,0.5029118,0.0
ERR479455,0.08065563,0.4880661,0.112142935,0.12500852,0.19412677,0.0
ERR479452,0.08080289,0.4850488,0.11679504,0.11749242,0.19986077,0.0
ERR479317,0.04402842,0.05443102,0.7214439,0.08629209,0.093804576,0.0
ERR479556,0.051791586,0.1846074,0.2793397,0.08660434,0.39765698,0.0
ERR479486,0.07731611,0.47035322,0.099319465,0.15080231,0.20220885,0.0
ERR479543,0.08642564,0.48258418,0.12221129,0.12692478,0.18185408,0.0
ERR479066,0.081818156,0.06474524,0.6037241,0.15785539,0.09185703,0.0
ERR480939,0.08784161,0.2027429,0.1842995,0.37881294,0.14630313,0.0
ERR479352,0.07381083,0.46276137,0.085787654,0.17551641,0.20212375,0.0
ERR479478,0.061575066,0.11523899,0.60284096,0.11352705,0.106817946,0.0
ERR481033,0.05985549,0.12424219,0.55508614,0.105296195,0.11875132,0.036768675
ERR480528,0.13195692,0.1720273,0.16220374,0.05864825,0.47516382,0.0
ERR480742,0.08308943,0.50067747,0.115792535,0.11798942,0.18245116,0.0
ERR480938,0.08477121,0.18576781,0.19214259,0.39255795,0.14476046,0.0
ERR479368,0.060552213,0.11509161,0.6099853,0.100820236,0.11355068,0.0
ERR479174,0.117745586,0.16900106,0.18502979,0.0557083,0.47251526,0.0
ERR480636,0.07442626,0.12528078,0.5329288,0.17212681,0.095237285,0.0
ERR480525,0.13212922,0.17201675,0.16203326,0.058610853,0.47520992,0.0
ERR481044,0.09305326,0.4547518,0.12145823,0.16282637,0.16791032,0.0
ERR481024,0.04300379,0.054493945,0.7258987,0.09191744,0.084686145,0.0
ERR479331,0.07213759,0.39751008,0.12133277,0.17099427,0.23802535,0.0
ERR479415,0.047702502,0.21617983,0.11157788,0.35686907,0.26767072,0.0
ERR479071,0.107609615,0.1382839,0.092101805,0.14243956,0.5195652,0.0
ERR480965,0.08022195,0.15213192,0.1774606,0.45481148,0.13537401,0.0
ERR480695,0.060743466,0.3298783,0.08701156,0.2958537,0.22651301,0.0
ERR475592,0.08371141,0.5105428,0.11325078,0.12213904,0.17035598,0.0
ERR479148,0.07014722,0.36927882,0.15461046,0.06017867,0.34578478,0.0
ERR479072,0.108169466,0.13900493,0.09325922,0.14020921,0.5193572,0.0
ERR479435,0.05750689,0.113918245,0.6200838,0.09380782,0.111281365,0.0034018755
ERR475532,0.10599985,0.1363925,0.08814213,0.1488599,0.52060556,0.0
ERR479514,0.14438143,0.30223343,0.12890834,0.050630093,0.37384677,0.0
ERR479040,0.106315315,0.13728267,0.08817906,0.14822389,0.519999,0.0
ERR480990,0.088946305,0.48779678,0.12888996,0.12045253,0.17391439,0.0
ERR479332,0.074583635,0.4073343,0.1301566,0.14569785,0.24222752,0.0
ERR480987,0.10515766,0.1366317,0.08941763,0.14803725,0.5207558,0.0
