,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections,Unknown
SRR5079185,0.014035851,0.0009447336,0.00033727288,0.0050773025,0.97960484
ERR719961,0.029168546,0.0013717711,0.00048983097,0.004542917,0.96442693
SRR5602141,0.01784107,0.0042351186,0.001861006,0.0036066473,0.97245616
SRR5758078,0.5521678,0.0060064793,0.0012441278,0.013694346,0.42688727
SRR5396543,0.16405514,0.008231878,0.0017520487,0.0028006136,0.8231603
SRR6264428,0.50522155,0.005452305,0.0019392073,0.009843677,0.47754323
SRR5757789,0.82854706,0.008319557,0.0034825504,0.112873584,0.04677725
SRR1693210,0.8245279,0.0064483583,0.0011418462,0.024933308,0.14294863
ERR719991,0.025442809,0.0016203225,0.00044739246,0.003607422,0.9688821
SRR6901831,0.64743465,0.10359296,0.00019571185,0.003190428,0.24558628
SRR5602124,0.024361223,0.002149582,0.0006492734,0.0034109056,0.969429
ERR011301,0.07029027,0.0007057786,0.0016744435,0.017012298,0.9103172
SRR5429314,0.01513455,0.010307546,0.8960767,0.07848121,0.0
SRR5803702,0.016357154,0.0010957122,0.00036612153,0.0045820177,0.977599
SRR7464883,0.022122204,0.0015006065,0.00054621696,0.004196167,0.9716348
SRR5343112,0.01188767,0.0023549795,0.0009338558,0.004843861,0.97997963
SRR5548968,0.8945017,0.0087604225,0.0012917221,0.05727464,0.03817147
SRR6724585,0.017715484,0.004198283,0.001263231,0.003761202,0.9730618
SRR6264690,0.039536655,0.0021125972,0.0010899305,0.004111409,0.95314944
SRR5649114,0.01953128,0.0012151897,0.00035756826,0.004133165,0.9747628
ERR719063,0.026539803,0.0023878217,0.001090318,0.003979534,0.9660025
ERR525890,0.5175627,0.002954632,0.0011367202,0.027941912,0.45040405
SRR1687172,0.7953228,0.008310229,0.0030522645,0.03688696,0.15642786
SRR6424577,0.10215535,0.0010183097,0.015245461,0.8815808,0.0
ERR011175,0.028874844,0.0013298094,0.00043836236,0.004543394,0.9648136
ERR719042,0.026260674,0.0023976564,0.001055181,0.0039099753,0.96637654
SRR5983467,0.79719853,0.009525269,0.0014510453,0.01660499,0.17522013
