,root:Diseases:Digestive System Diseases,root:Diseases:Hemic and Lymphatic Diseases,root:Infections:Bacterial Infections and Mycoses,Unknown
ERR525832,0.47482318,0.0065115094,0.08026156,0.43840373
SRR5637812,0.02400437,0.00042274594,0.015966356,0.9596065
ERR209527,0.04071045,0.00080892444,0.019811362,0.93866926
ERR719814,0.038427025,0.0005840063,0.019906491,0.9410825
SRR5651408,0.113120615,0.0012559295,0.013197541,0.8724259
SRR6264633,0.7693082,0.013686836,0.008890748,0.2081142
ERR209867,0.8434526,0.025124967,0.023977995,0.107444465
SRR6264905,0.025691032,0.00045219064,0.015398562,0.9584582
SRR5429320,0.158643,0.65526426,0.18031305,0.0057796836
SRR5079281,0.02400437,0.00042280555,0.015966326,0.9596065
ERR209328,0.026022702,0.000459224,0.015263438,0.95825464
ERR209583,0.7680042,0.014716864,0.01040265,0.20687628
SRR5758128,0.018395394,0.14797324,0.6996676,0.13396382
ERR525839,0.87122524,0.02893439,0.027839571,0.07200086
SRR5580587,0.024605364,0.0004310012,0.015936494,0.9590272
SRR5650038,0.8414588,0.028127402,0.026612222,0.10380155
SRR5429358,0.02745694,0.2148458,0.59639096,0.16130626
SRR5078688,0.024015605,0.00042286515,0.015968412,0.9595931
SRR5648802,0.024019986,0.00042304397,0.01595813,0.95959884
SRR5803610,0.038476467,0.00066947937,0.03789106,0.922963
SRR5796739,0.87122524,0.02893439,0.027839571,0.07200086
SRR5202910,0.027481705,0.00049340725,0.013779044,0.9582459
ERR321205,0.02650553,0.00047159195,0.015528053,0.95749485
SRR6901800,0.026277453,0.0004710555,0.01435709,0.9588944
SRR6265028,0.031545043,0.0008723438,0.027300179,0.94028246
SRR6264808,0.02421239,0.00042501092,0.015995681,0.9593669
SRR5580411,0.024244249,0.0004259348,0.015954167,0.9593756
SRR7690064,0.025562078,0.00045579672,0.014875114,0.95910704
SRR2914209,0.024008274,0.00042289495,0.015963882,0.959605
ERR011118,0.024089247,0.00042420626,0.015925199,0.95956135
ERR695623,0.8138677,0.01920116,0.040678293,0.12625289
SRR5020867,0.024029344,0.00042322278,0.015952736,0.9595947
SRR6724564,0.8678889,0.02889046,0.027838677,0.075381875
SRR961711,0.15074429,0.0028086305,0.21270406,0.63374305
SRR6265268,0.024346173,0.00042453408,0.015912741,0.95931655
SRR5761757,0.024422228,0.000431329,0.015673697,0.9594728
ERR719168,0.028720766,0.0004901886,0.017580092,0.9532089
SRR5577143,0.8690082,0.028341234,0.026711226,0.07593936
SRR7423262,0.818055,0.022835284,0.022713274,0.13639641
SRR6264509,0.02400437,0.00042274594,0.015966356,0.9596065
ERR526063,0.34442982,0.0038241446,0.01580435,0.6359417
SRR6330987,0.024012148,0.00042292476,0.015962243,0.9596027
SRR5020882,0.02400443,0.00042277575,0.015966266,0.9596065
SRR5802377,0.02400437,0.00042280555,0.015966326,0.9596065
SRR7507338,0.024217278,0.00042691827,0.015831739,0.95952404
ERR525765,0.024017245,0.00042304397,0.01595816,0.9596015
SRR6466627,0.027601063,0.00048851967,0.0148457885,0.9570646
SRR053035,0.16908547,0.0013882518,0.0053040683,0.8242222
SRR6928776,0.02400437,0.00042274594,0.015966356,0.9596065
ERR209361,0.026680857,0.00048676133,0.015165687,0.9576667
ERR526049,0.02400449,0.00042280555,0.015966356,0.95960635
ERR209778,0.024017334,0.00042283535,0.015965283,0.95959455
SRR5757935,0.030256033,0.04334703,0.54962844,0.37676847
SRR5758139,0.020162493,0.12350339,0.681567,0.17476714
SRR5078907,0.024004579,0.00042283535,0.015966237,0.95960635
ERR525798,0.0817745,0.0016830266,0.3163141,0.60022837
SRR6724522,0.58736587,0.008167058,0.0018381178,0.40262902
SRR5399234,0.024298042,0.00042885542,0.015751272,0.95952183
ERR209249,0.03283894,0.0005364418,0.014412403,0.9522122
SRR5803699,0.025263995,0.0004492402,0.015121877,0.95916486
ERR719537,0.035121918,0.00054425,0.016967475,0.94736636
SRR5761741,0.024007112,0.00042286515,0.01596415,0.9596059
SRR7690121,0.35967603,0.0037328303,0.00807941,0.6285117
SRR6264839,0.024042279,0.0004235804,0.015936643,0.95959747
SRR5078867,0.02400595,0.00042283535,0.01596573,0.95960546
SRR7082887,0.026478708,0.00047177076,0.014362663,0.9586868
SRR5078860,0.02400437,0.00042274594,0.015966356,0.9596065
ERR209522,0.02816227,0.0005296767,0.013617933,0.9576901
SRR5934962,0.030507386,0.000530988,0.01714006,0.95182157
SRR5078695,0.024047554,0.00042310357,0.015960872,0.9595685
ERR719596,0.0319463,0.0005066991,0.016519725,0.9510273
SRR7690051,0.17453238,0.0043869615,0.051726848,0.7693538
ERR525928,0.02824992,0.00047671795,0.0149666965,0.9563067
ERR209251,0.026395708,0.00046643615,0.015823722,0.95731413
ERR209227,0.027593464,0.0005007982,0.0141608715,0.95774484
SRR6264552,0.023680806,0.00044953823,0.016252905,0.9596168
ERR209153,0.029381454,0.0005272925,0.018978417,0.95111287
SRR5649145,0.049200892,0.00094905496,0.007449776,0.9424003
SRR5629094,0.84656745,0.023976803,0.023681909,0.10577381
SRR5203142,0.024732739,0.00043872,0.01540786,0.9594207
ERR209856,0.5858295,0.0075886846,0.003574878,0.4030069
SRR497948,0.6966677,0.009780586,0.0037979484,0.2897538
SRR5802211,0.024026364,0.00042301416,0.015956879,0.9595938
SRR5078648,0.024036646,0.00042301416,0.015963018,0.9595773
ERR209902,0.06334248,0.00093886256,0.010531902,0.92518675
ERR634975,0.027515948,0.00048726797,0.015946954,0.9560498
SRR5813378,0.028789878,0.00052401423,0.015090883,0.95559525
SRR5343155,0.024007618,0.00042280555,0.01596573,0.95960385
SRR5577182,0.08210486,0.0016850531,0.31613976,0.60007036
SRR5802208,0.040400833,0.00071543455,0.04059702,0.9182867
ERR209768,0.87110627,0.028972149,0.027865142,0.07205641
ERR209755,0.10384637,0.002867937,0.02633375,0.86695194
SRR090271,0.87021756,0.028656512,0.02780974,0.07331622
SRR5548922,0.08435145,0.0010896623,0.010174543,0.9043844
SRR5609982,0.024407923,0.00043022633,0.015732467,0.9594294
SRR497648,0.8670923,0.030414283,0.028670818,0.07382262
SRR5758160,0.09109759,0.0018160641,0.2857167,0.6213696
SRR5610093,0.03288251,0.0006367862,0.01376012,0.9527206
SRR6182318,0.0240044,0.00042277575,0.015966326,0.9596065
SRR5429128,0.87122524,0.02893442,0.02783963,0.07200074
SRR5078988,0.55822074,0.0047642887,0.0016360581,0.4353789
SRR5609956,0.0240075,0.00042283535,0.01596561,0.959604
SRR5549008,0.87052953,0.029923648,0.028443694,0.071103096
SRR5803633,0.024082541,0.00042447448,0.01593563,0.95955735
ERR720179,0.028681785,0.00046858191,0.01685837,0.9539913
ERR719858,0.026145041,0.00046098232,0.01531142,0.95808256
ERR720208,0.17483729,0.0018828809,0.024644822,0.798635
SRR6331089,0.024049848,0.00042366982,0.015955538,0.95957094
ERR209221,0.028833956,0.000587374,0.015987039,0.95459163
SRR6264105,0.024188042,0.000426054,0.015865445,0.95952046
SRR1693308,0.35081512,0.0049987137,0.03126967,0.61291647
SRR1687068,0.02652198,0.00046989322,0.015090287,0.9579178
ERR209281,0.027124971,0.0005310476,0.013955265,0.9583887
SRR5610082,0.028900802,0.0006169975,0.017641306,0.9528409
ERR209772,0.86909163,0.029379278,0.028144747,0.073384404
SRR5757817,0.044367492,0.0014721751,0.10637236,0.847788
ERR209226,0.024971336,0.0004350245,0.015734106,0.95885956
SRR6424790,0.018445462,0.14881036,0.7021782,0.130566
SRR6182504,0.07062954,0.0012648106,0.0062336028,0.921872
ERR719526,0.14414561,0.0016113222,0.0099746585,0.84426844
SRR1159467,0.8712251,0.02893436,0.027839571,0.07200098
SRR5580484,0.024807423,0.0004350245,0.015796244,0.9589613
SRR5079285,0.024110794,0.0004248917,0.016052216,0.9594121
SRR5399636,0.024711758,0.00043278933,0.015755266,0.9591002
SRR5648779,0.030689746,0.00054499507,0.014367968,0.9543973
SRR6264536,0.02546835,0.0004528761,0.015059799,0.95901895
SRR6724586,0.86959124,0.029212594,0.02809468,0.07310152
SRR6264798,0.02400881,0.00042280555,0.01596424,0.95960414
SRR5803647,0.028765887,0.00048744678,0.014961362,0.9557853
ERR209896,0.026566297,0.00047698617,0.014535576,0.9584211
SRR5796751,0.87122524,0.02893439,0.027839571,0.07200086
SRR5866426,0.026418269,0.00049483776,0.018349767,0.9547371
SRR5580590,0.03736651,0.00068223476,0.04477015,0.91718113
SRR6424711,0.018445462,0.14881036,0.7021782,0.130566
SRR5429191,0.12537989,0.0033005178,0.0020719767,0.8692476
SRR053027,0.03565857,0.00048244,0.014242291,0.9496167
ERR209467,0.02539131,0.00047695637,0.015863866,0.95826787
ERR719922,0.02626273,0.00046530366,0.015095592,0.9581764
ERR719014,0.024923384,0.00043591857,0.015887141,0.9587536
SRR5649094,0.029521525,0.0005016625,0.014700711,0.95527613
SRR5548472,0.8657049,0.03240961,0.029546797,0.0723387
SRR5429277,0.1158852,0.6360271,0.19096261,0.05712509
SRR1999160,0.024053693,0.00042378902,0.01594758,0.95957494
ERR525829,0.024005324,0.00042277575,0.015966207,0.9596057
SRR5763460,0.02400437,0.00042274594,0.015966356,0.9596065
SRR5580506,0.024211794,0.00042584538,0.015914112,0.9594482
SRR5602182,0.024119288,0.00042507052,0.015886664,0.959569
ERR719734,0.05723089,0.00079488754,0.019395083,0.92257917
ERR719936,0.024868608,0.00043541193,0.015789509,0.9589065
SRR6331055,0.02445814,0.00043079257,0.015794426,0.9593166
SRR6474309,0.26247463,0.0038877726,0.1178875,0.6157501
SRR5711589,0.85285187,0.026445538,0.028029382,0.09267324
SRR6264842,0.45443052,0.026856065,0.06826922,0.45044422
SRR7507626,0.8554934,0.026030242,0.026064306,0.092411995
SRR6331136,0.025651902,0.00045371056,0.015224457,0.9586699
ERR525955,0.030269563,0.0005481243,0.014972776,0.95420957
SRR5761736,0.024006486,0.00042283535,0.015964985,0.9596057
SRR961743,0.026879162,0.00046682358,0.014593244,0.95806074
SRR5758043,0.0241431,0.00042510033,0.015883029,0.9595488
SRR7507405,0.14642972,0.0042101145,0.001621753,0.8477384
SRR6182342,0.028821379,0.00051757693,0.01496017,0.9557009
SRR5020865,0.4230387,0.49105144,0.085909806,0.0
SRR5651391,0.54644585,0.013728589,0.05529669,0.38452888
ERR209802,0.82664824,0.023326814,0.019265294,0.13075966
SRR7507303,0.14643073,0.0042101145,0.0016216934,0.84773743
SRR6264395,0.024006516,0.00042277575,0.015965998,0.95960474
SRR5203102,0.024912208,0.0004416108,0.015298039,0.95934814
SRR6331299,0.025796741,0.00045871735,0.014995426,0.9587491
SRR6265056,0.028104752,0.0005109608,0.024412423,0.9469719
SRR5866327,0.08193132,0.0016850829,0.3161316,0.60025203
SRR5203075,0.024120986,0.00042527914,0.015876591,0.95957714
SRR5079235,0.024555206,0.00042542815,0.01588571,0.9591336
SRR5601940,0.02700898,0.0004734397,0.015563041,0.95695454
SRR5203392,0.025533468,0.0004555583,0.014930934,0.95908004
ERR209612,0.13625091,0.0019527674,0.012760252,0.8490361
ERR525863,0.4734031,0.0056322813,0.013984561,0.50698006
SRR5429130,0.120894015,0.5980911,0.2115981,0.06941676
SRR5758068,0.048152596,0.008010894,0.41169387,0.53214264
SRR1763672,0.8306469,0.022415996,0.022496492,0.12444067
SRR5580440,0.024717152,0.00043192506,0.016016006,0.9588349
SRR6901810,0.10449958,0.002670616,0.0025578737,0.8902719
SRR5396549,0.25614488,0.0031930804,0.08105382,0.65960824
ERR719682,0.024562448,0.00042951107,0.015868098,0.95913994
ERR720215,0.02668339,0.00045320392,0.01577437,0.95708907
SRR5078675,0.02400446,0.00042277575,0.015966505,0.9596063
SRR5813459,0.029760152,0.00057828426,0.01562661,0.9540349
ERR719028,0.029965311,0.00049880147,0.017332792,0.9522031
SRR7507336,0.40697232,0.0072862804,0.012895048,0.57284635
SRR1262579,0.026257694,0.00046303868,0.015313894,0.9579654
ERR525700,0.6366856,0.01036942,0.06245935,0.29048562
ERR209204,0.026700228,0.0004825592,0.014617175,0.95820004
SRR5579013,0.027566701,0.00048732758,0.018553287,0.9533927
SRR6265047,0.029542118,0.00051543117,0.023801982,0.94614047
SRR5203041,0.025356323,0.00045225024,0.01499328,0.9591981
ERR720057,0.024540037,0.00043049455,0.015884072,0.9591454
SRR5758116,0.080406755,0.001635164,0.14851609,0.76944196
SRR5548320,0.8712063,0.028929174,0.027832627,0.072031915
ERR209370,0.036058128,0.0005777776,0.013739824,0.9496243
SRR7690177,0.29891452,0.0033360422,0.014137119,0.68361235
ERR719060,0.02935332,0.00061941147,0.016828805,0.95319843
ERR209289,0.04870808,0.0009339154,0.0073581934,0.94299984
ERR011186,0.02678284,0.0004890561,0.014094889,0.9586332
SRR5548750,0.869416,0.02844289,0.027234048,0.074907064
SRR5610097,0.024079204,0.00042411685,0.015925258,0.9595714
ERR209871,0.8537712,0.024825752,0.020789325,0.10061371
SRR5803701,0.02400443,0.00042277575,0.015966475,0.9596063
SRR5866334,0.024454772,0.0004324317,0.015621901,0.9594909
SRR1008951,0.87121975,0.02893278,0.027839571,0.072007895
SRR5078805,0.024006605,0.00042283535,0.015965432,0.9596051
SRR6264192,0.04335615,0.0006991625,0.013173699,0.94277096
SRR5866357,0.80532885,0.05927199,0.038264304,0.09713483
ERR526070,0.77055585,0.014985263,0.009074897,0.20538402
SRR5802393,0.024025202,0.00042319298,0.01595357,0.95959806
SRR5610162,0.024146825,0.00042647123,0.015952528,0.9594742
ERR209381,0.025311053,0.00046229362,0.015639603,0.95858705
SRR6182541,0.024010867,0.00042295456,0.01596129,0.95960486
SRR6724538,0.8482992,0.024525702,0.026177526,0.10099757
SRR5648916,0.024649978,0.00043281913,0.01579377,0.95912343
ERR209600,0.24173537,0.0035816133,0.0076713264,0.74701166
SRR5218390,0.66248345,0.015669495,0.019591182,0.30225587
SRR6264508,0.024122506,0.000423491,0.015967488,0.9594865
ERR720151,0.026855648,0.0004580617,0.015537083,0.9571492
SRR6264800,0.106616944,0.0024665594,0.02563262,0.86528385
SRR5079221,0.02400437,0.00042274594,0.015966356,0.9596065
SRR5761790,0.0240044,0.00042274594,0.015966326,0.9596065
SRR5428885,0.11810544,0.63721025,0.19029701,0.05438733
SRR6185278,0.026990622,0.00048783422,0.014251679,0.95826983
SRR5757743,0.024117649,0.00042426586,0.015953511,0.9595046
SRR5648883,0.029334068,0.0005438924,0.013664186,0.95645785
SRR5609981,0.025030881,0.0004402101,0.015601069,0.95892787
SRR5548613,0.6112291,0.008958429,0.020308554,0.35950392
SRR2914173,0.08702198,0.0016277134,0.004310906,0.9070394
SRR7507694,0.038242668,0.0008639991,0.010756522,0.9501368
SRR5548660,0.81861365,0.02592057,0.029560149,0.12590563
SRR5803745,0.024897575,0.00044867396,0.01564604,0.95900774
SRR5580406,0.03368756,0.00054749846,0.017004132,0.9487608
SRR5813244,0.073022366,0.0012360215,0.012134701,0.9136069
SRR6265212,0.024006218,0.00042283535,0.015964925,0.95960605
SRR1763574,0.8688396,0.028608471,0.02790764,0.07464433
SRR5983302,0.76417917,0.016661376,0.034783363,0.18437612
SRR5947814,0.84505725,0.023990482,0.02501145,0.10594082
SRR6724402,0.8712504,0.028994918,0.027871937,0.071882725
SRR5548259,0.8712237,0.028934091,0.027838916,0.072003245
SRR5803684,0.024021804,0.00042313337,0.015956879,0.9595982
ERR1637185,0.024004817,0.00042274594,0.015966326,0.9596061
SRR7507537,0.02425301,0.00042816997,0.01577124,0.9595476
SRR6331351,0.025092423,0.00044509768,0.015259773,0.9592027
SRR6331398,0.02402383,0.00042319298,0.015951633,0.95960134
SRR5203187,0.02438283,0.00043010712,0.015730262,0.9594568
SRR5610023,0.03489378,0.0005700886,0.0143895745,0.95014656
SRR5757816,0.07596639,0.001707375,0.26479483,0.6575314
SRR5343157,0.024006218,0.00042283535,0.015965283,0.9596057
SRR5983337,0.23306832,0.0020989478,0.014385402,0.75044733
SRR6424587,0.018445462,0.14881036,0.7021782,0.130566
ERR011231,0.027058005,0.0004887879,0.017315358,0.95513785
ERR719795,0.024128467,0.00042515993,0.016108632,0.9593377
SRR7507576,0.025316685,0.00044959784,0.0151486695,0.95908505
SRR7507698,0.02756071,0.0004864931,0.014007658,0.9579451
SRR1766011,0.6061734,0.00882113,0.01661086,0.3683946
SRR6264794,0.031695366,0.0005033016,0.015407711,0.95239365
SRR5020889,0.02400437,0.00042274594,0.015966356,0.9596065
ERR209184,0.027332157,0.00050392747,0.014242619,0.95792127
SRR5648944,0.024204046,0.00042670965,0.0158284,0.95954084
SRR5947807,0.025661886,0.00044593215,0.015576214,0.95831597
SRR5802281,0.024129689,0.00042495131,0.015899867,0.9595455
ERR719451,0.025782526,0.0004439354,0.015699118,0.95807445
ERR525918,0.025733262,0.00046476722,0.014890283,0.95891166
ERR209761,0.8066348,0.021495461,0.03011322,0.14175653
SRR5429233,0.05622232,0.40696988,0.37534142,0.16146636
ERR209444,0.028610557,0.0004891753,0.014877707,0.95602256
ERR720112,0.03237641,0.00054225326,0.017325878,0.94975543
SRR6265134,0.02400437,0.00042274594,0.015966356,0.9596065
SRR5431501,0.02400437,0.00042274594,0.015966356,0.9596065
SRR7423247,0.81249034,0.023475021,0.01837331,0.1456613
SRR3400436,0.87122524,0.02893439,0.027839571,0.07200086
SRR6724588,0.04371068,0.0007248819,0.013191491,0.9423729
SRR5495966,0.024122536,0.00042513013,0.015880942,0.95957136
SRR5079174,0.33281326,0.0019415021,0.030662894,0.63458234
SRR5758126,0.088585794,0.00154531,0.16373193,0.74613696
SRR1008768,0.8682905,0.030583054,0.028648317,0.072478116
SRR6724368,0.86522144,0.0278382,0.025354892,0.08158553
SRR5343081,0.024008095,0.00042283535,0.015963614,0.95960546
SRR5203101,0.024397433,0.00043079257,0.015693516,0.95947826
SRR5079255,0.040037513,0.0005400777,0.012752175,0.94667023
SRR5091541,0.50335985,0.006364733,0.012763351,0.477512
ERR210146,0.024149746,0.0004299879,0.015851438,0.95956886
SRR2914160,0.024312913,0.0004272759,0.015813917,0.9594459
SRR5202957,0.024349302,0.00043019652,0.015701532,0.95951897
SRR1159408,0.0240044,0.00042274594,0.015966356,0.9596065
SRR7507528,0.024067342,0.00042414665,0.015916616,0.95959187
ERR525831,0.03879243,0.0006119907,0.013044298,0.94755125
SRR5580623,0.0242275,0.0004261136,0.01590103,0.95944536
ERR209512,0.030864328,0.0005611181,0.014688373,0.95388615
SRR5602235,0.17496899,0.0029101968,0.08672398,0.73539686
SRR5602289,0.024071783,0.00042405725,0.01592213,0.95958203
SRR5637795,0.5467567,0.00499925,0.0044794083,0.4437647
SRR5758114,0.018449366,0.14872855,0.7021308,0.13069129
SRR5548067,0.87122524,0.02893439,0.027839571,0.07200086
SRR6264938,0.024251789,0.0004272163,0.016147763,0.9591732
SRR5203135,0.025456727,0.00045481324,0.014908165,0.9591803
SRR1763620,0.85967827,0.0271748,0.028495789,0.08465111
SRR6724393,0.75227845,0.013678104,0.014311343,0.21973217
SRR5601983,0.030241579,0.0005570352,0.014366299,0.95483506
SRR5343091,0.024402022,0.0004310608,0.015675187,0.9594917
SRR5079026,0.02400443,0.00042280555,0.015966326,0.9596064
SRR5548577,0.871222,0.028934091,0.027840137,0.07200372
ERR719297,0.04164499,0.00067311525,0.013196915,0.94448495
ERR209652,0.02814871,0.00048545003,0.014914095,0.9564518
SRR5578996,0.024285495,0.00042626262,0.015847802,0.95944047
SRR5757993,0.06296471,0.0019068718,0.15013793,0.7849905
SRR5866532,0.63523287,0.010038972,0.007441014,0.34728718
SRR6928805,0.027146459,0.0004849136,0.01475814,0.9576105
SRR6264726,0.25691044,0.0028948784,0.09741327,0.6427814
SRR6264860,0.025889605,0.00046899915,0.018874913,0.9547665
ERR209285,0.027906269,0.00051677227,0.013394624,0.95818233
ERR209199,0.02736801,0.0004888475,0.015147448,0.9569957
SRR5602339,0.2513424,0.052923948,0.13044164,0.565292
SRR5651466,0.036640108,0.00064495206,0.011426181,0.95128876
SRR5602173,0.024011374,0.00042289495,0.015966564,0.95959914
SRR6724460,0.8703052,0.028877616,0.027887374,0.07292986
