,root:CRC (stage 0),root:CRC (stage I),root:CRC (stage II),root:CRC (stage III),root:CRC (stage IV),Unknown
ERR479534,0.04545635,0.18036698,0.3898148,0.35933027,0.025031628,0.0
ERR475532,0.039597966,0.61912906,0.0393865,0.10966907,0.19221745,0.0
ERR479039,0.050612073,0.14232276,0.08343583,0.06795232,0.65567696,0.0
ERR475501,0.040767148,0.56357753,0.0425263,0.1136146,0.23951447,0.0
ERR479333,0.021651447,0.58357036,0.05237937,0.0850603,0.21557051,0.041768014
ERR480641,0.1325025,0.13939759,0.23176584,0.46468952,0.031644527,0.0
ERR479175,0.058609635,0.11666456,0.29702985,0.34497434,0.05285129,0.1298703
ERR481047,0.06360841,0.313667,0.29199928,0.081538856,0.17838514,0.07080132
ERR478985,0.12067246,0.19570711,0.02223317,0.05022484,0.6111624,0.0
ERR479114,0.06851673,0.10969424,0.22942737,0.34348089,0.07152182,0.17735893
ERR479360,0.021389455,0.56876326,0.053325325,0.08011049,0.23104694,0.0453645
ERR479353,0.08835894,0.10115048,0.119003475,0.038262654,0.65322447,0.0
ERR479145,0.043977205,0.17801999,0.3898573,0.36389163,0.024253864,0.0
ERR479148,0.037911057,0.58370626,0.042695988,0.09833612,0.23735055,0.0
ERR480982,0.023736477,0.52661234,0.060700744,0.09232876,0.20347813,0.09314358
ERR480844,0.016729744,0.051269222,0.7887511,0.1234782,0.019771608,0.0
ERR480927,0.03547225,0.052585714,0.77464974,0.10728766,0.030004682,0.0
ERR479448,0.023866057,0.5208766,0.063972324,0.09418592,0.20321953,0.09387958
ERR480716,0.09131342,0.11898578,0.10935909,0.040990066,0.6393516,0.0
ERR479488,0.08081629,0.2897479,0.04864594,0.055981312,0.5248086,0.0
ERR481057,0.08980171,0.13166057,0.09239628,0.039862406,0.6462791,0.0
ERR479174,0.08981309,0.045770876,0.30271417,0.034168914,0.52753294,0.0
ERR480527,0.05546987,0.30401936,0.056933444,0.067567475,0.5160098,0.0
ERR479558,0.08309873,0.096475415,0.13798963,0.0335705,0.64886576,0.0
ERR479032,0.024640402,0.331652,0.07703886,0.09703737,0.46963134,0.0
ERR479516,0.023997337,0.71203065,0.08018793,0.11411698,0.06966707,0.0
ERR479431,0.04426359,0.39688584,0.047729313,0.123143174,0.38797808,0.0
ERR479470,0.04000178,0.2117731,0.35754183,0.3425088,0.028843611,0.01933086
ERR481063,0.050237834,0.16677782,0.2452485,0.29986218,0.058793515,0.17908013
ERR479024,0.024127059,0.7118781,0.07952637,0.11402906,0.07043937,0.0
ERR479222,0.1007178,0.17948855,0.046199612,0.047075365,0.62651867,0.0
ERR478969,0.0517935,0.11731925,0.6340984,0.14232878,0.05446015,0.0
ERR475493,0.034327596,0.2680412,0.13878798,0.13821742,0.07976568,0.34086013
ERR480943,0.027631022,0.031124461,0.7603325,0.12014486,0.060767125,0.0
ERR479256,0.08862079,0.1150008,0.10435917,0.038693793,0.6533255,0.0
ERR479200,0.11613841,0.13914794,0.23723714,0.47900513,0.0284714,0.0
ERR475521,0.044292547,0.38588583,0.048495166,0.12344012,0.39788634,0.0
ERR480947,0.024381101,0.50929743,0.0642373,0.094866455,0.19959667,0.10762107
ERR481042,0.023606718,0.5278447,0.060963243,0.09228301,0.19924542,0.09605682
ERR475557,0.022840716,0.54812425,0.0613218,0.09256055,0.27515265,0.0
ERR479318,0.025109142,0.056654185,0.62263095,0.04488051,0.19706869,0.05365652
ERR479030,0.024275996,0.3325022,0.07740696,0.09763504,0.4681798,0.0
ERR479246,0.02211824,0.5641641,0.05747497,0.088594675,0.19782951,0.0698185
ERR481021,0.08734277,0.111680135,0.115261085,0.039276466,0.64643955,0.0
ERR480970,0.043471813,0.18114258,0.39060807,0.36019725,0.024580333,0.0
ERR480912,0.06971466,0.08604986,0.20860195,0.023212375,0.61242115,0.0
ERR480933,0.030689389,0.1888057,0.10450858,0.06023562,0.47898984,0.13677084
ERR480611,0.015313228,0.09606888,0.7673908,0.04612192,0.07510512,0.0
ERR475520,0.014955847,0.1884423,0.34357685,0.024548173,0.42847684,0.0
ERR480805,0.022291481,0.5949574,0.062378377,0.07990497,0.20215932,0.038308382
ERR480580,0.057262678,0.30533174,0.05637022,0.066921145,0.51411426,0.0
ERR479389,0.025132079,0.7064636,0.08064992,0.118307255,0.06944715,0.0
ERR479031,0.027924271,0.3274313,0.073691525,0.092008606,0.47894433,0.0
ERR479559,0.08664048,0.10012381,0.12324526,0.036888313,0.65310216,0.0
ERR479540,0.08133566,0.2895185,0.04848843,0.055775426,0.524882,0.0
ERR480507,0.043076534,0.17906624,0.39244622,0.36125338,0.024157574,0.0
ERR480956,0.08465724,0.09853284,0.13537855,0.036588456,0.6448429,0.0
ERR481024,0.016518855,0.0514672,0.78914356,0.12301073,0.01985965,0.0
ERR481039,0.044676144,0.5718111,0.07869453,0.057451557,0.24736673,0.0
ERR475577,0.021310806,0.5888646,0.053697765,0.08549264,0.20819214,0.042442083
ERR479546,0.024994403,0.49057233,0.07011852,0.09865892,0.18917608,0.12647974
ERR480951,0.021643877,0.58113396,0.05417618,0.086260855,0.21125865,0.045526445
ERR480569,0.08165812,0.28936115,0.04840206,0.05565765,0.524921,0.0
ERR480671,0.059405982,0.11448747,0.29675993,0.34707582,0.05281353,0.12945724
