,root:Host-associated:Human:Digestive_system:Large_intestine:Fecal,root:Host-associated:Human:Digestive_system:Oral:Periodontal_pockets,root:Host-associated:Human:Digestive_system:Oral:Saliva,root:Host-associated:Human:Digestive_system:Oral:Subgingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Supragingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Throat,root:Host-associated:Human:Digestive_system:Oral:buccal_mucosa,root:Host-associated:Human:Digestive_system:Oral:tongue_dorsum,root:Host-associated:Human:Reproductive_system:Vagina:posterior_fornix,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Nasal_cavity,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Pharynx,root:Host-associated:Human:Respiratory_system:Pulmonary_system:Sputum,Unknown
SRR2145445,0.99417377,0.00059339404,0.00052142143,0.0009933114,0.00026357174,0.00031280518,0.0001553595,0.00075238943,0.0010155439,0.00036233664,0.00023943186,0.00015243888,0.00046420097
SRR6038548,0.9617,0.00043928623,0.00078472495,0.001699537,0.0004929304,0.0001706481,0.0001398325,0.0009313524,0.0005853772,0.0004875362,0.00025969744,0.00013288856,0.032176197
ERR1313536,0.99417394,0.00059342384,0.00052139163,0.0009933114,0.00026354194,0.00031292439,0.0001553297,0.00075241923,0.0010155439,0.00036233664,0.00023940206,0.00015231967,0.00046414137
ERR1313567,0.9941739,0.00059336424,0.0005213618,0.0009932518,0.00026354194,0.00031286478,0.0001553297,0.00075238943,0.0010156035,0.00036239624,0.00023940206,0.00015231967,0.00046426058
SRR4302879,0.005175203,0.0010603368,0.0019884408,0.0022379756,0.00190112,0.00047054887,0.0013871193,0.00089994073,0.0012774467,0.00092056394,0.0010665953,0.0006047487,0.98100996
ERR1598959,0.99417394,0.00059342384,0.00052139163,0.0009933114,0.00026354194,0.00031292439,0.0001553297,0.00075241923,0.0010155439,0.00036233664,0.00023940206,0.00015231967,0.00046414137
ERR499873,0.99417394,0.00059342384,0.00052139163,0.0009933114,0.00026354194,0.00031292439,0.0001553297,0.00075241923,0.0010155439,0.00036233664,0.00023940206,0.00015231967,0.00046414137
SRR6264583,0.99417496,0.00059330463,0.00052163005,0.0009933114,0.00026348233,0.000312984,0.00015541911,0.00075274706,0.0010159612,0.00036233664,0.00023952127,0.00015240908,0.000461936
ERR720027,0.994174,0.00059339404,0.00052139163,0.0009933114,0.00026354194,0.00031292439,0.0001553297,0.00075241923,0.0010156035,0.00036233664,0.00023943186,0.00015234947,0.00046390295
ERR1398239,0.99417394,0.00059336424,0.0005213618,0.0009933114,0.00026354194,0.00031286478,0.0001553595,0.00075241923,0.0010155439,0.00036233664,0.00023943186,0.00015243888,0.00046408176
