,root:Host-associated:Human:Digestive_system:Large_intestine:Fecal,root:Host-associated:Human:Digestive_system:Oral:Periodontal_pockets,root:Host-associated:Human:Digestive_system:Oral:Saliva,root:Host-associated:Human:Digestive_system:Oral:Subgingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Supragingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Throat,root:Host-associated:Human:Digestive_system:Oral:buccal_mucosa,root:Host-associated:Human:Digestive_system:Oral:tongue_dorsum,root:Host-associated:Human:Reproductive_system:Vagina:posterior_fornix,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Nasal_cavity,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Pharynx,root:Host-associated:Human:Respiratory_system:Pulmonary_system:Sputum,Unknown
ERR1384230,0.9996198,6.111051e-06,0.0002046958,3.5935755e-05,1.0286855e-05,6.2547647e-06,2.2945142e-05,2.4187844e-05,1.5421854e-05,2.1658429e-05,1.7871724e-05,1.4958367e-05,0.0
SRR6411577,0.00024950504,7.451508e-05,0.0060465336,0.0017978251,0.00079128146,0.00045135617,4.8185815e-05,0.00023004413,0.0016845465,0.00052690506,0.0017331243,4.020217e-05,0.986326
ERR494400,0.0025371313,0.0038742125,0.0033257008,0.743947,0.0041342378,2.484323e-05,0.00023907423,0.0020379424,0.0002963543,5.9207025e-05,0.00010334558,1.78033e-05,0.23940313
SRR1461231,0.9965981,5.785803e-06,0.00040507317,7.122386e-05,6.7186484e-06,4.5393977e-06,2.0310243e-05,4.19121e-05,2.3507171e-05,2.1460957e-05,2.893456e-05,1.8263041e-05,0.0027541518
SRR920622,0.002502948,6.6637733e-07,0.0004568994,2.4571998e-05,4.3800897e-05,4.1357573e-05,2.5898586e-05,3.1438438e-05,4.476492e-05,0.00015214086,0.0001823008,1.19567085e-05,0.99648124
ERR500258,0.9996195,6.0719735e-06,0.00020344874,3.5604564e-05,1.052979e-05,6.278475e-06,2.329873e-05,2.5272713e-05,1.51754975e-05,2.1734062e-05,1.7947257e-05,1.51041e-05,0.0
ERR1310760,0.99962014,6.0990014e-06,0.0002045171,3.584671e-05,1.0265163e-05,6.2583117e-06,2.291537e-05,2.4136401e-05,1.5398553e-05,2.1603442e-05,1.7864115e-05,1.4962041e-05,0.0
ERR1109583,0.0021212995,2.0973143e-06,0.00022184849,7.680665e-05,2.9481675e-05,6.305338e-05,8.1077895e-05,3.5166624e-05,7.160553e-05,0.00016590953,0.0002771318,1.6700076e-05,0.9968378
DRR047361,0.0021401644,1.30590415e-05,0.98993945,0.00034821033,0.0004798472,5.220026e-05,4.503797e-06,0.00050252676,6.89279e-06,4.865112e-05,2.2590277e-06,0.00014063716,0.006321609
SRR8356215,0.99907815,1.9311388e-05,0.00044815222,0.000109277265,3.393915e-05,8.676578e-06,6.518035e-05,7.459215e-05,3.6992056e-05,7.145961e-05,3.7496095e-05,1.6816488e-05,0.0
