,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic diseases,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections:Gram-Positive Bacterial Infections:Clostridium Infections,Unknown
SRR6474251,0.06754002,0.34396762,0.021943927,0.56654847
ERR719203,0.04283902,0.039687246,0.010062337,0.9074114
SRR6264896,0.042497754,0.038790613,0.009865344,0.90884626
SRR5866347,0.051466793,0.6288443,0.0481447,0.27154422
SRR5813405,0.043916762,0.040780008,0.010501325,0.9048019
SRR6264938,0.042449474,0.03895831,0.009906411,0.9086858
SRR5757992,0.043661892,0.1516484,0.3960066,0.40868306
SRR5429070,0.08702981,0.18742529,0.72554487,0.0
SRR5757823,0.102094695,0.18562137,0.7122839,0.0
ERR719104,0.043925464,0.04588008,0.010121524,0.90007293
ERR209574,0.08011097,0.6775983,0.058782548,0.18350816
SRR7507327,0.04669857,0.040829837,0.010604262,0.90186733
SRR6724422,0.0449647,0.039734274,0.010076463,0.90522456
SRR6281237,0.0425359,0.038856864,0.009872526,0.9087347
SRR7507462,0.04266265,0.03885427,0.009879649,0.9086034
ERR719820,0.042700976,0.03946051,0.010296613,0.9075419
SRR5650024,0.042678863,0.07665187,0.014885098,0.86578417
SRR5648774,0.043687105,0.039275885,0.010067701,0.9069693
SRR7507650,0.042497844,0.038790643,0.009865344,0.90884614
SRR6928787,0.04341635,0.039186686,0.010007679,0.9073893
SRR6265446,0.042497754,0.038790613,0.009865344,0.90884626
ERR720164,0.042491317,0.03881079,0.009869635,0.90882826
SRR5802314,0.04317999,0.03906995,0.009983361,0.9077667
SRR5610106,0.042905003,0.04152876,0.010785967,0.90478027
SRR5761698,0.044682473,0.039628297,0.01006341,0.9056258
SRR5579092,0.04286921,0.038964033,0.010027498,0.9081392
SRR5866365,0.046949,0.06542125,0.010427177,0.8772026
SRR6264710,0.050834894,0.31036606,0.3205525,0.31824654
SRR5203046,0.042518973,0.03879884,0.0098673105,0.9088149
SRR5758152,0.11577812,0.18674986,0.69747204,0.0
SRR5578987,0.05329618,0.04279551,0.011104345,0.89280397
ERR209802,0.089170635,0.69087946,0.06051454,0.15943539
SRR5649008,0.042501003,0.038791806,0.009865642,0.90884155
SRR5796722,0.04627186,0.04067561,0.011511743,0.90154076
SRR5866275,0.04785517,0.11013836,0.012666613,0.82933986
SRR5218386,0.044300318,0.039881885,0.010134429,0.9056834
SRR5578933,0.047258407,0.103954405,0.038323283,0.8104639
SRR5203195,0.04260227,0.038831174,0.009875208,0.90869135
SRR6264249,0.042497754,0.038790613,0.009865344,0.90884626
SRR5983281,0.024160683,0.25544325,0.03867978,0.6817163
ERR011119,0.042527646,0.03883335,0.009874254,0.9087647
SRR5648785,0.042497754,0.038790613,0.009865344,0.90884626
SRR5648927,0.0425314,0.038803577,0.009868264,0.9087968
SRR5803767,0.043275148,0.039105266,0.009961367,0.9076582
ERR209116,0.04096338,0.059315145,0.017008692,0.8827128
SRR5377207,0.043541074,0.03933075,0.010209411,0.90691876
SRR6928743,0.0425061,0.038793832,0.009866118,0.908834
ERR209824,0.04399994,0.04696369,0.010084212,0.8989521
SRR3400443,0.031163007,0.13252503,0.22887686,0.6074351
SRR2918731,0.19393793,0.6965875,0.10947454,0.0
SRR5602160,0.042658538,0.038853735,0.009879917,0.90860784
ERR719931,0.04365304,0.039454907,0.010084212,0.90680784
SRR5761708,0.042497754,0.038790613,0.009865344,0.90884626
SRR5649095,0.046614826,0.04083571,0.010434896,0.90211457
SRR5580568,0.043116063,0.039066643,0.010068476,0.9077488
SRR5580550,0.042606324,0.038851827,0.009895384,0.90864646
SRR1766059,0.042729706,0.038880706,0.009887755,0.90850186
SRR5866489,0.045911223,0.058339894,0.011631072,0.88411784
SRR7507495,0.043497622,0.039496034,0.009997904,0.9070084
SRR5802279,0.042500526,0.038791656,0.009865701,0.9088421
ERR209546,0.082329065,0.656801,0.053794354,0.2070756
DRR067938,0.116382614,0.18710145,0.696516,0.0
SRR6264068,0.07513118,0.1912547,0.01318419,0.7204299
ERR719727,0.03722936,0.12867466,0.01935482,0.81474113
SRR5202888,0.042638242,0.038845062,0.009878337,0.90863836
SRR5758025,0.11638919,0.18710221,0.6965086,0.0
SRR5577144,0.16400787,0.2693717,0.015974462,0.55064595
ERR719569,0.042858303,0.03897074,0.009908915,0.908262
SRR6182550,0.04266098,0.038853884,0.0098802745,0.90860486
SRR6357160,0.042497963,0.038790673,0.009865373,0.908846
SRR5218313,0.09055644,0.69228613,0.060506344,0.15665108
SRR5078919,0.042497754,0.038790613,0.009865344,0.90884626
ERR525813,0.042496502,0.038793802,0.009865969,0.90884376
SRR7507474,0.04253134,0.038803846,0.009869367,0.9087955
SRR6724376,0.042778492,0.038899153,0.009889811,0.90843254
SRR6265241,0.042526215,0.038805425,0.009884685,0.9087837
SRR5983323,0.04386154,0.38962263,0.025333613,0.5411822
SRR5610101,0.042497754,0.038790613,0.009865344,0.90884626
SRR5203404,0.04271236,0.0388754,0.009890288,0.90852195
ERR209447,0.054749817,0.14510304,0.018564045,0.7815831
SRR5629123,0.04272017,0.041668862,0.01017037,0.90544057
SRR1693254,0.12732661,0.20312926,0.015782595,0.6537615
ERR525790,0.022384733,0.19929582,0.038351238,0.7399682
SRR5548968,0.09405056,0.6967193,0.06294885,0.14628136
SRR5602351,0.04275912,0.03896132,0.009904742,0.9083748
SRR5078823,0.042543977,0.038818687,0.009880096,0.9087572
SRR5648923,0.046029508,0.040306956,0.010263681,0.9033998
SRR1687041,0.09128204,0.14897889,0.013162553,0.74657655
SRR5399292,0.042500854,0.038791895,0.009866118,0.90884113
SRR5548520,0.09233695,0.6952342,0.061186552,0.15124232
SRR5818477,0.044184923,0.054692358,0.010666162,0.89045656
SRR5399195,0.042280793,0.03945145,0.010023683,0.9082441
SRR5947812,0.053207368,0.45640904,0.03551227,0.45487136
SRR7507717,0.04541549,0.04115078,0.010255843,0.90317786
