,root:Diseases:Digestive System Diseases,root:Diseases:Hemic and Lymphatic Diseases,root:Infections:Bacterial Infections and Mycoses,Unknown
SRR6474251,0.57262397,0.04812634,0.025234371,0.35401535
ERR719203,0.070302784,0.011081636,0.008010894,0.9106047
SRR6264896,0.0698677,0.010975271,0.00699535,0.9121617
SRR5866347,0.6339053,0.058214754,0.03458774,0.27329218
SRR5813405,0.07054061,0.0111293495,0.008232325,0.9100977
SRR6264938,0.06987515,0.010979414,0.007044673,0.9121008
SRR5757992,0.15672678,0.045006633,0.39828217,0.39998442
SRR5429070,0.31863707,0.1473086,0.5340543,0.0
SRR5757823,0.0882484,0.11336693,0.7442234,0.05416125
ERR719104,0.070637494,0.011056274,0.007394016,0.9109122
ERR209574,0.6328553,0.058604598,0.03547448,0.27306563
SRR7507327,0.070512086,0.011127323,0.007796347,0.91056424
SRR6724422,0.6339292,0.05821848,0.034599036,0.27325332
SRR6281237,0.06986588,0.010978192,0.0070430934,0.91211283
SRR7507462,0.06986767,0.010975271,0.006995797,0.91216123
ERR719820,0.069750965,0.01105845,0.008540094,0.9106505
SRR5650024,0.08963087,0.012514651,0.009639531,0.88821495
SRR5648774,0.06986755,0.0109787285,0.0070337653,0.91212
SRR7507650,0.06986767,0.010975271,0.0069957674,0.9121613
SRR6928787,0.069865614,0.010993332,0.007249832,0.9118912
SRR6265446,0.0698677,0.010975271,0.00699535,0.9121617
ERR720164,0.06986573,0.010976493,0.007017672,0.91214013
SRR5802314,0.06985983,0.010980904,0.0070893764,0.9120699
SRR5610106,0.071382165,0.011207432,0.008599013,0.9088114
SRR5761698,0.0698531,0.01098299,0.0071341395,0.91202974
SRR5579092,0.06986594,0.010976136,0.0070100725,0.9121479
SRR5866365,0.0770933,0.011397302,0.0069563687,0.90455306
SRR6264710,0.5401443,0.076099575,0.306858,0.0768981
SRR5203046,0.06986749,0.010975361,0.0069973767,0.9121598
SRR5758152,0.09096852,0.11694974,0.7588128,0.03326893
SRR5578987,0.06986341,0.010977596,0.00703609,0.9121229
ERR209802,0.6336082,0.05849868,0.034941554,0.27295154
SRR5649008,0.0698677,0.010975271,0.0069953203,0.9121617
SRR5796722,0.07044372,0.011370301,0.013280749,0.9049052
SRR5866275,0.17631084,0.015989244,0.006767571,0.80093235
SRR5218386,0.07044372,0.011059433,0.0074089468,0.9110879
SRR5578933,0.09392202,0.016178459,0.03107962,0.8588199
SRR5203195,0.06986737,0.01097545,0.0069981217,0.9121591
SRR6264249,0.0698677,0.010975331,0.00699538,0.9121616
SRR5983281,0.28912878,0.020085335,0.006098777,0.68468714
ERR011119,0.069922715,0.010983974,0.007045716,0.9120476
SRR5648785,0.0698677,0.010975271,0.00699535,0.9121617
SRR5648927,0.0698677,0.010975271,0.00699538,0.91216165
SRR5803767,0.06986973,0.010979325,0.0070261955,0.91212475
ERR209116,0.07388899,0.012050778,0.019551426,0.89450884
SRR5377207,0.06992039,0.011013746,0.0074557364,0.9116101
SRR6928743,0.0698677,0.010975271,0.00699538,0.91216165
ERR209824,0.07033223,0.011011004,0.007106811,0.9115499
SRR3400443,0.08802855,0.11315319,0.74331576,0.055502534
SRR2918731,0.63393223,0.058217138,0.034586698,0.27326393
SRR5602160,0.06986722,0.0109755695,0.007000923,0.9121563
ERR719931,0.069924414,0.011005223,0.0072520077,0.9118184
SRR5761708,0.0698677,0.010975271,0.00699535,0.9121617
SRR5649095,0.0706695,0.011141092,0.008290887,0.9098985
SRR5580568,0.06985983,0.010979325,0.0070678294,0.91209304
SRR5580550,0.069859564,0.010981858,0.007103026,0.91205555
SRR1766059,0.0698677,0.010975271,0.0069953203,0.9121617
SRR5866489,0.07464129,0.011449903,0.007942468,0.90596634
