,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections,Unknown
SRR6474251,0.5538409,0.013770163,0.057804495,0.04054174,0.33404267
ERR719203,0.018977582,0.015659332,0.018919408,0.008661509,0.93778217
SRR6264896,0.01733613,0.015046775,0.019135237,0.009060323,0.93942153
SRR5866347,0.7257994,0.018609732,0.037941724,0.11432719,0.10332203
SRR5813405,0.018041193,0.015327364,0.019031972,0.008876145,0.9387233
SRR6264938,0.01734212,0.015048772,0.01913485,0.009058952,0.93941534
SRR5757992,0.32497656,0.008965045,0.04216042,0.37384707,0.2500509
SRR5429070,0.3065304,0.0075591207,0.0526309,0.33671188,0.29656768
SRR5757823,0.35384628,0.008915395,0.042704165,0.42525098,0.16928315
ERR719104,0.022709072,0.017179996,0.018195003,0.0077068508,0.9342091
ERR209574,0.75816196,0.021278024,0.03195536,0.14966062,0.038944006
SRR7507327,0.01782155,0.0155797005,0.019301742,0.008935422,0.9383616
SRR6724422,0.2035757,0.3683328,0.052289188,0.0037962496,0.37200606
SRR6281237,0.017385215,0.015069783,0.019123644,0.009043664,0.93937767
SRR7507462,0.018215388,0.01633811,0.019698441,0.008855462,0.9368926
ERR719820,0.01775232,0.015064806,0.019274384,0.009094745,0.93881375
SRR5650024,0.03088805,0.018157423,0.019113868,0.0075865686,0.92425406
SRR5648774,0.0173603,0.015076637,0.019146323,0.009054005,0.93936276
SRR7507650,0.018031985,0.01606536,0.019581974,0.008897096,0.9374236
SRR6928787,0.017355174,0.015062392,0.019137323,0.009054959,0.9393902
SRR6265446,0.01733613,0.015046775,0.019135237,0.009060323,0.93942153
ERR720164,0.017423153,0.015086114,0.0191136,0.009030819,0.9393463
SRR5802314,0.017350972,0.015066385,0.019143343,0.009056598,0.9393827
SRR5610106,0.018139988,0.015226185,0.01919055,0.008982688,0.9384606
SRR5761698,0.017337203,0.015047997,0.019135743,0.009060055,0.93941903
SRR5579092,0.017336816,0.015047699,0.019135654,0.009060144,0.9394197
SRR5866365,0.110991836,0.035407186,0.014747411,0.0032278895,0.83562565
SRR6264710,0.50092846,0.012184024,0.037498772,0.3309964,0.11839235
SRR5203046,0.0173361,0.015046746,0.019135296,0.009060323,0.93942153
SRR5758152,0.3537683,0.008902907,0.04276201,0.4259757,0.16859108
SRR5578987,0.01734382,0.015056014,0.019138604,0.009058297,0.9394033
ERR209802,0.7735942,0.023007201,0.02847172,0.17492692,0.0
SRR5649008,0.01733613,0.015046775,0.019135237,0.009060323,0.93942153
SRR5796722,0.04460135,0.0103927255,0.032851964,0.027220279,0.8849337
SRR5866275,0.09196791,0.032129914,0.0152601,0.0036681294,0.85697395
SRR5218386,0.017484069,0.015117466,0.01910922,0.0090150535,0.9392742
SRR5578933,0.039853275,0.01370883,0.022272408,0.02136305,0.90280247
SRR5203195,0.01733613,0.015046805,0.019135326,0.009060323,0.9394214
SRR6264249,0.01733613,0.015046775,0.019135237,0.009060323,0.93942153
SRR5983281,0.36731744,0.01653859,0.051662087,0.01898238,0.5454995
ERR011119,0.017370045,0.015062541,0.01912719,0.009048879,0.9393914
SRR5648785,0.01733613,0.015046775,0.019135237,0.009060323,0.93942153
SRR5648927,0.0173361,0.015046775,0.019135237,0.009060323,0.93942153
