,root:baby_birth:cesarean_section,root:baby_birth:vaginal_delivery,root:baby_fourthmonth:cesarean_section,root:baby_fourthmonth:vaginal_delivery,Unknown
ERR525753,0.12559327,0.24847463,0.12861526,0.12590915,0.3714077
ERR525804,0.12559316,0.24847451,0.12861535,0.12590927,0.3714077
ERR525879,0.13739765,0.36284447,0.05043319,0.24783239,0.20149231
ERR525928,0.12559378,0.24847513,0.12861496,0.12590888,0.37140727
ERR525948,0.12559384,0.2484752,0.12861493,0.12590885,0.37140715
ERR525963,0.12873161,0.2769786,0.10065684,0.15265685,0.34097606
ERR526027,0.12559819,0.24848029,0.12861183,0.12590578,0.37140393
ERR526035,0.12559968,0.24848205,0.12861082,0.1259048,0.37140262
ERR526051,0.12563154,0.24875087,0.12830874,0.12614372,0.37116516
ERR525735,0.13742745,0.22068271,0.092914045,0.46676376,0.08221203
ERR525744,0.13708872,0.2161282,0.09505814,0.4758597,0.07586527
ERR525773,0.1371896,0.21622667,0.095007956,0.47571287,0.075862885
ERR525797,0.12559322,0.24847466,0.12861517,0.12590942,0.3714075
ERR525807,0.1370886,0.21612808,0.09505814,0.47585994,0.07586527
ERR525845,0.13756883,0.21671733,0.094914556,0.4750384,0.07576084
ERR525853,0.13708961,0.21612906,0.09505767,0.47585848,0.07586515
ERR525913,0.1374985,0.21653059,0.09485367,0.47525835,0.07585889
ERR525921,0.13716081,0.24329683,0.08331221,0.4229954,0.11323476
ERR525946,0.12559319,0.24847448,0.12861535,0.12590927,0.3714077
ERR525724,0.091338664,0.34020126,0.1256573,0.44280273,0.0
ERR525878,0.13961029,0.21858093,0.093821734,0.47221646,0.07577062
ERR525883,0.25958523,0.32107908,0.05762896,0.34446666,0.017240047
ERR525892,0.1374422,0.3631307,0.050323844,0.24816296,0.20094025
ERR525894,0.15521318,0.50470227,0.1001139,0.1778487,0.062121987
ERR525966,0.13746992,0.36274183,0.050477535,0.24767092,0.20163989
ERR526046,0.13745388,0.36314964,0.050315857,0.24819592,0.2008847
ERR526074,0.24935809,0.31312138,0.059662968,0.35292467,0.024932861
ERR526030,0.13726243,0.21629837,0.09497157,0.47560555,0.07586205
ERR526034,0.13622308,0.35084993,0.05535242,0.23329622,0.22427839
