,root:Host-associated:Human,Unknown
ERR2538420,0.9999927,7.2717667e-06
SRR6408832,0.9999927,7.2717667e-06
ERR719915,0.99999267,7.3313713e-06
ERR1309914,0.9999927,7.2717667e-06
SRR7449340,0.9999927,7.2717667e-06
SRR6932116,0.9999927,7.2717667e-06
SRR921014,0.9999927,7.2717667e-06
SRR3095112,0.9999927,7.2717667e-06
SRR1618035,0.9999927,7.2717667e-06
SRR5525175,0.9999927,7.2717667e-06
SRR6265266,0.9999927,7.2717667e-06
SRR6394200,0.9999927,7.2717667e-06
ERR1960706,0.9999927,7.2717667e-06
ERR209604,0.9999927,7.2717667e-06
ERR1328435,0.9999927,7.2717667e-06
SRR6028651,0.9999927,7.2717667e-06
SRR1922852,0.9999927,7.2717667e-06
SRR1949287,0.9999927,7.2717667e-06
ERR3006024,0.9999927,7.2717667e-06
ERR525885,0.9999927,7.2717667e-06
ERR1109431,0.9999927,7.2717667e-06
SRR6265018,0.9999927,7.2717667e-06
SRR6931499,0.9999927,7.2717667e-06
SRR6932075,0.9999927,7.2717667e-06
ERR2247317,0.9999927,7.2717667e-06
SRR3053242,0.9999927,7.2717667e-06
DRR030516,0.9999927,7.2717667e-06
ERR441985,0.9999927,7.2717667e-06
ERR2738588,0.9999927,7.2717667e-06
ERR579512,0.9999927,7.2717667e-06
SRR5467622,0.9999927,7.2717667e-06
ERR1315391,0.9999927,7.2717667e-06
ERR1384583,0.9999927,7.2717667e-06
ERR867490,0.9999927,7.2717667e-06
SRR6054463,0.9999927,7.2717667e-06
SRR2761288,0.9999927,7.2717667e-06
ERR498900,0.9999927,7.2717667e-06
ERR3040029,0.9999927,7.2717667e-06
SRR2658806,0.9999927,7.2717667e-06
ERR1760006,0.9999927,7.2717667e-06
SRR921129,0.9999927,7.2717667e-06
ERR1313771,0.9999927,7.2717667e-06
SRR994919,0.9999927,7.2717667e-06
ERR719898,0.9999927,7.2717667e-06
DRR043174,0.9999927,7.2717667e-06
ERR1255782,0.9999927,7.2717667e-06
ERR1398118,0.9999927,7.2717667e-06
ERR106963,0.9999927,7.2717667e-06
SRR5156133,0.9999927,7.2717667e-06
SRR5196357,0.9999927,7.2717667e-06
SRR3503172,0.9999927,7.2717667e-06
ERR1971163,0.9999927,7.2717667e-06
ERR1315463,0.9999927,7.2717667e-06
ERR579701,0.9999927,7.2717667e-06
SRR3419454,0.9999927,7.2717667e-06
ERR443377,0.9999927,7.2717667e-06
SRR5644020,0.9999927,7.2717667e-06
ERR209756,0.9999927,7.2717667e-06
ERR443171,0.9999927,7.2717667e-06
ERR525877,0.9999927,7.2717667e-06
SRR7449304,0.9999927,7.2717667e-06
ERR1315067,0.9999927,7.2717667e-06
ERR1384684,0.9999927,7.2717667e-06
ERR1328419,0.9999927,7.2717667e-06
SRR3095221,0.9999927,7.2717667e-06
SRR6411993,0.9999927,7.2717667e-06
ERR883478,0.9999927,7.2717667e-06
SRR7448878,0.9999927,7.2717667e-06
SRR5165686,0.9999927,7.2717667e-06
ERR2511288,0.9999927,7.2717667e-06
SRR5687872,0.9999927,7.2717667e-06
SRR3732549,0.9999927,7.2717667e-06
ERR499583,0.9999927,7.2717667e-06
ERR441074,0.9999927,7.2717667e-06
ERR444013,0.9999927,7.2717667e-06
ERR1309789,0.9999927,7.2717667e-06
SRR1658899,0.9999927,7.2717667e-06
ERR499867,0.9999927,7.2717667e-06
ERR500603,0.9999927,7.2717667e-06
ERR1310399,0.9999927,7.2717667e-06
ERR499752,0.9999927,7.2717667e-06
ERR2511921,0.9999927,7.2717667e-06
SRR3094943,0.9999927,7.2717667e-06
SRR6265622,0.9999927,7.2717667e-06
DRR043808,0.9999927,7.2717667e-06
ERR209170,0.9999927,7.2717667e-06
ERR2002146,0.9999927,7.2717667e-06
SRR2658763,0.9999927,7.2717667e-06
ERR500783,0.9999927,7.2717667e-06
ERR1331828,0.9999927,7.2717667e-06
SRR3037306,0.9999927,7.2717667e-06
ERR1313498,0.9999927,7.2717667e-06
SRR1622894,0.9999927,7.2717667e-06
ERR1701281,0.9999927,7.2717667e-06
ERR500502,0.9999927,7.2717667e-06
ERR1384659,0.9999927,7.2717667e-06
ERR2511196,0.9999927,7.2717667e-06
ERR2730224,0.99999267,7.3313713e-06
ERR441991,0.9999927,7.2717667e-06
ERR2003219,0.9999927,7.2717667e-06
SRR3419366,0.9999927,7.2717667e-06
SRR2145450,0.9999927,7.2717667e-06
SRR995069,0.9999927,7.2717667e-06
ERR1383045,0.9999927,7.2717667e-06
SRR2658693,0.9999927,7.2717667e-06
ERR501348,0.9999927,7.2717667e-06
SRR2658751,0.9999927,7.2717667e-06
ERR1311303,0.9999927,7.2717667e-06
ERR1314271,0.9999927,7.2717667e-06
ERR107007,0.9999927,7.2717667e-06
SRR5525240,0.9999927,7.2717667e-06
ERR2002376,0.9999927,7.2717667e-06
SRR1950790,0.9999927,7.2717667e-06
SRR994712,0.9999927,7.2717667e-06
ERR1313365,0.9999927,7.2717667e-06
SRR7454122,0.9999927,7.2717667e-06
ERR209322,0.9999927,7.2717667e-06
SRR3647845,0.9999927,7.2717667e-06
DRR014351,0.9999927,7.2717667e-06
SRR935517,0.9999927,7.2717667e-06
SRR5155894,0.9999927,7.2717667e-06
SRR2658226,0.9999927,7.2717667e-06
SRR7448805,0.9999927,7.2717667e-06
ERR522386,0.9999926,7.390976e-06
ERR2531906,0.9999927,7.2717667e-06
ERR720173,0.9999927,7.2717667e-06
