,root:baby_birth:cesarean_section,root:baby_birth:vaginal_delivery,root:baby_fourthmonth:cesarean_section,root:baby_fourthmonth:vaginal_delivery,Unknown
ERR526044,0.077739894,0.2756483,0.11554387,0.13371417,0.39735377
ERR526048,0.12302104,0.32675195,0.20057958,0.098180115,0.2514673
ERR526052,0.11586684,0.18314594,0.11409819,0.08743724,0.49945176
ERR526056,0.11273965,0.21026045,0.0727146,0.11145881,0.49282646
ERR526060,0.11589566,0.18263799,0.11378747,0.087355405,0.5003235
ERR526064,0.10730502,0.2547826,0.036564022,0.15943924,0.44190913
ERR526068,0.10730502,0.2547826,0.036564022,0.15943924,0.44190913
ERR526070,0.11591858,0.18267697,0.11379421,0.08734515,0.5002651
ERR526076,0.10730502,0.2547826,0.036564022,0.15943924,0.44190913
ERR526080,0.10831988,0.1778601,0.11189945,0.6019206,0.0
ERR526084,0.114739686,0.6065025,0.04437828,0.0783456,0.15603393
