,root:Engineered:Wastewater,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Human,root:Host-associated:Insecta,root:Host-associated:Mammals,root:Host-associated:Plants
ERR1529650,5.8872054e-05,0.00013828793,0.00038579165,0.99875784,9.6236545e-05,0.00034876497,0.00021428526
SRR4826456,0.00023456034,0.9976661,0.0006334198,0.00042849296,0.00036893075,0.000365056,0.0003034834
ERR883432,6.0924e-05,0.00014338629,0.0003985166,0.9986921,0.00010093952,0.00038452275,0.00021952447
SRR6056016,0.00023467145,0.9976648,0.000633897,0.00042868062,0.00036908966,0.000365423,0.00030355103
SRR1767206,0.002686067,0.014554356,0.954356,0.006478576,0.0037893315,0.011076621,0.00705912
SRR1797688,0.00272578,0.014743299,0.954153,0.006571536,0.003816881,0.010894431,0.007095005
ERR1690050,0.00045880597,0.00091543986,0.003977356,0.0030179915,0.0013450071,0.0011919496,0.9890934
SRR2145449,5.8683992e-05,0.00013867133,0.00038502755,0.9987589,9.598807e-05,0.0003488623,0.0002139051
DRR030577,5.851718e-05,0.00013846428,0.00038424556,0.9987619,9.565152e-05,0.00034815623,0.00021311002
SRR2897132,0.0024692386,0.0017137771,0.00804805,0.0049096392,0.0007612223,0.98143506,0.00066302734
ERR560578,5.8518577e-05,0.00013846124,0.00038425231,0.9987619,9.565362e-05,0.0003481529,0.00021311447
ERR1263560,0.0025135274,0.002186848,0.00819425,0.006296047,0.00088924414,0.9792113,0.0007088222
SRR907642,0.00023455675,0.9976661,0.0006334047,0.00042849663,0.00036892918,0.00036504504,0.00030347705
SRR919534,5.8522277e-05,0.00013850127,0.0003851961,0.9987583,9.578628e-05,0.00035010514,0.00021345931
SRR921511,0.0027034509,0.014636413,0.954268,0.0065195425,0.0038014522,0.010996091,0.007075193
SRR5177441,0.00023455496,0.9976661,0.00063339685,0.00042849808,0.00036892793,0.00036504032,0.0003034736
ERR531736,6.352893e-05,0.000149555,0.00042826062,0.9985531,0.00010892287,0.00046694773,0.0002296697
ERR1548634,0.12470889,0.06429341,0.017712176,0.030840835,0.652261,0.05361454,0.056569133
SRR6901935,0.007317647,0.95343226,0.01473992,0.00023921121,0.0014430175,0.018879557,0.0039481954
SRR5178861,0.00023455496,0.9976661,0.00063339685,0.00042849808,0.00036892793,0.00036504032,0.0003034736
SRR6028244,5.934014e-05,0.00013946509,0.0003901471,0.99873704,9.747465e-05,0.0003607044,0.00021568006
ERR1523514,0.0024529428,0.0017099945,0.007839415,0.004719859,0.0007539469,0.9818718,0.0006520226
ERR368885,5.8517686e-05,0.00013846454,0.00038425563,0.9987619,9.565335e-05,0.00034817652,0.00021311386
ERR1522557,0.0025957196,0.0019136451,0.008024851,0.0049320264,0.0008071967,0.98101956,0.0007070261
SRR3948170,0.00023455474,0.9976661,0.0006333978,0.00042849767,0.00036892793,0.00036504155,0.0003034736
SRR6408625,5.9099322e-05,0.00014009402,0.0003877797,0.99874747,9.6733806e-05,0.00035459863,0.00021434108
SRR6264036,7.617159e-05,0.00018677415,0.00091845915,0.9952743,0.00019455253,0.0029696259,0.00038016756
ERR719887,6.749439e-05,0.00015780547,0.00043077578,0.99850476,0.00011529505,0.00049277797,0.00023105842
SRR6746472,0.00023455742,0.9976661,0.0006334062,0.00042849645,0.00036892935,0.00036504574,0.00030347763
SRR640719,0.0015753035,0.0023631502,0.89308584,0.037210178,0.0032493859,0.02338331,0.03913277
ERR579404,0.00041205375,0.0008486177,0.0012298637,0.97549033,0.0010695967,0.020484203,0.00046532974
SRR7584809,0.0025196527,0.0017393762,0.007995879,0.004867885,0.00077178865,0.9814472,0.0006582354
ERR537651,0.0027885626,0.0019224143,0.008461677,0.0050788005,0.00083900924,0.98022753,0.00068195455
SRR1922861,5.9289872e-05,0.00014043237,0.00038940934,0.99873644,9.752592e-05,0.00036138954,0.00021563203
SRR5590577,0.00023455496,0.9976661,0.00063339685,0.00042849808,0.00036892793,0.00036504032,0.0003034736
SRR5947841,5.9448383e-05,0.00014520038,0.00038986365,0.99872464,9.874656e-05,0.00035811812,0.0002239326
SRR2761307,0.00045880777,0.0009154457,0.00397733,0.0030180207,0.0013450041,0.0011919162,0.98909354
ERR500027,5.8662197e-05,0.00013837127,0.00038491614,0.9987594,9.587293e-05,0.00034930324,0.00021342107
SRR1051423,0.0033562032,0.017864026,0.95043784,0.007974715,0.0042198994,0.008595944,0.0075513856
ERR1314725,5.892517e-05,0.00013880807,0.00038739012,0.9987508,9.6574295e-05,0.00035260816,0.00021480364
ERR1110256,0.0024421462,0.0016793231,0.007824369,0.004732288,0.0007522462,0.98192847,0.0006411189
ERR1263623,0.0025659513,0.0019747291,0.00843511,0.0055493144,0.0008299459,0.9799234,0.00072160846
ERR1135262,0.0025142988,0.0017330596,0.0080101555,0.004875895,0.00077132304,0.98143893,0.0006563477
SRR1119145,0.002846974,0.01531181,0.95349556,0.006856344,0.0039004514,0.010383884,0.007204974
SRR1747520,0.00023455496,0.9976661,0.00063339685,0.00042849808,0.00036892793,0.00036504032,0.0003034736
SRR3951199,5.8604208e-05,0.00013823144,0.00038428797,0.99876213,9.5702e-05,0.00034776324,0.00021319666
ERR1960641,6.0141763e-05,0.00014194309,0.00038726008,0.99873644,9.8484204e-05,0.00036151454,0.00021426452
SRR5190067,0.0002346326,0.99766517,0.0006337425,0.00042850172,0.00036899705,0.000365289,0.00030358907
ERR1594259,0.0027603563,0.014923839,0.9539705,0.0066458574,0.0038398672,0.010741194,0.0071184514
ERR2696427,0.019063953,0.0076855766,0.009627392,0.22373225,0.28231823,0.025668943,0.4319037
SRR492182,5.8547004e-05,0.00013855334,0.00038465756,0.9987602,9.575441e-05,0.00034908857,0.00021329754
ERR1298323,0.00045880795,0.00091544556,0.003977347,0.0030180074,0.0013450109,0.0011919405,0.9890934
SRR2011352,0.00023455496,0.9976661,0.00063339685,0.00042849808,0.00036892793,0.00036504032,0.0003034736
ERR1533443,0.0025800248,0.0018774377,0.008044045,0.00504101,0.000805144,0.9809631,0.00068926817
SRR1767157,0.0026852544,0.01455075,0.9543599,0.0064765667,0.0037887522,0.011080417,0.0070582605
ERR908099,5.8742167e-05,0.00013896721,0.00039279865,0.9987312,9.692144e-05,0.00036496474,0.00021642385
SRR3361749,6.406613e-05,0.00015172212,0.0004440337,0.99848205,0.00011210935,0.0005104863,0.00023550335
SRR2053289,0.00023455496,0.9976661,0.000633399,0.00042849747,0.00036892793,0.0003650426,0.00030347417
ERR1313892,5.9589966e-05,0.00013841492,0.00038770257,0.9987507,9.716793e-05,0.00035018593,0.00021637937
ERR2511695,6.932241e-05,0.00016298576,0.00046281028,0.9983589,0.00012211237,0.0005800609,0.00024375856
