,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525716,0.08769331,0.15826109,0.75404555,0.0
ERR525733,0.057900537,0.41724005,0.5248594,0.0
ERR525779,0.03539389,0.43821773,0.52638835,0.0
ERR525815,0.341102,0.10567598,0.553222,0.0
ERR525851,0.08824128,0.15803123,0.75372756,0.0
ERR525907,0.10291391,0.15771683,0.7393692,0.0
ERR526003,0.089017004,0.15775731,0.7532256,0.0
ERR526067,0.088701025,0.15784967,0.7534493,0.0
ERR526083,0.07072888,0.3971409,0.53213024,0.0
ERR525714,0.052477002,0.7760526,0.08059654,0.09087384
ERR525721,0.054802865,0.7709552,0.08101067,0.0932312
ERR525727,0.81603694,0.1140408,0.06992232,0.0
ERR525739,0.18715094,0.3083223,0.50452673,0.0
ERR525869,0.053038925,0.77548814,0.08032566,0.091147244
ERR525941,0.05216387,0.776298,0.08072305,0.09081507
ERR526041,0.07767874,0.75264335,0.06857845,0.10109949
ERR526045,0.35941333,0.6079418,0.03264479,0.0
ERR525690,0.8146996,0.117237024,0.06806337,0.0
ERR526029,0.05216497,0.7764915,0.08099389,0.090349615
ERR525715,0.05216387,0.776298,0.08072305,0.09081507
ERR525874,0.7912806,0.13954413,0.069175325,0.0
ERR525878,0.710193,0.26463762,0.02516931,0.0
ERR525888,0.7973891,0.119025454,0.08358542,0.0
ERR525906,0.8123222,0.11717271,0.07050511,0.0
ERR525998,0.07960233,0.6040443,0.16382068,0.15253264
ERR526006,0.81181425,0.11988546,0.06830032,0.0
ERR526066,0.81603694,0.1140408,0.06992232,0.0
ERR525958,0.091130644,0.2699973,0.6388721,0.0
ERR526030,0.05218187,0.7762814,0.080717385,0.0908193
