,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections,Unknown
SRR5203404,0.012845874,0.0014596581,0.00075256824,0.0027558506,0.9821861
ERR209447,0.057861775,0.0021494627,0.0012231469,0.0048000813,0.93396556
SRR5629123,0.23563719,0.003249675,0.00060659647,0.007678747,0.75282776
SRR1693254,0.09572023,0.005614221,0.001070112,0.004085034,0.8935104
ERR525790,0.0072535574,0.0008250773,0.0013440847,0.0038217306,0.98675555
SRR5548968,0.95156693,0.019381285,0.00081035495,0.012757093,0.015484333
SRR5602351,0.20333299,0.0008380711,0.00045746565,0.0101006925,0.7852708
SRR5078823,0.008195758,0.0011875331,0.0008535981,0.0026418865,0.9871212
SRR5648923,0.097554386,0.00096699595,0.0006709099,0.012075722,0.88873196
SRR1687041,0.3499102,0.0025360584,0.00067567825,0.011483997,0.6353941
SRR5399292,0.008041143,0.0010065436,0.0009096265,0.0027182996,0.98732436
SRR5548520,0.94420433,0.006068647,0.00082582235,0.011935532,0.03696567
SRR5818477,0.008243918,0.001016289,0.0008023679,0.0026976168,0.98723984
SRR5399195,0.004220456,0.006065786,0.5887781,0.052851617,0.34808403
SRR5947812,0.0062366426,0.035482764,0.0015300512,0.012744606,0.94400597
SRR7507717,0.041870177,0.003406465,0.0013186336,0.003403753,0.950001
SRR5429352,0.011971682,0.028303867,0.9102249,0.04949955,0.0
SRR5399205,0.055901498,4.9059963e-05,0.0030851662,0.19824764,0.74271667
SRR5757780,0.027981836,0.0001996393,0.022876171,0.94894236,0.0
ERR719544,0.047555834,0.0006407201,0.00041773915,0.0075500906,0.9438356
SRR5078728,0.0073206425,0.0006991029,0.0007509887,0.0027625859,0.9884667
SRR6357131,0.0073921084,0.0007428229,0.0007715225,0.0027514398,0.9883421
SRR6264088,0.014769107,0.0020006895,0.0010434091,0.0033197403,0.97886705
SRR5580474,0.017277181,0.0008055568,0.0009472072,0.0050471723,0.9759229
SRR5983349,0.08636734,3.6654652e-05,0.036554098,0.7536136,0.123428345
ERR209901,0.010251641,0.001195699,0.0008634925,0.00306499,0.98462415
ERR719264,0.012518078,0.0010962784,0.0007739961,0.0032726228,0.982339
SRR6424505,0.026589418,0.00018997745,0.021832379,0.9513882,0.0
SRR5203217,0.009251118,0.0018278062,0.0011102557,0.0027488172,0.985062
ERR209816,0.8438634,0.016072094,0.0015006661,0.0065740645,0.13198972
SRR5758043,0.008596003,0.0010121167,0.0007548928,0.0026661456,0.98697084
SRR1693228,0.9384571,0.006018758,0.0008172095,0.011282146,0.043424785
SRR5399187,0.29339123,0.000113025046,0.00020217896,0.048600167,0.6576934
ERR209625,0.91947407,0.0048216283,0.00087848306,0.014662713,0.06016314
SRR6264798,0.007165611,0.00092974305,0.0010466278,0.002954781,0.98790324
SRR6928774,0.007320702,0.0006990433,0.0007509887,0.0027625859,0.9884667
SRR5579064,0.08392686,0.0007008016,0.00042200089,0.009915084,0.90503526
SRR7507335,0.008059651,0.0016183555,0.0016748011,0.002838701,0.9858085
SRR6928750,0.0075328946,0.018597633,0.0023161173,0.0103159845,0.9612374
SRR5648871,0.008098096,0.0011067688,0.00095537305,0.0027678907,0.9870719
SRR064872,0.876596,0.0007802844,0.0019716322,0.031042844,0.089609265
ERR525706,0.009068072,0.0010559857,0.0008881688,0.0026932657,0.9862945
SRR5866321,0.0062277317,0.001653552,0.0025013387,0.0042318404,0.98538554
SRR5763465,0.011226624,0.0015793145,0.000978589,0.0023759604,0.9838395
SRR1693218,0.6700326,0.014637232,0.0011401176,0.0052213073,0.30896872
SRR7507591,0.018405408,0.0021877587,0.0012562275,0.002954185,0.9751964
SRR6263976,0.03332299,0.0010087192,0.00074338913,0.0077703,0.95715463
SRR1693350,0.088602304,0.003836453,0.0011600256,0.004128784,0.90227246
SRR6331166,0.008850336,0.001511395,0.001126647,0.0027826726,0.985729
ERR719730,0.06167519,0.000841558,0.0005903542,0.0069331527,0.9299598
SRR5431399,0.07669434,0.008208424,0.0014163852,0.0024583042,0.9112226
SRR053019,0.9329635,0.011102468,0.00076186657,0.008671343,0.04650086
ERR209709,0.63129085,0.0120999515,0.0011203587,0.008014172,0.3474747
SRR5610051,0.0073295534,0.00072157383,0.0007734597,0.0028046072,0.9883708
SRR5548601,0.94458234,0.023885071,0.0011441708,0.01342085,0.016967535
ERR719754,0.0075837374,0.0008096099,0.0007965863,0.002808839,0.9880012
ERR011143,0.008844942,0.0010796189,0.00080794096,0.0026511848,0.9866163
