,root:Diseases:Digestive System Diseases,root:Diseases:Hemic and Lymphatic Diseases,root:Infections:Bacterial Infections and Mycoses,Unknown
SRR6474251,0.13957709,0.0017352998,0.0034804642,0.85520715
ERR719203,0.030609041,0.0010451972,0.01129362,0.9570521
SRR6264896,0.020149648,0.00051000714,0.0041870177,0.9751533
SRR5866347,0.7733995,0.004991263,0.0015795231,0.22002971
SRR5813405,0.031569123,0.0006516278,0.005006045,0.9627732
SRR6264938,0.015581191,0.0011714995,0.013199538,0.9700478
SRR5757992,0.025917947,0.003720224,0.09250206,0.8778598
SRR5429070,0.009118259,0.019623965,0.5782335,0.39302433
SRR5757823,0.03929338,0.012655437,0.9161639,0.031887293
ERR719104,0.025156498,0.0006322861,0.0057241023,0.96848714
ERR209574,0.70147943,0.0045749247,0.001987815,0.29195786
SRR7507327,0.022855163,0.00092563033,0.0071828067,0.9690364
SRR6724422,0.97014344,0.0042094886,0.011821181,0.013825893
SRR6281237,0.32006285,0.003946215,0.0025013685,0.6734896
SRR7507462,0.020549506,0.0006788373,0.005679995,0.97309166
ERR719820,0.023518741,0.0010770857,0.01214686,0.9632573
SRR5650024,0.17061633,0.002015829,0.004747659,0.82262015
SRR5648774,0.017945945,0.001164645,0.011661768,0.9692277
SRR7507650,0.040359974,0.11599445,0.009739101,0.8339065
SRR6928787,0.016448438,0.0011395216,0.012833446,0.9695786
SRR6265446,0.014609188,0.0006211996,0.0067171454,0.9780525
ERR720164,0.021345913,0.0006661415,0.005423695,0.9725642
SRR5802314,0.04592818,0.0008662343,0.0040816367,0.949124
SRR5610106,0.010399312,0.0033301115,0.031421185,0.95484936
SRR5761698,0.019479424,0.0005322397,0.0045797527,0.97540855
SRR5579092,0.016133368,0.001011312,0.010697335,0.97215796
SRR5866365,0.030394137,0.0007112026,0.0043945014,0.9645002
SRR6264710,0.8466695,0.0064285994,0.08174744,0.06515443
SRR5203046,0.017183721,0.00057679415,0.0054246187,0.97681487
SRR5758152,0.012264103,0.0150716305,0.902593,0.07007122
SRR5578987,0.0134238005,0.0014051795,0.016245544,0.9689255
ERR209802,0.7609707,0.009554386,0.0025969744,0.22687793
SRR5649008,0.023482263,0.00067541003,0.00507918,0.97076315
SRR5796722,0.004151404,0.008087277,0.059727877,0.9280335
SRR5866275,0.8551645,0.0057834685,0.0018877387,0.1371643
SRR5218386,0.4616801,0.0032242239,0.004318565,0.5307771
SRR5578933,0.016165525,0.0025492907,0.082800925,0.89848423
SRR5203195,0.01340723,0.001060605,0.017141879,0.9683903
SRR6264249,0.018559009,0.0005236864,0.004616767,0.97630054
SRR5983281,0.030919582,0.00070267916,0.0038703978,0.96450734
ERR011119,0.42773736,0.0018084049,0.0048654377,0.56558883
SRR5648785,0.0173738,0.00048178434,0.00427413,0.9778703
SRR5648927,0.016200334,0.00083458424,0.008639842,0.97432524
SRR5803767,0.024297178,0.0011847615,0.0083993375,0.9661187
ERR209116,0.029637456,0.00070896745,0.0074305534,0.96222305
SRR5377207,0.025457323,0.000746876,0.005726218,0.96806955
SRR6928743,0.01532802,0.000983566,0.012485981,0.97120243
ERR209824,0.03770423,0.0009441078,0.0045037866,0.9568479
SRR3400443,0.016016424,0.00047320127,0.004342675,0.9791677
SRR2918731,0.54707956,0.0027263463,0.019863427,0.4303307
SRR5602160,0.020780176,0.0006401539,0.0053219497,0.9732577
ERR719931,0.021675944,0.0006919801,0.008904129,0.96872795
SRR5761708,0.01669848,0.00047701597,0.004321784,0.97850275
SRR5649095,0.031604648,0.0006195903,0.0056809187,0.96209484
SRR5580568,0.010827929,0.0020467043,0.025602877,0.96152246
SRR5580550,0.022097558,0.0018891096,0.015785247,0.9602281
SRR1766059,0.016051024,0.00071915984,0.0075404346,0.9756894
