,root:CRC (stage 0),root:CRC (stage I),root:CRC (stage II),root:CRC (stage III),root:CRC (stage IV),Unknown
ERR479353,0.078597836,0.1767868,0.18641652,0.03281202,0.5253868,0.0
ERR479563,0.16494541,0.33311203,0.20678316,0.22909912,0.066060305,0.0
ERR480750,0.075646445,0.09280246,0.45633894,0.041997395,0.3332148,0.0
ERR480831,0.038814463,0.44959548,0.1186443,0.08008298,0.31286278,0.0
ERR481036,0.035215963,0.19552796,0.1908061,0.088948615,0.48950142,0.0
ERR479560,0.07034944,0.15812321,0.16751915,0.05208339,0.5519248,0.0
ERR480731,0.028687203,0.17817463,0.24902585,0.06722955,0.47688273,0.0
ERR481062,0.11315269,0.20457192,0.3004731,0.32874274,0.05305955,0.0
ERR479144,0.09150751,0.15373272,0.21058795,0.38020393,0.16396792,0.0
ERR481051,0.08146783,0.1756887,0.17873366,0.035487708,0.5286221,0.0
ERR479518,0.038664095,0.46097,0.14919059,0.08192311,0.26925224,0.0
ERR479519,0.038936358,0.4591496,0.14560872,0.081772424,0.2745329,0.0
ERR479562,0.16332175,0.33334893,0.20434847,0.23074543,0.06823545,0.0
ERR480740,0.11869734,0.17573231,0.3326603,0.3294178,0.04349226,0.0
ERR479258,0.090184554,0.18270756,0.14109685,0.04713003,0.53888106,0.0
ERR479438,0.09660384,0.18963164,0.13570118,0.0449787,0.5330847,0.0
ERR479245,0.059465107,0.51832974,0.06968299,0.15067321,0.20184898,0.0
ERR480715,0.07400918,0.3000363,0.09340078,0.06463029,0.4679234,0.0
ERR481028,0.097840436,0.39543617,0.27422142,0.11475869,0.117743336,0.0
ERR480751,0.101260304,0.19348593,0.117772415,0.052529257,0.5349521,0.0
ERR479471,0.048272617,0.39932075,0.038019933,0.27097547,0.24341123,0.0
ERR479223,0.040160343,0.29224205,0.1343795,0.08345948,0.44975868,0.0
ERR481034,0.03521611,0.19552863,0.1908043,0.08894909,0.48950183,0.0
ERR479566,0.11922673,0.18102847,0.3213036,0.33275756,0.045683645,0.0
ERR479246,0.05915867,0.51745063,0.07002581,0.14916009,0.20420484,0.0
ERR478968,0.108244576,0.38091055,0.27009854,0.11330035,0.12744597,0.0
ERR479545,0.068256244,0.5065898,0.14640835,0.15949914,0.11924649,0.0
ERR479278,0.09775257,0.19082582,0.1326521,0.046215676,0.53255385,0.0
ERR479194,0.05488667,0.30886212,0.12945765,0.20952758,0.29315135,0.004114628
ERR480718,0.081602305,0.25622252,0.10492216,0.060380384,0.49687257,0.0
ERR475533,0.039692953,0.422539,0.08547128,0.07721736,0.3750794,0.0
ERR479357,0.098032765,0.19081022,0.13196342,0.046102453,0.5330912,0.0
ERR479114,0.06675851,0.20285395,0.413267,0.21159741,0.07702592,0.02849722
ERR475532,0.1112325,0.38246396,0.049484592,0.042548254,0.41427067,0.0
ERR480974,0.030028738,0.056762423,0.7404887,0.09591995,0.07680022,0.0
ERR480690,0.05367292,0.5426621,0.1330666,0.14942257,0.12117592,0.0
ERR480944,0.05851749,0.5094084,0.06741508,0.15688339,0.20777561,0.0
ERR480955,0.027626853,0.059179224,0.7545834,0.11046635,0.04814416,0.0
ERR481039,0.060110576,0.507286,0.12108707,0.17012665,0.14138967,0.0
ERR479469,0.048359815,0.3997827,0.038046446,0.2708472,0.2429639,0.0
ERR481037,0.10238579,0.19450729,0.120804064,0.04973655,0.53256637,0.0
ERR480671,0.07258103,0.20710899,0.4359164,0.2450463,0.03934723,0.0
ERR480958,0.10186734,0.21792755,0.087334014,0.0862143,0.5066568,0.0
ERR480912,0.060115878,0.14589304,0.26633865,0.02372233,0.5039301,0.0
ERR479463,0.092490695,0.2028666,0.10092989,0.07527979,0.528433,0.0
ERR479115,0.036677215,0.4750594,0.1764976,0.08193349,0.22983226,0.0
ERR481054,0.09553139,0.1717351,0.07872569,0.09984744,0.5541604,0.0
ERR480952,0.032066945,0.058514226,0.7520555,0.10369614,0.053667165,0.0
ERR479505,0.036850385,0.4758522,0.17531838,0.082452044,0.22952704,0.0
ERR481057,0.09187668,0.2137537,0.08645687,0.08719261,0.52072006,0.0
ERR480721,0.06208545,0.19753313,0.20730704,0.18349832,0.204999,0.14457703
ERR475509,0.03976314,0.42235044,0.08569192,0.077312104,0.37488246,0.0
ERR479369,0.045819666,0.24272966,0.49014756,0.17746645,0.04383664,0.0
ERR475579,0.053591073,0.27973312,0.1553092,0.17335212,0.2753402,0.062674284
ERR480864,0.029203974,0.15064439,0.466793,0.06083932,0.29251936,0.0
ERR480807,0.059822373,0.52033937,0.08506376,0.15947795,0.1752966,0.0
ERR479302,0.03720418,0.21207924,0.16989654,0.12238988,0.45843014,0.0
ERR480999,0.05230514,0.23211266,0.49581435,0.17749855,0.042269364,0.0
ERR480977,0.089290254,0.20159309,0.12715077,0.06037338,0.5215925,0.0
ERR480610,0.029722555,0.06473616,0.57935184,0.04812926,0.27806017,0.0
ERR479513,0.07189699,0.14963566,0.13973331,0.069381654,0.5693524,0.0
ERR479367,0.045958176,0.23593067,0.49770704,0.17756864,0.042835426,0.0
ERR479546,0.05815945,0.483099,0.06290692,0.18245402,0.21338062,0.0
ERR479389,0.056812484,0.51313907,0.062332213,0.14735694,0.22035933,0.0
