,root:Engineered:Wastewater,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Human,root:Host-associated:Insecta,root:Host-associated:Mammals,root:Host-associated:Plants
SRR4054232,0.0014728035,0.98811495,0.001988395,0.0012354723,0.0021020372,0.0037213918,0.0013649295
ERR658178,0.0014728049,0.98811495,0.0019883902,0.0012354729,0.002102042,0.0037213918,0.0013649346
DRR047896,0.00030722347,0.0005697109,0.002074616,0.9942187,0.0004039478,0.0017354775,0.0006904069
ERR719083,0.00030735595,0.0005695556,0.0020751683,0.9942179,0.00040400872,0.0017353585,0.0006906335
SRR994658,0.00030730804,0.0005697178,0.0020754603,0.99421644,0.0004040821,0.0017363791,0.0006906378
ERR1533677,0.0023443275,0.019839711,0.009732581,0.020032959,0.0055463198,0.94125766,0.0012463912
SRR649467,0.0064139795,0.0378285,0.48646814,0.028772917,0.0094147185,0.032222155,0.39887965
DRR047632,0.00030724407,0.00056962797,0.0020746046,0.99421895,0.00040394327,0.0017352528,0.00069042284
SRR3742090,0.0014728955,0.9881144,0.0019883257,0.001235507,0.0021022335,0.0037215266,0.0013650784
SRR7453678,0.0003082682,0.0005701897,0.0020784396,0.99420714,0.0004049077,0.0017391669,0.0006919333
ERR1913074,0.0003108705,0.000569929,0.0020986693,0.9941725,0.00040603508,0.001743384,0.0006986546
SRR6414409,0.000307459,0.00056917337,0.0020747904,0.9942193,0.0004040696,0.0017346703,0.0006906503
ERR1523799,0.0023840277,0.01562111,0.00814883,0.024365412,0.0057411115,0.942326,0.0014134465
SRR2761207,0.0018134391,0.0031304967,0.008219669,0.9334656,0.0029174222,0.04835009,0.0021033832
ERR1315457,0.00030853492,0.0005701683,0.002084249,0.9941993,0.00040478326,0.0017394401,0.0006935808
ERR1310930,0.0003105304,0.0005575604,0.0020710034,0.9942543,0.00040454284,0.001709511,0.0006926574
ERR2495587,0.0023784726,0.005340656,0.0160067,0.010759934,0.006941595,0.004500898,0.95407176
SRR5831843,0.00030737376,0.00056975597,0.0020753092,0.9942167,0.0004040876,0.0017361444,0.0006906432
SRR6931852,0.00030799766,0.0005714231,0.0020817153,0.9942027,0.00040492037,0.0017377556,0.000693435
SRR6975897,0.003178008,0.96463394,0.005785803,0.008063685,0.0037450192,0.013060373,0.0015333205
ERR1311253,0.00030846254,0.0005673714,0.0020781113,0.9942174,0.00040445707,0.0017317719,0.00069226197
ERR365959,0.000308599,0.00057046575,0.0020852566,0.9941963,0.00040484304,0.001740701,0.0006938215
SRR8609374,0.012909256,0.20614201,0.017934144,0.46123868,0.030950615,0.26511425,0.005711025
SRR5902394,0.0014941737,0.988013,0.0018621363,0.0012449193,0.0022282994,0.003683661,0.00147382
ERR1736272,0.0022577012,0.018570092,0.009450173,0.019977648,0.0054309308,0.9431015,0.0012119593
SRR6901943,0.61637926,0.09992664,0.05353444,0.06481377,0.04749009,0.07381129,0.044044483
ERR866643,0.0005841309,0.0010018594,0.00261832,0.9905393,0.000756073,0.003682552,0.000817693
ERR1103138,0.0014728085,0.98811495,0.001988395,0.0012354765,0.0021020432,0.003721399,0.0013649353
SRR5179752,0.0014731338,0.98811215,0.0019891423,0.0012355325,0.0021026686,0.003721951,0.0013653605
ERR2739113,0.00031186276,0.0005678937,0.0021008812,0.9941731,0.00040639832,0.0017399485,0.00070000556
ERR1298098,0.002377609,0.005341342,0.016014585,0.010751408,0.0069413786,0.0045190062,0.9540547
SRR5916451,0.0014734932,0.9881115,0.0019848782,0.0012357513,0.00210582,0.0037204917,0.001368096
SRR6005050,0.0014728076,0.98811483,0.0019883986,0.0012354758,0.0021020418,0.0037214058,0.0013649325
SRR062191,0.0014881047,0.9880443,0.0018970033,0.0012422439,0.0021918556,0.0036942987,0.0014421844
SRR2034605,0.007508303,0.016856419,0.8004581,0.095116235,0.004104605,0.0109427115,0.06501369
ERR579577,0.00030818983,0.00057127187,0.0020769462,0.99420553,0.00040519406,0.0017419212,0.0006909681
ERR1522882,0.0026825748,0.025927657,0.01096763,0.019464122,0.0058199284,0.9336557,0.0014824428
SRR6429180,0.0014728035,0.98811495,0.001988395,0.0012354734,0.0021020372,0.0037213953,0.0013649295
ERR1897429,0.0014729626,0.9881137,0.0019886105,0.0012356917,0.0021022188,0.003721909,0.0013649856
DRR042715,0.000307316,0.000569701,0.0020750312,0.9942175,0.0004040236,0.0017357146,0.00069058087
SRR994452,0.00030720385,0.0005697137,0.0020745392,0.9942188,0.00040392706,0.0017353949,0.00069037534
SRR387957,0.0003073039,0.0005694184,0.002074631,0.9942192,0.0004039873,0.0017348594,0.00069048296
ERR1383326,0.00030868562,0.000570102,0.0020839707,0.99419653,0.00040513897,0.0017421712,0.0006934122
ERR996181,0.0026867555,0.007162646,0.004275054,0.052231118,0.0068025924,0.9245449,0.0022969688
SRR1778120,0.007296681,0.01589934,0.80694646,0.090002425,0.004138042,0.010622837,0.065094136
SRR4826836,0.0014732344,0.9881109,0.0019890289,0.0012362079,0.0021027804,0.003722823,0.0013649603
SRR6932028,0.00030764722,0.0005700159,0.0020780421,0.9942114,0.00040421882,0.0017371139,0.000691499
ERR1689110,0.0023733433,0.0053330967,0.01600795,0.010759125,0.006929526,0.004509077,0.9540879
SRR980689,0.0035370386,0.00746821,0.016697967,0.009417156,0.010203682,0.0069183274,0.9457576
ERR658173,0.0014728041,0.98811483,0.0019883967,0.0012354739,0.002102038,0.0037213948,0.0013649298
SRR1286268,0.0039737085,0.97675645,0.0057058465,0.007813231,0.0025450487,0.0024998605,0.000705945
SRR996557,0.00030720443,0.00056971423,0.002074547,0.9942188,0.00040392857,0.0017354,0.0006903773
DRR043940,0.00030721203,0.0005697175,0.0020745902,0.9942187,0.000403937,0.0017354576,0.00069039105
