,root:Diseases:Digestive System Diseases,root:Diseases:Hemic and Lymphatic Diseases,root:Infections:Bacterial Infections and Mycoses,Unknown
SRR5079185,0.07678419,0.013791621,0.010468811,0.89895535
ERR719961,0.077337116,0.013833463,0.010537505,0.89829195
SRR5602141,0.076794714,0.013792604,0.010479122,0.89893353
SRR5758078,0.081056416,0.014423132,0.013035834,0.8914846
SRR5396543,0.07678628,0.01379177,0.01046887,0.8989531
SRR6264428,0.30139565,0.034059584,0.014632583,0.6499122
SRR5757789,0.41493592,0.05225706,0.03129685,0.50151014
SRR1693210,0.6150204,0.067796946,0.0080034435,0.3091792
ERR719991,0.07682869,0.013794303,0.010470122,0.8989069
SRR6901831,0.07678768,0.013792276,0.010468841,0.8989512
SRR5602124,0.07678765,0.0137918,0.010469675,0.8989509
ERR011301,0.076809734,0.013793319,0.010475546,0.8989214
SRR5429314,0.059129655,0.5869928,0.27696702,0.076910496
SRR5803702,0.07678929,0.013792098,0.010475963,0.89894265
SRR7464883,0.07683858,0.013795257,0.010483742,0.8988824
SRR5343112,0.07678419,0.013791621,0.010468811,0.89895535
SRR5548968,0.6150225,0.06779951,0.008003861,0.30917418
SRR6724585,0.6150819,0.067881525,0.008021116,0.30901545
SRR6264690,0.07696313,0.013803899,0.010497153,0.8987358
SRR5649114,0.07678419,0.013791621,0.010468811,0.89895535
ERR719063,0.08186886,0.0142065585,0.011146039,0.8927785
ERR525890,0.35066402,0.034637332,0.008993864,0.6057048
SRR1687172,0.61489236,0.07125363,0.008788735,0.30506527
SRR6424577,0.025544165,0.30116323,0.67329264,0.0
ERR011175,0.07688293,0.013800025,0.0105262995,0.8987907
ERR719042,0.080183744,0.014080703,0.011042237,0.8946933
SRR5983467,0.5867946,0.06349382,0.00810343,0.3416081
ERR209516,0.07713258,0.013821781,0.010606468,0.89843917
SRR1763694,0.08156875,0.01428625,0.010462403,0.8936826
ERR695626,0.61421156,0.068583906,0.008304179,0.30890036
SRR7507319,0.07678431,0.0137916505,0.01046887,0.89895517
SRR6264781,0.07680327,0.013792813,0.010470837,0.89893305
SRR5649098,0.07678422,0.013791621,0.01046887,0.8989553
ERR209775,0.61398834,0.06765628,0.008015573,0.3103398
SRR5602041,0.07678419,0.013791621,0.010468841,0.89895535
SRR5202969,0.07685572,0.013796091,0.010475755,0.89887244
SRR5078771,0.08010897,0.013948053,0.01039806,0.8955449
SRR961724,0.11778307,0.016102612,0.009846002,0.8562683
ERR1809149,0.076847255,0.013796121,0.010497838,0.8988588
ERR209203,0.07742721,0.013840467,0.010524929,0.8982074
SRR5866388,0.08129358,0.015066057,0.04861167,0.8550287
SRR5802190,0.07678461,0.01379168,0.010470539,0.8989532
ERR209599,0.61491483,0.067789376,0.008005381,0.3092904
ERR011143,0.07684052,0.013795912,0.010495633,0.89886796
