,root:Engineered:Food_production:Dairy_products,root:Environmental:Aquatic:Thermal_springs,root:Environmental:Terrestrial:Deep_subsurface,root:Environmental:Terrestrial:Soil,root:Host-associated:Birds:Digestive_system,root:Host-associated:Human:Digestive_system,root:Host-associated:Human:Reproductive_system,root:Host-associated:Human:Respiratory_system,root:Host-associated:Human:Skin,root:Host-associated:Mammals:Digestive_system,root:Host-associated:Mammals:Gastrointestinal_tract,root:Host-associated:Plants:Root,Unknown
ERR309300,1.3270138e-05,0.0006845704,0.0008847163,3.1138035e-07,9.303666e-05,0.00017254778,0.00038280507,8.99829e-05,9.691707e-05,0.99676317,0.00079145364,2.7240138e-05,0.0
ERR309786,2.6974247e-05,0.00061424286,0.0009620532,4.0979134e-07,0.00011054094,0.00021639284,0.0004416757,0.0001050227,0.0001832114,0.99646544,0.00084044744,3.351951e-05,0.0
ERR309713,1.6486658e-05,0.00066549116,0.0009088453,3.2937908e-07,9.1220536e-05,0.00018767595,0.00040021673,8.7631866e-05,0.00011317145,0.99676806,0.0007341669,2.6670523e-05,0.0
ERR309313,1.1437619e-05,0.00065949466,0.00081203127,2.7509026e-07,8.790959e-05,0.00018106283,0.00039984338,9.319053e-05,8.3772706e-05,0.9968565,0.00078731246,2.715656e-05,0.0
ERR309817,1.1970582e-05,0.0006792017,0.00086122047,2.8664297e-07,8.767896e-05,0.0001797878,0.0003907797,8.593072e-05,8.460559e-05,0.99686545,0.00072813465,2.498419e-05,0.0
ERR309503,2.0527275e-05,0.00055955426,0.00087261904,4.0692987e-07,0.00010693349,0.00024812558,0.00047197702,0.00010722095,0.000120123,0.99675506,0.00070442556,3.3049804e-05,0.0
ERR309700,1.2212766e-05,0.0006907244,0.0008715767,3.018756e-07,9.1124384e-05,0.00016916428,0.00037696154,8.850172e-05,8.9563146e-05,0.9968005,0.0007827417,2.656422e-05,0.0
ERR308908,0.000111053654,0.00045527628,0.0010408013,5.7828834e-07,0.00013027851,0.00025339363,0.00047819316,0.00011202077,0.0007364912,0.99587613,0.00076770096,3.804883e-05,0.0
ERR308402,1.2080828e-05,0.00069250644,0.0008708302,3.0125105e-07,9.1003785e-05,0.00016859862,0.00037603828,8.842229e-05,8.870319e-05,0.99680126,0.00078380964,2.6543361e-05,0.0
ERR308778,1.2422915e-05,0.0007106647,0.0008988448,3.0873414e-07,8.596829e-05,0.00018053631,0.0003905176,8.380411e-05,8.4270636e-05,0.9968061,0.000721253,2.531429e-05,0.0
ERR309101,1.2056871e-05,0.00069312804,0.00087118335,3.0130607e-07,9.1046284e-05,0.00016835998,0.0003759177,8.846205e-05,8.85805e-05,0.9967995,0.0007849067,2.6566318e-05,0.0
ERR308507,2.324731e-05,0.00061801955,0.0009235797,3.703286e-07,0.00010152681,0.00018776707,0.00040101982,9.505716e-05,0.00016641505,0.9966633,0.0007898172,2.9851817e-05,0.0
ERR309207,1.1777036e-05,0.0006728685,0.00084984524,2.8653028e-07,9.1066e-05,0.0001714146,0.00038030662,8.8947556e-05,8.709582e-05,0.99684906,0.0007712913,2.6003087e-05,0.0
ERR308326,1.3190872e-05,0.0006825669,0.00087855465,3.098698e-07,9.235859e-05,0.000171125,0.0003796334,8.9330584e-05,9.641812e-05,0.99678475,0.00078478386,2.69768e-05,0.0
ERR308836,1.2388593e-05,0.0006456618,0.0008369183,3.0998e-07,9.303087e-05,0.00018712206,0.0004078553,9.485706e-05,8.6037355e-05,0.9968488,0.00075809564,2.8908089e-05,0.0
ERR308341,1.2366455e-05,0.0006898562,0.0008728185,3.037038e-07,9.142044e-05,0.00016898442,0.00037660153,8.869617e-05,9.078638e-05,0.9967965,0.0007849657,2.668183e-05,0.0
ERR309849,1.8601835e-05,0.00048176877,0.00033793016,1.348665e-07,2.1742604e-05,0.0009996531,0.00068001833,0.00033816774,3.0967432e-05,0.99356663,0.0034847674,3.967672e-05,0.0
ERR308833,1.220789e-05,0.0006919347,0.0008736471,3.0237473e-07,9.136301e-05,0.00016910258,0.000377254,8.871233e-05,8.961495e-05,0.9967931,0.0007861218,2.6661583e-05,0.0
ERR308383,1.2210998e-05,0.0006919056,0.0008730829,3.0253653e-07,9.131589e-05,0.00016886482,0.000376838,8.8659806e-05,8.965966e-05,0.99679464,0.0007858549,2.665233e-05,0.0
ERR309710,1.20388e-05,0.0006930991,0.0008706788,3.011565e-07,9.1008624e-05,0.00016827096,0.00037571,8.843247e-05,8.8467474e-05,0.9968008,0.0007846994,2.6553762e-05,0.0
ERR308964,1.4098652e-05,0.0006687492,0.0008736031,3.1986505e-07,9.3643015e-05,0.00018531426,0.00040028,9.3323855e-05,0.000100131234,0.9967554,0.00078699825,2.8220831e-05,0.0
ERR309080,1.3706151e-05,0.00068935205,0.0008980148,2.809837e-07,7.350209e-05,0.00023366303,0.00048119522,7.556486e-05,7.652687e-05,0.99687785,0.00055935077,2.1008353e-05,0.0
ERR309268,1.2055471e-05,0.00069292064,0.0008707978,3.012754e-07,9.103068e-05,0.00016821148,0.00037568025,8.8447145e-05,8.85866e-05,0.9968006,0.00078478863,2.6560043e-05,0.0
ERR308629,1.1935156e-05,3.9252096e-05,2.0113983e-05,3.9568935e-05,3.3647404e-05,0.99735284,0.00093767827,0.00032245627,6.961038e-06,0.0006467886,0.0005833576,5.4365973e-06,0.0
ERR309336,1.1955665e-05,0.0006882988,0.0008652882,2.9754995e-07,9.1113696e-05,0.00016860242,0.00037628468,8.8630106e-05,8.811188e-05,0.99681187,0.000783054,2.6450487e-05,0.0
ERR308434,1.5419571e-05,0.0006787797,0.00090746913,3.1934132e-07,8.152201e-05,0.00021592666,0.00044184938,8.241551e-05,9.44811e-05,0.9968201,0.00063689146,2.479471e-05,0.0
ERR309808,1.2520933e-05,0.0006635653,0.00085576426,3.028074e-07,9.399148e-05,0.00017592957,0.00038701532,9.149312e-05,9.0758615e-05,0.9968273,0.00077417935,2.714405e-05,0.0
ERR1598845,8.0425285e-05,0.00021592382,0.000101300866,0.00047356257,4.227797e-05,0.99718827,0.00060334895,0.00083093625,5.1409388e-05,0.0002211605,0.00018447397,6.8734244e-06,0.0
ERR1598919,1.7926342e-05,0.00013509393,0.00016057491,8.631413e-05,0.0002182126,0.95793355,0.0069973767,1.9172312e-05,8.2996405e-05,0.017222703,3.2104028e-05,3.195204e-05,0.017062068
ERR1598949,6.237669e-05,0.00018271717,8.525931e-05,0.00033689127,3.9944494e-05,0.9974014,0.00059083215,0.0007461968,3.8790407e-05,0.00027420968,0.00023393988,7.329998e-06,0.0
ERR1598420,5.473434e-05,0.00020775638,9.580705e-05,0.00042646768,3.8340677e-05,0.99749213,0.0005517645,0.00078402064,3.9024428e-05,0.00017111101,0.00013342372,5.339368e-06,0.0
ERR1599031,0.00010374658,8.336757e-05,4.91085e-05,0.00020256259,5.784972e-05,0.99704677,0.0011797745,0.0005705091,8.46851e-05,0.0002705498,0.00034204946,9.061999e-06,0.0
ERR1599609,6.439451e-05,0.00020253306,8.679089e-05,0.00023204867,5.3722048e-05,0.99656624,0.0006629707,0.00069998426,4.775168e-05,0.00053866,0.0008346195,1.0408367e-05,0.0
ERR1599113,3.6754456e-05,3.845242e-05,2.3081167e-05,6.1983206e-05,4.0094656e-05,0.9971873,0.001039496,0.0003912175,2.1480495e-05,0.0005521337,0.000601754,6.219207e-06,0.0
ERR1599073,1.2991397e-05,0.00014158995,5.016362e-05,0.00012058866,3.0009307e-05,0.9979241,0.0006197354,0.0004932849,8.741622e-06,0.0003255287,0.00026911328,4.1515354e-06,0.0
ERR1598579,1.63511e-05,0.00027155876,0.0001110045,0.0004336834,3.573207e-05,0.99739766,0.0003913641,0.0005030632,1.5278752e-05,0.00018873811,0.00032103062,7.81618e-06,0.0003067255
ERR1599589,6.806491e-05,0.00025398802,0.00013222151,0.00023024833,4.3037406e-05,0.9951004,0.00039791557,0.00043982494,7.8795245e-05,0.00081572845,0.002427824,1.1932106e-05,0.0
ERR1599232,2.8868859e-05,6.467406e-05,3.527607e-05,0.0001024273,4.353812e-05,0.9973498,0.0009603939,0.00046745047,2.0815582e-05,0.0004146181,0.00050601753,6.103485e-06,0.0
ERR1599124,0.000115904746,4.5911765e-05,3.6446432e-05,0.00013809794,4.6393765e-05,0.99734235,0.0009491852,0.0005076587,6.7771514e-05,0.0003606618,0.00038238842,7.239454e-06,0.0
ERR1598126,7.8872035e-06,2.4281533e-05,1.2662678e-05,2.2506318e-05,2.7866992e-05,0.9971252,0.0009688735,0.00023913383,5.7324396e-06,0.0004413128,0.0004298687,2.9740272e-06,0.0006917119
ERR1599566,1.5184952e-05,0.00025117374,8.471651e-05,0.00026640092,2.9103838e-05,0.9979384,0.00047254874,0.00064731843,1.1636068e-05,0.00016585989,0.000113953734,3.6298582e-06,0.0
ERR1598776,5.000716e-05,0.00016260322,7.5481774e-05,0.00030689794,3.964469e-05,0.997529,0.0006259122,0.0006944128,3.3268458e-05,0.0002544136,0.00022202394,6.3794337e-06,0.0
ERR1598902,6.0711598e-05,0.00015999214,8.121879e-05,0.00034990464,3.934862e-05,0.9975866,0.00059959834,0.00072657387,4.1998228e-05,0.00019178812,0.00015674703,5.557685e-06,0.0
ERR1598628,6.184423e-05,0.00021855114,0.000100679914,0.00045629955,3.9361752e-05,0.997378,0.00055672054,0.0008103327,4.252494e-05,0.00018468063,0.00014518487,5.8250307e-06,0.0
ERR1598638,2.500553e-05,7.041624e-05,3.6148856e-05,0.000107579704,3.3327815e-05,0.99802184,0.0007305145,0.00044453144,1.8293336e-05,0.00025337934,0.00022283196,3.9589177e-06,3.2186508e-05
ERR1599257,2.5361403e-05,9.0940375e-05,3.8784023e-05,5.37302e-05,3.0270949e-05,0.9955666,0.00054857135,0.0003424883,2.9218565e-05,0.000875324,0.0010690093,4.4586377e-06,0.0013251901
ERR1598286,2.7224773e-05,0.00011115426,5.1340896e-05,0.00016841355,3.45561e-05,0.9979373,0.0006535149,0.0005449532,1.9196368e-05,0.00024515745,0.00020252526,4.6176106e-06,0.0
ERR1598520,1.6335329e-05,4.1248273e-05,2.1755413e-05,4.7204187e-05,3.4025692e-05,0.9974284,0.0009223408,0.00034633937,9.5625865e-06,0.0005762396,0.00055119477,5.3501876e-06,0.0
ERR1598078,1.6119997e-05,0.000107425716,0.00044882298,0.00065651536,3.5192123e-05,0.9940642,0.0003013909,0.0002722144,2.411464e-05,0.00036892295,0.0020819008,7.744365e-06,0.0016154051
ERR1599603,3.1241914e-05,0.00022257229,8.8390065e-05,0.00034157338,3.299769e-05,0.9977831,0.00050772814,0.0006909511,2.4739078e-05,0.0001557589,0.00011684715,4.148699e-06,0.0
ERR1599273,3.2337583e-05,9.734059e-05,0.00020973088,0.00083901285,7.8997466e-05,0.9965922,0.0007951898,0.0005063928,4.45758e-05,0.00017615606,0.0006165611,1.1435791e-05,0.0
ERR1598066,1.726607e-05,7.593992e-05,3.868934e-05,6.2352556e-05,3.292458e-05,0.9955528,0.0005391538,0.00031903386,2.1353124e-05,0.0006868839,0.0011695921,5.1598527e-06,0.0014788508
ERR1598263,0.00011649511,0.00026195263,0.00012223296,0.0005782644,4.5291115e-05,0.9967801,0.0005705328,0.0009059059,6.745526e-05,0.0002854448,0.00025633237,1.0036938e-05,0.0
ERR1599229,3.5374866e-05,5.0896295e-05,3.1126972e-05,5.069666e-05,7.189325e-05,0.996823,0.0016886799,0.00033288138,2.5095782e-05,0.00047908473,0.00040376425,7.5061084e-06,0.0
ERR1598945,9.951607e-06,0.00029411912,8.443577e-05,0.00014266372,2.0603638e-05,0.99717045,0.00040894747,0.00047168136,7.2822168e-06,0.00025489926,0.00017663836,2.912088e-06,0.00095546246
ERR1599272,5.8191854e-05,0.0001329294,0.00010281719,0.000532462,5.4036365e-05,0.99736035,0.00064743526,0.00056194235,5.8264992e-05,0.00018819753,0.00029530932,8.045351e-06,0.0
ERR1598735,6.108531e-05,3.943689e-05,2.7887045e-05,8.254184e-05,4.231699e-05,0.9972049,0.0009945136,0.00042538255,3.399783e-05,0.0005220482,0.00055868475,7.137636e-06,0.0
ERR1598813,0.00020970417,0.00034805067,0.00016598609,0.00077919837,4.4337194e-05,0.9962706,0.000523458,0.0009636703,0.00011550776,0.00029657566,0.00027155146,1.1352729e-05,0.0
ERR1598926,1.1033004e-05,0.00025963783,7.970512e-05,0.00021454692,2.7136308e-05,0.9979316,0.0004695058,0.000600487,8.0953e-06,0.0001975596,0.00013387203,3.5454018e-06,6.324053e-05
ERR1599223,2.6530728e-05,5.7402478e-05,3.0102818e-05,7.986032e-05,3.903716e-05,0.9973371,0.0009024653,0.00044231725,1.5239952e-05,0.0005371569,0.000526262,6.5191557e-06,0.0
ERR1598848,1.591473e-05,3.5045698e-05,1.913777e-05,1.5674152e-05,2.2442255e-05,0.99632496,0.0008659959,0.00022611022,7.215788e-06,0.0010091662,0.0011008382,3.865661e-06,0.00035363436
ERR1598115,4.187243e-05,9.1208334e-05,4.6436777e-05,0.00013502516,4.1458192e-05,0.99716043,0.0008133644,0.0005543232,2.183531e-05,0.00055923266,0.0005264434,8.36715e-06,0.0
ERR1598154,2.5038133e-05,0.00023928858,8.903232e-05,0.00026925176,3.1535586e-05,0.9977423,0.0005076468,0.0006651472,1.6599539e-05,0.000235774,0.00017361378,4.8715688e-06,0.0
ERR1599115,6.85041e-05,0.00011571047,5.7583777e-05,0.00023742043,4.4918885e-05,0.997443,0.0009902939,0.0005342109,4.9746286e-05,0.0002193772,0.00023203129,7.1112477e-06,0.0
