,root:CRC (stage 0),root:CRC (stage I),root:CRC (stage II),root:CRC (stage III),root:CRC (stage IV),Unknown
ERR479534,0.065796316,0.11348644,0.64177334,0.075550884,0.103392966,0.0
ERR475532,0.043206815,0.18143691,0.1680598,0.14944601,0.45785046,0.0
ERR479039,0.080097094,0.15818864,0.15438421,0.077334136,0.5299959,0.0
ERR475501,0.053612463,0.28310326,0.120958194,0.2796005,0.2627255,0.0
ERR479333,0.07529985,0.43380317,0.073815204,0.18912227,0.22795948,0.0
ERR480641,0.08591005,0.17341715,0.19696596,0.28556943,0.15418497,0.10395241
ERR479175,0.08489841,0.14131328,0.22295871,0.2814883,0.14183363,0.12750769
ERR481047,0.22683236,0.21868391,0.20886296,0.10799947,0.2376213,0.0
ERR478985,0.10898435,0.1733592,0.09236736,0.10590367,0.5193854,0.0
ERR479114,0.0857071,0.1303632,0.22385684,0.29687786,0.13881761,0.12437743
ERR479360,0.07170552,0.43945852,0.069382265,0.20686646,0.21258724,0.0
ERR479353,0.10113999,0.17489685,0.115992084,0.110162884,0.49780822,0.0
ERR479145,0.08254501,0.15683755,0.20335037,0.29094088,0.15339577,0.11293042
ERR479148,0.060980797,0.34517443,0.099392585,0.15370725,0.34074497,0.0
ERR480982,0.07792613,0.44613895,0.06997302,0.20199545,0.20396651,0.0
ERR480844,0.07071561,0.07640082,0.5793623,0.031225918,0.24229532,0.0
ERR480927,0.043395493,0.12870105,0.5348764,0.04589775,0.24712935,0.0
ERR479448,0.07219831,0.45334393,0.06428487,0.20001434,0.21015859,0.0
ERR480716,0.06677762,0.18015084,0.14533105,0.11579495,0.49194553,0.0
ERR479488,0.0926079,0.16569726,0.122444026,0.09037286,0.528878,0.0
ERR481057,0.091758676,0.20382509,0.10336849,0.11121241,0.4898353,0.0
ERR479174,0.06361234,0.15292579,0.26747957,0.046309847,0.4696724,0.0
ERR480527,0.0821663,0.15944111,0.14669359,0.080075026,0.531624,0.0
ERR479558,0.07875512,0.16009168,0.23237173,0.048934523,0.47984704,0.0
ERR479032,0.10955431,0.17360291,0.09151076,0.10648515,0.51884687,0.0
ERR479516,0.07398553,0.4454063,0.06810214,0.19589204,0.216614,0.0
ERR479431,0.07212333,0.45340222,0.06425936,0.20008695,0.21012819,0.0
ERR479470,0.08247137,0.14430743,0.21030268,0.2935841,0.14973062,0.11960381
ERR481063,0.05729936,0.17215896,0.28509367,0.4090753,0.076372616,0.0
ERR479024,0.10730536,0.5066519,0.13866846,0.09937666,0.14799765,0.0
ERR479222,0.078344844,0.18181448,0.18845314,0.07428993,0.47709754,0.0
ERR478969,0.0918909,0.432133,0.079596795,0.21850795,0.17787142,0.0
ERR475493,0.053349666,0.28324685,0.12002445,0.280026,0.26335308,0.0
ERR480943,0.057261687,0.08214866,0.6610986,0.04691884,0.15257221,0.0
ERR479256,0.108802564,0.17743018,0.09423222,0.10446896,0.51506615,0.0
ERR479200,0.107623726,0.17615834,0.24362771,0.34829363,0.1242965,0.0
ERR475521,0.053349666,0.28324685,0.12002445,0.280026,0.26335308,0.0
ERR480947,0.07224934,0.44940093,0.06580873,0.19918588,0.21335511,0.0
ERR481042,0.075321294,0.44865724,0.06468041,0.19946748,0.21187358,0.0
ERR475557,0.07213486,0.45347878,0.06423649,0.20004863,0.21010125,0.0
ERR479318,0.04198901,0.14687805,0.53110164,0.058972977,0.22105837,0.0
ERR479030,0.10954906,0.17361987,0.0915326,0.106478944,0.5188196,0.0
ERR479246,0.08965007,0.45706174,0.105180375,0.14331205,0.20479569,0.0
ERR481021,0.09105884,0.1752636,0.12828252,0.0946945,0.5107005,0.0
ERR480970,0.06547645,0.11714557,0.63114536,0.08481312,0.09607026,0.0053492785
ERR480912,0.07270283,0.15312119,0.21368507,0.055059433,0.50543153,0.0
ERR480933,0.07136711,0.15186094,0.17793468,0.06896184,0.52987546,0.0
ERR480611,0.028640116,0.1493324,0.45168835,0.03777178,0.3325673,0.0
ERR475520,0.054068066,0.2807628,0.122047216,0.28154102,0.2615809,0.0
ERR480805,0.072574146,0.4518058,0.06464728,0.1984304,0.21254244,0.0
ERR480580,0.07732388,0.15752304,0.15634732,0.07791574,0.53089005,0.0
ERR479389,0.077546015,0.44836205,0.06794879,0.20414823,0.20199487,0.0
ERR479031,0.10957328,0.17359883,0.09152647,0.10654612,0.5187554,0.0
ERR479559,0.08335833,0.16900475,0.1865968,0.066060625,0.49497947,0.0
ERR479540,0.099949665,0.16937062,0.10798988,0.097307935,0.52538186,0.0
ERR480507,0.07978761,0.14938459,0.20463562,0.29383627,0.15493616,0.11741972
ERR480956,0.0919189,0.172403,0.12755625,0.092510834,0.5156111,0.0
ERR481024,0.030125942,0.14711213,0.47730953,0.031324297,0.31412813,0.0
ERR481039,0.09358903,0.4327288,0.07774434,0.21427536,0.1816625,0.0
ERR475577,0.07213486,0.45347878,0.06423649,0.20004863,0.21010125,0.0
ERR479546,0.07884374,0.4416285,0.06772942,0.20278203,0.20901634,0.0
ERR480951,0.07141908,0.41164994,0.08130909,0.2186044,0.2170175,0.0
ERR480569,0.060788434,0.14284605,0.20903894,0.059807915,0.52751863,0.0
ERR480671,0.086238235,0.13164127,0.22438231,0.2941478,0.13823307,0.12535733
