,root:Host-associated:Human:Digestive_system:Large_intestine:Fecal,root:Host-associated:Human:Digestive_system:Oral:Periodontal_pockets,root:Host-associated:Human:Digestive_system:Oral:Saliva,root:Host-associated:Human:Digestive_system:Oral:Subgingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Supragingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Throat,root:Host-associated:Human:Digestive_system:Oral:buccal_mucosa,root:Host-associated:Human:Digestive_system:Oral:tongue_dorsum,root:Host-associated:Human:Reproductive_system:Vagina:posterior_fornix,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Nasal_cavity,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Pharynx,root:Host-associated:Human:Respiratory_system:Pulmonary_system:Sputum,Unknown
SRR6866469,0.99779624,1.8548748e-05,0.00041642785,0.00019404292,2.6489552e-05,2.767147e-05,3.2327356e-05,2.9578834e-05,2.4422387e-05,3.2749154e-05,2.8078914e-05,3.731894e-05,0.0013361573
ERR2198027,0.99779636,1.8548555e-05,0.00041642785,0.00019395351,2.6485359e-05,2.7669334e-05,3.232976e-05,2.9573755e-05,2.4419545e-05,3.2747874e-05,2.8074897e-05,3.7316662e-05,0.0013360977
ERR1314668,0.99779636,1.8548555e-05,0.00041642785,0.00019395351,2.6485359e-05,2.7669334e-05,3.232976e-05,2.9573755e-05,2.4419545e-05,3.2747874e-05,2.8074897e-05,3.7316662e-05,0.0013360977
ERR719442,0.99779636,1.8548555e-05,0.00041642785,0.00019395351,2.6485359e-05,2.7669334e-05,3.232976e-05,2.9573755e-05,2.4419545e-05,3.2747874e-05,2.8074897e-05,3.7316662e-05,0.0013360977
ERR1385224,0.99779636,1.8548555e-05,0.00041642785,0.00019395351,2.6485359e-05,2.7669334e-05,3.232976e-05,2.9573755e-05,2.4419545e-05,3.2747874e-05,2.8074897e-05,3.7316662e-05,0.0013360977
SRR7448602,0.00019046664,1.7507406e-05,0.0015228093,0.0005464256,0.00036665797,0.00027570128,5.5810655e-05,1.2111445e-05,4.611769e-05,0.0009519756,0.000266999,9.940486e-05,0.995648
SRR1618345,0.99779636,1.8548555e-05,0.00041642785,0.00019395351,2.6485359e-05,2.7669334e-05,3.232976e-05,2.9573755e-05,2.4419545e-05,3.2747874e-05,2.8074897e-05,3.7316662e-05,0.0013360977
SRR6394203,0.00038260221,3.347239e-05,0.00076562166,0.0003131628,0.0011362433,0.00015288591,0.00012321987,0.00045737624,0.00037497282,0.00065910816,0.00046557188,0.00015583634,0.9949799
SRR2144020,0.99779636,1.8548571e-05,0.00041645765,0.00019395351,2.648561e-05,2.7669334e-05,3.233001e-05,2.957353e-05,2.4419707e-05,3.274806e-05,2.8074897e-05,3.731673e-05,0.0013360977
ERR1987733,0.00021703762,0.00050095865,0.9917643,0.004201059,7.7391356e-05,0.00082648546,0.00029153688,6.70004e-05,7.259811e-05,0.0013613452,0.00025052376,0.0003697404,0.0
ERR1109583,0.0007645488,2.8517203e-05,0.0010792613,0.0006567538,0.000112972026,4.9232585e-05,0.00036346912,3.7936174e-05,6.764815e-05,0.00036886334,5.696969e-05,6.506863e-05,0.99634874
SRR6264285,0.99779636,1.8548555e-05,0.00041642785,0.00019395351,2.6485359e-05,2.7669334e-05,3.232976e-05,2.9573755e-05,2.4419545e-05,3.2747874e-05,2.8074897e-05,3.7316662e-05,0.0013360977
ERR441386,0.003074214,0.00028292523,0.002145313,0.0008014627,0.00025294148,0.00015748174,0.00041107828,0.9913192,0.00012338899,0.00012714068,0.00020056666,0.0011043374,0.0
ERR1384587,0.99779636,1.8548555e-05,0.00041642785,0.00019395351,2.6485359e-05,2.7669334e-05,3.232976e-05,2.9573755e-05,2.4419545e-05,3.2747874e-05,2.8074897e-05,3.7316662e-05,0.0013360977
SRR5688083,0.9977964,1.8548571e-05,0.00041642785,0.00019401312,2.648551e-05,2.7669412e-05,3.23297e-05,2.9573868e-05,2.4419638e-05,3.2747903e-05,2.8075005e-05,3.731673e-05,0.0013359785
