,root:CRC (stage 0),root:CRC (stage I),root:CRC (stage II),root:CRC (stage III),root:CRC (stage IV),Unknown
ERR479353,0.018662397,0.09574757,0.09188038,0.043953914,0.7497557,0.0
ERR479563,0.20152795,0.17922339,0.3201572,0.10714102,0.103057,0.08889341
ERR480750,0.038962238,0.06844017,0.23877789,0.012625254,0.64119446,0.0
ERR480831,0.024539357,0.07719381,0.08989743,0.032194756,0.7761747,0.0
ERR481036,0.012829065,0.32297343,0.047358453,0.18211573,0.17141303,0.2633103
ERR479560,0.025532108,0.08334842,0.08612782,0.03414703,0.7708447,0.0
ERR480731,0.030262988,0.09144923,0.06605017,0.038184375,0.7740532,0.0
ERR481062,0.04144801,0.17395778,0.17789234,0.55400735,0.052694518,0.0
ERR479144,0.039115593,0.18101741,0.16950235,0.5521113,0.058253367,0.0
ERR481051,0.025344806,0.07955063,0.08826976,0.032949712,0.77388513,0.0
ERR479518,0.021419793,0.71705365,0.022745566,0.13709107,0.101689875,0.0
ERR479519,0.021167932,0.71773756,0.022619689,0.13592887,0.10254598,0.0
ERR479562,0.18781647,0.12661937,0.36674795,0.11019543,0.11513144,0.09348935
ERR480740,0.1421058,0.07852749,0.03863976,0.26921004,0.47151688,0.0
ERR479258,0.024494553,0.07680592,0.091214165,0.032077264,0.775408,0.0
ERR479438,0.024073727,0.0758519,0.092930615,0.031538717,0.7756051,0.0
ERR479245,0.020964231,0.7198434,0.022510523,0.13416928,0.10251256,0.0
ERR480715,0.024385357,0.076437436,0.0928784,0.03148797,0.77481085,0.0
ERR481028,0.021111602,0.7179779,0.022570388,0.13648851,0.10185162,0.0
ERR480751,0.02407576,0.07575435,0.09342788,0.031421416,0.7753206,0.0
ERR479471,0.040129393,0.15936619,0.19327495,0.55240864,0.054820765,0.0
ERR479223,0.026951121,0.08379924,0.07630877,0.035514493,0.7774264,0.0
ERR481034,0.01270929,0.27936667,0.04935229,0.15754536,0.23088276,0.27014363
ERR479566,0.041030113,0.16745055,0.1813235,0.55686015,0.05333563,0.0
ERR479246,0.020980263,0.7199542,0.022488568,0.13441151,0.10216544,0.0
ERR478968,0.015262753,0.20605159,0.08380985,0.13921729,0.21195012,0.3437084
ERR479545,0.021878116,0.717341,0.022709513,0.13493928,0.10313216,0.0
ERR479278,0.024180017,0.07578095,0.09311794,0.031690538,0.7752306,0.0
ERR479194,0.048998892,0.3007037,0.023536354,0.13885418,0.40181777,0.086089134
ERR480718,0.024393857,0.07638574,0.0930805,0.031425208,0.7747147,0.0
ERR475533,0.023438543,0.064225554,0.74352807,0.041674674,0.09234944,0.03478372
ERR479357,0.033644576,0.101819396,0.04849851,0.045041323,0.7709962,0.0
ERR479114,0.044773508,0.1772028,0.18709694,0.5531596,0.037767142,0.0
ERR475532,0.01240167,0.08030957,0.4110266,0.13749409,0.113682896,0.24508524
ERR480974,0.030493462,0.04684811,0.7992842,0.0790095,0.04436478,0.0
ERR480690,0.02170008,0.7145975,0.0234395,0.1412217,0.09904123,0.0
ERR480944,0.021556027,0.7131808,0.022849577,0.1426418,0.09977189,0.0
ERR480955,0.03231037,0.07487998,0.7269126,0.09881649,0.06708057,0.0
ERR481039,0.021905335,0.71550465,0.023719978,0.13904291,0.09982709,0.0
ERR479469,0.04036368,0.16067061,0.19012699,0.55442166,0.054417055,0.0
ERR481037,0.024039205,0.07575878,0.09314263,0.031493813,0.7755656,0.0
ERR480671,0.040625248,0.15941925,0.18567416,0.5604744,0.053806946,0.0
ERR480958,0.043470602,0.13530001,0.029128712,0.06380663,0.728294,0.0
ERR480912,0.02494535,0.077148646,0.09348525,0.031316843,0.77310395,0.0
ERR479463,0.024474934,0.075960785,0.09582023,0.03145906,0.772285,0.0
ERR479115,0.0209635,0.720245,0.022476077,0.13414517,0.1021702,0.0
ERR481054,0.030873254,0.105003394,0.051654086,0.046808403,0.7656609,0.0
ERR480952,0.028753223,0.06313539,0.7465706,0.06487006,0.09667072,0.0
ERR479505,0.023960501,0.06758383,0.7441363,0.045519233,0.085184544,0.03361559
ERR481057,0.034425814,0.14132178,0.03241516,0.064912885,0.7269244,0.0
ERR480721,0.020654857,0.61742693,0.031499445,0.18882227,0.12200943,0.01958704
ERR475509,0.02765295,0.1985682,0.0898633,0.07805684,0.5259919,0.07986677
ERR479369,0.024870753,0.07705191,0.7343362,0.06003523,0.07104948,0.03265643
ERR475579,0.04743409,0.07347536,0.24917468,0.10452142,0.2944118,0.23098266
ERR480864,0.02005577,0.07914141,0.5347954,0.068697274,0.11125219,0.18605798
ERR480807,0.02251503,0.7164364,0.021511393,0.13150412,0.108033076,0.0
ERR479302,0.024342231,0.07586415,0.09620356,0.03138198,0.7722081,0.0
ERR480999,0.032276925,0.08544579,0.720374,0.1100427,0.051860575,0.0
ERR480977,0.025766453,0.084185466,0.08937335,0.034429587,0.7662451,0.0
ERR480610,0.025543928,0.25697398,0.09789401,0.41063815,0.10619342,0.1027565
ERR479513,0.025063314,0.078417525,0.0877247,0.0325987,0.77619576,0.0
ERR479367,0.02549252,0.07842508,0.7405599,0.061510324,0.06831393,0.025698304
ERR479546,0.021900877,0.7110478,0.022633383,0.14285484,0.10156309,0.0
ERR479389,0.021017777,0.71906817,0.022542315,0.13381383,0.103557944,0.0
