,root:CRC (stage 0),root:CRC (stage I),root:CRC (stage II),root:CRC (stage III),root:CRC (stage IV),Unknown
ERR480939,0.11025633,0.35724235,0.08481623,0.2794913,0.16819376,0.0
ERR480719,0.13554218,0.380074,0.1950775,0.12819628,0.16111006,0.0
ERR479565,0.13731168,0.4303727,0.16674899,0.14092407,0.124642625,0.0
ERR480750,0.11387533,0.15090644,0.20140107,0.04295701,0.49086016,0.0
ERR479246,0.14294682,0.4593545,0.15784976,0.12617373,0.11367518,0.0
ERR479441,0.0964898,0.1721716,0.34539983,0.1028123,0.28312653,0.0
ERR479429,0.07312605,0.06838968,0.6819906,0.046451144,0.13004258,0.0
ERR480983,0.1421435,0.45641163,0.1559109,0.12963884,0.11589507,0.0
ERR480464,0.15968813,0.4076183,0.16079801,0.11962275,0.15227282,0.0
ERR479142,0.10999456,0.35641593,0.08437191,0.28066945,0.16854818,0.0
ERR480608,0.21563177,0.22716567,0.18083414,0.31850782,0.05786054,0.0
ERR480662,0.20477325,0.16356863,0.21483473,0.051468905,0.3653545,0.0
ERR479310,0.14063475,0.45005107,0.15424828,0.13476792,0.12029796,0.0
ERR479335,0.14284404,0.4591165,0.1573882,0.12675148,0.113899805,0.0
ERR480751,0.16990271,0.08931289,0.2205304,0.066031575,0.4542224,0.0
ERR480978,0.048675947,0.12096663,0.5288974,0.040386613,0.2610734,0.0
ERR480720,0.12360288,0.30569148,0.25200167,0.14891605,0.16978796,0.0
ERR480915,0.06677532,0.07467037,0.6789269,0.15822956,0.021397846,0.0
ERR480937,0.11012743,0.3568209,0.084599145,0.2800817,0.16837078,0.0
ERR480715,0.16042003,0.09151973,0.23781712,0.058601547,0.4516416,0.0
ERR480864,0.10636951,0.08541107,0.5500975,0.23878573,0.019336157,0.0
ERR479350,0.13878784,0.43413714,0.16494338,0.12719515,0.13493639,0.0
ERR475585,0.08523794,0.10631656,0.65014726,0.09172715,0.06657106,0.0
ERR479030,0.11871267,0.16787644,0.15417065,0.054411456,0.5048288,0.0
ERR481022,0.06833792,0.12803471,0.3153712,0.056175318,0.43208086,0.0
ERR479548,0.10991836,0.35615504,0.084241256,0.28103048,0.16865483,0.0
ERR480955,0.06970592,0.06575417,0.6746033,0.041220732,0.14871582,0.0
ERR479179,0.115078546,0.3547579,0.08710803,0.28115654,0.16189902,0.0
ERR475513,0.18143839,0.11341365,0.2102039,0.060000505,0.43494356,0.0
ERR480507,0.19129986,0.13405183,0.21562885,0.05540691,0.40361255,0.0
ERR479357,0.20477319,0.16356856,0.21483476,0.051468868,0.3653546,0.0
ERR480561,0.064931005,0.14531803,0.46608278,0.054692537,0.26897568,0.0
ERR479257,0.16990371,0.089314796,0.22052883,0.06603123,0.4542215,0.0
ERR479356,0.104050055,0.15288167,0.19523276,0.044521518,0.503314,0.0
ERR479504,0.11793318,0.2924447,0.27527955,0.16953541,0.14480709,0.0
ERR479549,0.10989321,0.3560673,0.08419703,0.28115326,0.16868928,0.0
ERR480732,0.08158567,0.13683648,0.25086436,0.033380754,0.49733275,0.0
ERR475520,0.17300238,0.09518915,0.21558289,0.0648906,0.45133495,0.0
ERR475577,0.16992539,0.08936091,0.22051945,0.06601419,0.45418003,0.0
ERR481053,0.16516453,0.20520589,0.115062445,0.04912931,0.46543783,0.0
ERR479469,0.10994836,0.35584632,0.084154874,0.28144428,0.16860619,0.0
ERR479507,0.11521053,0.27514294,0.28850657,0.17315902,0.14798097,0.0
ERR481054,0.11253377,0.15518019,0.18668525,0.046115123,0.49948567,0.0
ERR479553,0.4355385,0.16554801,0.089327335,0.19598754,0.113598555,0.0
ERR475573,0.21068616,0.19938864,0.13535257,0.05045807,0.4041146,0.0
ERR480522,0.14474623,0.43921104,0.15944564,0.114301085,0.14229606,0.0
ERR475539,0.19151074,0.13449998,0.21561094,0.05533628,0.40304205,0.0
ERR479415,0.18351921,0.11789691,0.21274343,0.05872174,0.4271187,0.0
ERR479485,0.1408546,0.45179033,0.15317445,0.13485238,0.119328186,0.0
ERR480740,0.085112825,0.19148272,0.15743613,0.35773087,0.20823742,0.0
ERR480980,0.14200345,0.4560922,0.15556084,0.13031077,0.11603282,0.0
ERR479426,0.13873926,0.20267163,0.37126848,0.17273888,0.11458179,0.0
ERR479419,0.067072146,0.07526455,0.6795429,0.15612018,0.02200018,0.0
ERR480830,0.14194576,0.4550169,0.1567934,0.12967119,0.116572745,0.0
ERR479505,0.115396336,0.27633435,0.28755838,0.1730388,0.14767213,0.0
ERR479526,0.07836463,0.13830563,0.34053236,0.08276551,0.3600319,0.0
ERR480949,0.14269087,0.43542624,0.16355664,0.12060082,0.13772544,0.0
ERR479562,0.13427798,0.41043046,0.17996752,0.1466014,0.1287227,0.0
ERR480963,0.14563945,0.44593427,0.1543822,0.11859574,0.1354483,0.0
ERR480934,0.08313957,0.13660622,0.24794291,0.034032177,0.4982791,0.0
ERR480621,0.117687486,0.3798652,0.09821169,0.24595684,0.1582788,0.0
ERR479440,0.11011222,0.3559621,0.084296785,0.28124377,0.1683851,0.0
ERR481037,0.16990258,0.08931264,0.22053047,0.06603171,0.4542226,0.0
ERR481056,0.15175097,0.13069215,0.19216059,0.053175945,0.4722203,0.0
