,root:Diseases:Digestive System Diseases,root:Diseases:Hemic and Lymphatic Diseases,root:Infections:Bacterial Infections and Mycoses,Unknown
SRR5203307,0.049558878,0.009822547,0.008680522,0.93193805
ERR719082,0.041778088,0.009416729,0.008678049,0.94012713
SRR5548520,0.820163,0.07759616,0.009324789,0.09291601
SRR6182386,0.04171738,0.009412825,0.008660704,0.9402091
SRR5399515,0.04171738,0.009412825,0.008660704,0.9402091
SRR6264082,0.04574716,0.0096796155,0.008704811,0.9358684
SRR5602232,0.051148355,0.0123823285,0.021833092,0.91463625
SRR5813433,0.046678156,0.009675354,0.008699745,0.9349468
ERR209353,0.047904283,0.009849161,0.008677334,0.9335692
ERR719051,0.044325948,0.0095897615,0.0089199245,0.93716437
SRR5196148,0.04171738,0.009412825,0.008660704,0.9402091
SRR6264769,0.04171738,0.009412825,0.008660704,0.9402091
SRR6265025,0.025300533,0.08987239,0.62625384,0.25857323
SRR051677,0.12951723,0.45237708,0.41810566,0.0
ERR719987,0.041754097,0.009414554,0.008660942,0.9401704
SRR7507704,0.04171759,0.0094129145,0.008660704,0.9402088
SRR5866355,0.041735142,0.00941363,0.008660853,0.9401904
SRR5637791,0.04171741,0.0094129145,0.008660704,0.940209
SRR5629123,0.04206434,0.009428591,0.0086705685,0.9398365
ERR209567,0.22140113,0.016217351,0.008880079,0.7535014
ERR209786,0.041732877,0.009413481,0.0086607635,0.9401929
SRR5343138,0.04171738,0.009412825,0.008660704,0.9402091
SRR961823,0.22752208,0.018372029,0.008871287,0.7452346
ERR321597,0.041788697,0.009415984,0.0086609125,0.9401344
SRR6331045,0.04171738,0.009412825,0.008660704,0.9402091
SRR5651480,0.17234647,0.014886439,0.009245068,0.803522
SRR7507362,0.042132735,0.009438187,0.008782148,0.93964696
SRR064903,0.80660367,0.069516,0.009291828,0.1145885
SRR5079081,0.04171738,0.009412825,0.008660704,0.9402091
SRR7507559,0.04171735,0.0094129145,0.008660704,0.94020903
SRR6265136,0.04171738,0.009412825,0.008660704,0.9402091
SRR5203067,0.04171738,0.009412825,0.008660704,0.9402091
SRR5796809,0.7789377,0.12503627,0.013792545,0.08223355
ERR719697,0.04510483,0.009636998,0.008670449,0.9365877
SRR6724457,0.820163,0.07759619,0.009324729,0.09291607
ERR719174,0.042704344,0.009470224,0.008702964,0.93912244
SRR5610008,0.041718215,0.009412885,0.008660704,0.9402082
SRR6331437,0.820163,0.07759616,0.009324789,0.09291601
SRR3400444,0.820163,0.07759616,0.009324789,0.09291601
SRR5757779,0.026744723,0.09155309,0.63558584,0.24611634
SRR5947852,0.51558393,0.03043595,0.024004906,0.42997515
SRR5079018,0.042918593,0.009497017,0.008975953,0.9386084
SRR5431389,0.04171738,0.009412825,0.008660704,0.9402091
SRR6264114,0.041717947,0.009412944,0.0086607635,0.9402083
SRR6724570,0.09161252,0.013076574,0.008768201,0.8865427
ERR525912,0.041885585,0.009422243,0.008671671,0.9400205
SRR5399245,0.0417175,0.0094129145,0.008660704,0.9402089
ERR719346,0.04213369,0.009439409,0.008743048,0.93968385
