,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections,Unknown
SRR5429226,0.011258185,0.07123205,0.5331631,0.28113642,0.10321033
SRR5548347,0.8604727,0.014082402,0.014270157,0.061879456,0.049295247
SRR5078789,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR5637777,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR051715,0.863882,0.014253944,0.014332473,0.06241837,0.045113206
SRR961790,0.023188502,0.010374129,0.01122883,0.003717512,0.951491
SRR5549011,0.86430264,0.014134526,0.014204919,0.062092453,0.045265436
ERR525995,0.45330632,0.019049436,0.012439609,0.012997061,0.5022076
SRR5343194,0.0713141,0.01543045,0.006752312,0.008592814,0.89791036
SRR5761712,0.8625882,0.015776038,0.015677571,0.06564936,0.040308833
SRR6724520,0.027441412,0.58434033,0.30413052,0.06633097,0.01775676
SRR6331198,0.022327036,0.010156482,0.01131469,0.003793031,0.9524088
SRR7507646,0.02234307,0.010159671,0.011315346,0.0037923753,0.95238954
SRR6182532,0.022329003,0.010156721,0.011314869,0.0037929714,0.9524064
SRR5757906,0.12921214,0.02776327,0.16867287,0.6743517,0.0
SRR6265561,0.022326916,0.010156482,0.01131472,0.0037930906,0.9524088
SRR5202839,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR1766081,0.022338063,0.010158867,0.0113144815,0.0037922561,0.95239633
SRR5202912,0.8552519,0.015401155,0.015780091,0.06650379,0.047063112
SRR5758090,0.12896167,0.027802922,0.1690276,0.6742078,0.0
SRR1008768,0.8649727,0.014485925,0.014439583,0.062472343,0.043629408
SRR6264714,0.024376333,0.010629892,0.010487169,0.0041653216,0.9503413
SRR5580452,0.022327363,0.010156423,0.01131472,0.003793031,0.95240843
SRR5648997,0.022326827,0.010156393,0.011314809,0.0037930012,0.95240897
SRR6182360,0.07706949,0.18392855,0.07604998,0.007155955,0.65579605
SRR5548686,0.8645321,0.014245421,0.014277339,0.062207222,0.044737935
SRR1765993,0.0402337,0.013163835,0.0094867945,0.004119158,0.9329965
ERR209579,0.8603728,0.014086574,0.01427424,0.061860234,0.04940617
ERR209481,0.027167916,0.011378527,0.010920703,0.0034282804,0.9471046
SRR5983392,0.2692926,0.01541701,0.017613769,0.0063408613,0.6913358
SRR5758025,0.1289496,0.02780534,0.16904615,0.67419887,0.0
SRR5648773,0.022331804,0.010157287,0.011315167,0.003792882,0.95240283
SRR5983278,0.08146343,0.017145783,0.0110247135,0.002493173,0.88787293
SRR6724436,0.027441412,0.58434033,0.30413052,0.06633097,0.01775676
SRR6724560,0.027459443,0.584243,0.3040213,0.066268474,0.018007755
ERR719740,0.067738205,0.014773458,0.008749604,0.0056317747,0.9031069
ERR505100,0.83017343,0.01365307,0.014487505,0.058709532,0.08297646
SRR5548426,0.02257061,0.01021564,0.01124087,0.0038104057,0.9521625
SRR5202936,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
ERR720068,0.022336423,0.010158688,0.011314273,0.003792286,0.9523983
SRR5649116,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
ERR525972,0.30740455,0.01427114,0.0134727955,0.014411241,0.6504403
SRR5649083,0.023804456,0.010515928,0.011191368,0.003755927,0.95073235
SRR5078708,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR6182381,0.022485226,0.010188043,0.011328191,0.0037885904,0.95220995
ERR695632,0.022667855,0.010243952,0.011308968,0.0037713647,0.9520079
SRR7507337,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR5548693,0.8642306,0.014135689,0.014210761,0.0621143,0.04530871
SRR051686,0.7877277,0.0128162205,0.014660448,0.057231873,0.12756371
SRR5343090,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
ERR719243,0.024135977,0.01061067,0.011143863,0.0036405623,0.9504689
SRR5548032,0.86430454,0.0141352415,0.014205486,0.0620932,0.045261562
SRR6424580,0.20396933,0.01271522,0.060872406,0.5892681,0.13317496
SRR5429353,0.009347081,0.083241075,0.56352425,0.27831596,0.065571606
ERR719216,0.02409044,0.010641873,0.011126101,0.0037515461,0.95039004
SRR6265091,0.11608961,0.015408009,0.05532497,0.3545258,0.4586516
ERR209223,0.023400992,0.01045692,0.011276066,0.0037329495,0.9511331
ERR209474,0.022424936,0.01017794,0.011321425,0.00379017,0.9522855
SRR6876227,0.035353243,0.013677001,0.010674089,0.0030469894,0.9372487
SRR5648946,0.022395998,0.01017043,0.011321813,0.0037916899,0.9523201
SRR5548411,0.86430323,0.0141347945,0.014205068,0.06209266,0.045264244
SRR6185220,0.022326887,0.010156393,0.01131469,0.003793031,0.952409
ERR321078,0.02237147,0.0101671815,0.011314273,0.0037904978,0.9523566
SRR7507318,0.022337645,0.01015833,0.011315167,0.0037924945,0.9523964
ERR719217,0.023484439,0.010488063,0.011244595,0.0037286282,0.9510543
ERR720195,0.022326827,0.010156393,0.01131472,0.0037930906,0.95240897
SRR6265651,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR961835,0.18045637,0.016543746,0.0829964,0.6198075,0.100196004
SRR5637774,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR5813186,0.02345249,0.010453343,0.011220574,0.003700763,0.9511728
ERR719255,0.023083419,0.010351181,0.011256784,0.0037347078,0.9515739
SRR6928744,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR6265426,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
ERR209479,0.05157718,0.014804155,0.0106084645,0.0028547645,0.9201554
SRR6331145,0.13154191,0.008726299,0.014703065,0.027109176,0.81791955
SRR5813259,0.023139954,0.010373563,0.0112654865,0.0037374496,0.95148355
SRR6182467,0.023218125,0.010424405,0.011297882,0.0037325919,0.95132697
SRR5602234,0.18297324,0.013279885,0.041354626,0.2182942,0.544098
SRR5803696,0.02233401,0.010157317,0.011316091,0.0037930608,0.9523995
SRR5399530,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR5649073,0.022327065,0.010156423,0.01131472,0.0037930012,0.9524088
SRR6264189,0.16362768,0.020711005,0.11018449,0.65761185,0.047864974
SRR5203248,0.022326738,0.010156393,0.01131472,0.0037930906,0.952409
SRR6182431,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR5651464,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR5609991,0.022351563,0.010163873,0.011314124,0.0037912428,0.9523792
SRR6357161,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR5428889,0.009347081,0.083241075,0.56352425,0.27831596,0.065571606
SRR5079029,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR5078832,0.022326767,0.010156393,0.01131472,0.0037930906,0.952409
SRR5761664,0.64143026,0.0129645765,0.0144611895,0.03952372,0.29162025
SRR5548733,0.8642914,0.014137238,0.014208853,0.062101454,0.045261025
SRR1766010,0.022332013,0.010157317,0.011315197,0.0037929118,0.9524026
SRR5602264,0.02232939,0.01015681,0.01131475,0.003792882,0.95240617
ERR719855,0.022341043,0.0101594925,0.0113146305,0.003792137,0.9523927
SRR6264354,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR6424694,0.12893978,0.027807362,0.1690612,0.6741916,0.0
SRR5947824,0.67618537,0.015388221,0.01516062,0.027128845,0.26613688
ERR719866,0.022344112,0.010160118,0.011314571,0.0037920177,0.9523892
ERR526019,0.024872094,0.010745198,0.010270894,0.0042778254,0.949834
ERR321443,0.05483538,0.014478892,0.009052277,0.0048516393,0.9167818
SRR5578987,0.02233404,0.010157973,0.01131469,0.003792584,0.9524007
SRR6265150,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR5079119,0.022371948,0.0101723075,0.011315465,0.0037898421,0.95235044
ERR209172,0.02253291,0.010213852,0.0113015175,0.0037760139,0.95217574
SRR6901799,0.021926552,0.012504101,0.014219433,0.004198283,0.94715166
SRR2914210,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR5431392,0.022326976,0.010156393,0.011314809,0.003793031,0.9524088
SRR5649169,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR5577153,0.027441412,0.58434033,0.30413052,0.06633097,0.01775676
SRR5866418,0.022337198,0.010157406,0.01131621,0.0037928224,0.9523964
SRR6724406,0.027445883,0.584351,0.3041378,0.06633961,0.017725706
ERR719857,0.022360414,0.010163546,0.011315018,0.0037911534,0.95236987
SRR5548541,0.8646146,0.014279872,0.014298648,0.062237382,0.044569492
SRR5431255,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR5758165,0.022444129,0.010185659,0.011295855,0.0037903488,0.952284
ERR720074,0.022356302,0.010163754,0.011312902,0.003790766,0.95237625
SRR6264072,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR6424677,0.12893979,0.027807364,0.1690612,0.6741916,0.0
ERR209728,0.02888602,0.011620671,0.010454088,0.003738135,0.94530106
SRR6264781,0.022327065,0.010156423,0.01131469,0.0037930906,0.95240873
SRR5802234,0.24233437,0.011911094,0.013854921,0.020585626,0.71131396
SRR6724378,0.027441412,0.58434033,0.30413052,0.06633097,0.01775676
SRR5078766,0.022327036,0.010156423,0.01131472,0.0037930906,0.95240873
SRR2142209,0.71229523,0.012351781,0.015156031,0.053057402,0.20713949
SRR5796802,0.21133333,0.014280945,0.062444597,0.5450145,0.16692662
SRR6724552,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR6724557,0.027441919,0.5843388,0.30412835,0.066330045,0.017760873
SRR6182348,0.022366047,0.010166734,0.011311442,0.003789574,0.95236623
SRR6264897,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR5079211,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR5078668,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
ERR719737,0.04093471,0.013325661,0.009843349,0.0038236976,0.9320726
SRR5802289,0.022327483,0.010156512,0.01131475,0.0037930012,0.95240825
SRR5802392,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR5796813,0.8643025,0.014134467,0.014205039,0.062092483,0.045265496
SRR6330921,0.022326738,0.010156393,0.01131472,0.0037930906,0.952409
SRR5610129,0.022326887,0.010156333,0.01131472,0.003793031,0.952409
SRR5803668,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR7507515,0.02278316,0.010458052,0.011446893,0.003797084,0.95151484
SRR6265359,0.42613444,0.007564038,0.016931057,0.08433676,0.4650337
SRR6928812,0.02314049,0.010398895,0.011257231,0.003770262,0.9514331
SRR5813389,0.022326767,0.010156333,0.011314809,0.0037930906,0.952409
SRR5758010,0.13057466,0.027539512,0.16674353,0.6751423,0.0
ERR719716,0.047295064,0.015470386,0.010149419,0.0027213395,0.9243638
SRR6474209,0.023577124,0.010473967,0.0112012625,0.003686756,0.9510609
SRR5020893,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR1693267,0.86116683,0.014429301,0.014621615,0.063005775,0.046776414
SRR5629093,0.8633183,0.0146766305,0.014717191,0.063343465,0.04394442
ERR634984,0.16621444,0.01183477,0.04505387,0.36420184,0.41269505
ERR719183,0.023324639,0.010451496,0.011283308,0.003722936,0.95121765
SRR5610127,0.022352934,0.010160625,0.011316568,0.003792137,0.95237774
SRR5218343,0.8642614,0.014183313,0.014247775,0.06219223,0.04511535
ERR695633,0.022756547,0.010270059,0.011299849,0.0037626326,0.9519109
SRR5757869,0.20843372,0.012058705,0.056647032,0.5787966,0.14406395
ERR719287,0.02234754,0.010161698,0.011312693,0.0037911236,0.952387
SRR5649192,0.029314429,0.011692792,0.010676473,0.0034520924,0.9448642
SRR5610049,0.022326976,0.010156393,0.01131472,0.0037929714,0.9524089
SRR5648963,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR5078745,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
SRR5020909,0.022384286,0.010170221,0.011311978,0.0037887394,0.9523448
SRR5637743,0.022328943,0.0101569295,0.011314541,0.0037928522,0.95240676
ERR209710,0.79492927,0.014833033,0.014184296,0.043987513,0.13206589
DRR092047,0.022326738,0.010156333,0.01131472,0.0037930608,0.95240915
ERR525831,0.03195578,0.012217462,0.010291576,0.0037035048,0.9418317
SRR1009033,0.86430264,0.014134526,0.014204919,0.062092453,0.045265436
ERR526081,0.8433275,0.013278872,0.014809459,0.06648663,0.06209755
SRR6185171,0.022326738,0.010156393,0.01131472,0.0037930906,0.952409
ERR209455,0.022368789,0.010165334,0.011316508,0.0037913322,0.952358
SRR6264422,0.022337466,0.010159224,0.011314124,0.0037921965,0.952397
SRR1766087,0.022328645,0.01015681,0.011314571,0.0037928522,0.9524071
SRR5548597,0.86430264,0.014134526,0.014204919,0.062092453,0.045265436
ERR321153,0.022729516,0.010266244,0.011319339,0.0037720203,0.9519129
SRR5983430,0.59063447,0.011942744,0.014811665,0.041461617,0.34114957
SRR6724426,0.027441412,0.58434033,0.30413052,0.06633097,0.01775676
SRR6264741,0.022326797,0.010156393,0.011314809,0.0037930012,0.952409
SRR7690207,0.022448123,0.010188162,0.011310369,0.0037844777,0.95226884
SRR5648991,0.02232799,0.010156691,0.011314571,0.0037930012,0.9524077
SRR5903321,0.022326887,0.010156393,0.011314809,0.0037930012,0.9524089
