,root:baby_birth:cesarean_section,root:baby_birth:vaginal_delivery,root:baby_fourthmonth:cesarean_section,root:baby_fourthmonth:vaginal_delivery,Unknown
ERR525716,0.36941814,0.1430597,0.20328784,0.15775132,0.12648296
ERR525733,0.37525296,0.29384154,0.12027392,0.0764969,0.13413471
ERR525779,0.3593049,0.14634573,0.21580717,0.15758601,0.12095618
ERR525815,0.2987069,0.22364295,0.15033612,0.2614404,0.06587362
ERR525851,0.36941695,0.14306581,0.20327038,0.1577625,0.1264844
ERR525907,0.30068415,0.22176483,0.15010908,0.2596144,0.06782752
ERR526003,0.36882162,0.1433846,0.20357019,0.15800226,0.12622136
ERR526067,0.36884972,0.14378339,0.20214865,0.15881065,0.12640762
ERR526083,0.3694151,0.1430654,0.20327574,0.15776056,0.1264832
ERR525714,0.18838073,0.12980354,0.18148622,0.50032955,0.0
ERR525721,0.18866709,0.12964731,0.1812102,0.5004754,0.0
ERR525727,0.2987095,0.22364154,0.15033376,0.26144016,0.06587505
ERR525739,0.23937522,0.26289746,0.20599715,0.29173014,0.0
ERR525869,0.30696508,0.14285934,0.16275454,0.38742098,0.0
ERR525941,0.2983179,0.22432265,0.15097857,0.2619118,0.06446904
ERR526041,0.25694215,0.22836636,0.20003127,0.31466025,0.0
ERR526045,0.18870647,0.12962586,0.18117228,0.5004954,0.0
ERR525690,0.3339857,0.38352513,0.18002573,0.09336099,0.009102464
ERR526029,0.18870628,0.12962595,0.18117246,0.5004953,0.0
ERR525715,0.3748866,0.29926816,0.11933714,0.075347304,0.1311608
ERR525874,0.28646877,0.2503364,0.30707836,0.15611646,0.0
ERR525878,0.18709165,0.13050936,0.1827329,0.49966604,0.0
ERR525888,0.36383253,0.1447854,0.20983028,0.15764344,0.12390834
ERR525906,0.3208337,0.2231585,0.28192604,0.17408183,0.0
ERR525998,0.3216674,0.11625965,0.15288144,0.4091915,0.0
ERR526006,0.24183592,0.2576828,0.20432211,0.29615912,0.0
ERR526066,0.2987072,0.22364283,0.15033582,0.26144046,0.06587368
ERR525958,0.20873506,0.21221453,0.41257536,0.166475,0.0
ERR526030,0.3169849,0.28092337,0.20690471,0.09967342,0.09551358
