,root:Diseases:Digestive System Diseases,root:Diseases:Hemic and Lymphatic Diseases,root:Infections:Bacterial Infections and Mycoses,Unknown
ERR209762,0.07415137,0.000903666,0.016765565,0.9081794
SRR961737,0.018456757,0.0013566017,0.01820919,0.9619775
ERR209132,0.035953373,0.0012896359,0.011213839,0.95154315
SRR5495972,0.39613307,0.0048018396,0.067394674,0.53167045
SRR5648888,0.018639743,0.00092086196,0.01003927,0.9704001
SRR5866284,0.019351393,0.0010878146,0.011146873,0.96841395
SRR5399234,0.013446897,0.0011868775,0.012340754,0.97302544
SRR5399237,0.111501515,0.005660057,0.57302046,0.30981797
SRR5983412,0.63969815,0.0032567978,0.038135678,0.3189094
ERR209412,0.060298383,0.0021592379,0.013790667,0.9237517
SRR5079174,0.071430355,0.0009212196,0.0034075677,0.9242408
ERR525914,0.0098235905,0.0022969842,0.019201487,0.96867794
SRR1999154,0.010482699,0.001661092,0.014544219,0.973312
SRR5079166,0.020085424,0.0006044805,0.009320378,0.9699897
SRR6182360,0.06199217,0.0008674562,0.0118484795,0.9252919
SRR6251482,0.799875,0.007376641,0.027592808,0.16515553
SRR5078869,0.46189192,0.0036590993,0.1099948,0.4244542
SRR5803659,0.010717124,0.0016038418,0.014285356,0.9733937
SRR6265396,0.0074801445,0.0031628609,0.020076066,0.96928096
SRR5078585,0.03820333,0.00049966574,0.0063581765,0.9549388
SRR5548739,0.9373108,0.014220059,0.021337569,0.027131557
SRR6264793,0.006357819,0.0038853586,0.021900088,0.96785676
SRR6683695,0.04631129,0.02680543,0.60550326,0.32138002
SRR5648933,0.046441764,0.000585258,0.0062406957,0.9467323
SRR6182413,0.010669738,0.0016155839,0.014355391,0.9733593
SRR6724522,0.930021,0.012901336,0.026950866,0.03012681
SRR1693225,0.86224884,0.006422341,0.037531227,0.093797565
SRR6901784,0.016991526,0.001347661,0.011438519,0.9702223
ERR209405,0.027577728,0.0015608072,0.0104569495,0.9604045
ERR209349,0.37442937,0.0022875369,0.02884826,0.59443486
ERR209492,0.039595068,0.0018002391,0.008800864,0.9498038
SRR5802255,0.01643464,0.0013275146,0.011588484,0.97064936
ERR718998,0.011903822,0.0015677214,0.013878703,0.97264975
SRR7507688,0.05148828,0.001319021,0.0059396923,0.941253
SRR6724500,0.8993639,0.022510618,0.053002,0.025123477
SRR5602015,0.0056205094,0.0044214725,0.022652835,0.9673052
SRR1765912,0.024170429,0.00081676245,0.010210812,0.964802
SRR5648952,0.012907505,0.0034471452,0.028204083,0.95544124
ERR321575,0.011645913,0.0019893944,0.015276074,0.97108865
SRR6265066,0.0075822175,0.0027460456,0.01822099,0.97145075
SRR5802230,0.012333721,0.0013024509,0.01300472,0.9733591
ERR720086,0.013111621,0.0035352707,0.02172026,0.96163285
ERR209693,0.63826114,0.005459368,0.021803916,0.33447558
SRR3400426,0.84509856,0.0031410456,0.02058971,0.13117069
ERR720147,0.037401974,0.0009846091,0.015038669,0.94657475
SRR5079011,0.00889492,0.0024222434,0.01781872,0.9708641
ERR719643,0.021282732,0.0006465912,0.0092716515,0.968799
SRR6264544,0.01942268,0.0013903975,0.011680663,0.9675063
SRR5648965,0.005866438,0.004276663,0.022695333,0.96716154
SRR5202948,0.005772829,0.0042220056,0.022084922,0.96792024
