,root:Engineered,root:Environmental,root:Host-associated,Unknown
ERR308851,1.7911201e-05,0.000133452,0.9998486,0.0
ERR308648,1.7908622e-05,0.00013351161,0.9998486,0.0
ERR309242,1.7908555e-05,0.00013351161,0.9998486,0.0
ERR309755,1.7919829e-05,0.00013360099,0.9998485,0.0
ERR308430,1.7908724e-05,0.00013351161,0.9998486,0.0
ERR308406,1.7908793e-05,0.000133452,0.9998486,0.0
ERR309001,1.7908606e-05,0.000133452,0.9998486,0.0
ERR308287,1.7908555e-05,0.00013351161,0.9998486,0.0
ERR309522,1.790968e-05,0.00013351161,0.9998486,0.0
ERR309302,1.791583e-05,0.00013351161,0.9998486,0.0
ERR309666,1.7908555e-05,0.00013351161,0.9998486,0.0
ERR308687,1.7908555e-05,0.00013351161,0.9998486,0.0
ERR309022,1.7909735e-05,0.00013342222,0.9998487,0.0
ERR309425,1.7908555e-05,0.00013351161,0.9998486,0.0
ERR309626,1.7908622e-05,0.00013351161,0.9998486,0.0
ERR308365,1.790968e-05,0.000133452,0.9998486,0.0
ERR308620,1.7908555e-05,0.00013351161,0.9998486,0.0
ERR309670,1.7908724e-05,0.00013351161,0.9998486,0.0
ERR308982,1.7908571e-05,0.00013351161,0.9998486,0.0
ERR308464,1.7908571e-05,0.00013351161,0.9998486,0.0
ERR308396,1.7908571e-05,0.00013351161,0.9998486,0.0
ERR309268,1.7908555e-05,0.00013351161,0.9998486,0.0
ERR308296,1.7908555e-05,0.00013351161,0.9998486,0.0
ERR309541,1.7909852e-05,0.00013351161,0.9998486,0.0
ERR309061,1.7908587e-05,0.0001334222,0.99984866,0.0
ERR309367,1.7912242e-05,0.00013354138,0.9998485,0.0
ERR308857,1.7908571e-05,0.00013351161,0.9998486,0.0
ERR309331,1.7912174e-05,0.00013351161,0.9998486,0.0
ERR309817,1.7908656e-05,0.000133452,0.9998486,0.0
ERR309135,1.7908587e-05,0.0001334222,0.99984866,0.0
ERR309029,1.7908555e-05,0.00013351161,0.9998486,0.0
ERR309795,1.7968021e-05,0.00013380963,0.99984825,0.0
ERR309198,1.7935972e-05,0.00013360102,0.9998485,0.0
ERR309253,1.7908555e-05,0.00013351161,0.9998486,0.0
ERR308643,1.7908571e-05,0.00013351161,0.9998486,0.0
ERR309742,1.7908555e-05,0.00013351161,0.9998486,0.0
ERR309323,1.7909066e-05,0.00013351161,0.9998486,0.0
ERR309298,1.7908555e-05,0.00013351161,0.9998486,0.0
ERR309349,1.7909275e-05,0.00013345202,0.99984866,0.0
ERR309373,1.7908555e-05,0.00013351161,0.9998486,0.0
ERR308496,1.7911492e-05,0.00013348181,0.9998486,0.0
ERR1598458,1.7908555e-05,0.00013351161,0.9998486,0.0
ERR1598797,1.7908555e-05,0.00013351161,0.9998486,0.0
ERR1599539,1.7908555e-05,0.00013351161,0.9998486,0.0
ERR1598681,1.7908555e-05,0.00013351161,0.9998486,0.0
