,root:Host-associated:Birds:Digestive_system:Ceca,root:Host-associated:Human:Digestive_system:Large_intestine,root:Host-associated:Human:Digestive_system:Oral,root:Host-associated:Human:Reproductive_system:Female,root:Host-associated:Human:Reproductive_system:Vagina,root:Host-associated:Human:Respiratory_system:Nasopharyngeal,root:Host-associated:Mammals:Digestive_system:Fecal,root:Host-associated:Mammals:Digestive_system:Stomach,Unknown
ERR308851,0.0019216835,0.002296716,4.393783e-05,0.00091931224,0.0004261434,0.00052052736,0.9930376,0.00039762259,0.0004364848
ERR308648,0.0023640357,0.0019535362,4.6526897e-05,0.00095855707,0.00040909988,0.0004978469,0.9933217,0.00044870845,0.0
ERR309242,0.002392082,0.0020682313,4.439164e-05,0.00088661455,0.00038422644,0.00049134303,0.993316,0.00041700446,0.0
ERR309755,0.0010499358,0.0009828806,5.8332982e-05,0.0014433563,0.0006338358,0.00047117472,0.9824085,0.00056511164,0.012386799
ERR308430,0.0020731091,0.0017972887,4.3350672e-05,0.00090938807,0.00053694844,0.0004813373,0.99090207,0.00049197674,0.0027645826
ERR308406,0.0024829123,0.0019610918,4.5212477e-05,0.00088577624,0.00037476182,0.00048169203,0.9933405,0.00042801854,0.0
ERR309001,0.0018841637,0.0027419478,4.044274e-05,0.00090446055,0.00045276646,0.0005491878,0.99305874,0.00036828977,0.0
ERR308287,0.0023485767,0.0022063155,4.5808472e-05,0.0008554736,0.00038395953,0.0004967084,0.9932536,0.00040957073,0.0
ERR309522,0.0017293771,0.002796257,3.9536404e-05,0.00097061956,0.00051321933,0.00057204836,0.99301237,0.00036656394,0.0
ERR309302,0.0020404728,0.002507608,4.1741347e-05,0.00089763774,0.00042817974,0.00052899274,0.9931732,0.00038213635,0.0
ERR309666,0.0024369182,0.0020225835,4.472045e-05,0.0008851724,0.00037953397,0.0004871217,0.99332255,0.00042144972,0.0
ERR308687,0.0020864748,0.0024204275,4.1897696e-05,0.00090176763,0.00042183345,0.00052385963,0.99321574,0.0003880034,0.0
ERR309022,0.001445055,0.0028723478,5.204507e-05,0.00077703595,0.00025841594,0.00047966838,0.9874097,0.00040113926,0.0063046217
ERR309425,0.0020908925,0.0024234676,4.1880572e-05,0.00089972134,0.00042334225,0.0005235793,0.9932063,0.0003907935,0.0
ERR309626,0.0024351946,0.0020240694,4.4757784e-05,0.0008838744,0.00037915207,0.00048712824,0.993324,0.0004218424,0.0
ERR308365,0.002347501,0.0021132482,4.4102522e-05,0.0008884818,0.0003891611,0.0004953907,0.9933092,0.00041289008,0.0
ERR308620,0.002154807,0.0020715734,4.3936943e-05,0.0008591871,0.00040681084,0.00048009102,0.9935016,0.0004819983,0.0
ERR309670,0.0023154884,0.0020794997,4.445725e-05,0.0008959531,0.0003934237,0.0004957996,0.9933547,0.00042067035,0.0
ERR308982,0.0016977787,0.0033349395,4.1420568e-05,0.00081551075,0.00046545267,0.0005942583,0.99242836,0.00035953522,0.00026273727
ERR308464,0.0023205823,0.0021171938,4.3932003e-05,0.00089153304,0.00039662397,0.00049630844,0.9933154,0.00041832947,0.0
ERR308396,0.002295129,0.002166325,4.3637614e-05,0.00088974804,0.0003956123,0.00050032884,0.99329954,0.00040972535,0.0
ERR309268,0.0025930014,0.0018779289,4.5903926e-05,0.0008791071,0.00036375716,0.00047299446,0.9933304,0.00043685985,0.0
ERR308296,0.0023834594,0.002078687,4.4374454e-05,0.00088570686,0.00038470936,0.00049230416,0.9933144,0.00041635663,0.0
ERR309541,0.0022805547,0.0020953084,4.5031225e-05,0.00093647663,0.00042830015,0.00051547313,0.99325997,0.00043890267,0.0
ERR309061,0.0025455244,0.0019206405,4.5537505e-05,0.00088099303,0.0003688044,0.000477243,0.9933291,0.00043214706,0.0
ERR309367,6.984334e-05,0.89492977,0.000107897606,5.8550177e-05,0.00082686543,0.0014486313,0.070470124,8.680998e-06,0.032079637
ERR308857,0.0025421965,0.0019242765,4.550696e-05,0.00088117376,0.0003691327,0.00047760134,0.9933285,0.00043158254,0.0
ERR309331,0.0007521212,0.0027680397,3.0009782e-05,0.0008363724,0.000698328,0.0003143549,0.6262027,0.00018152595,0.3682165
ERR309817,0.0022921562,0.002120465,4.3536904e-05,0.0008893311,0.0004222691,0.0005019605,0.9932803,0.00043281913,1.7225742e-05
ERR309135,0.002587793,0.0018845963,4.584995e-05,0.0008793156,0.0003648585,0.00047370887,0.993328,0.00043593717,0.0
ERR309029,0.0022494935,0.0022202542,4.3240616e-05,0.00089322904,0.00039991195,0.0005055547,0.9932853,0.00040297883,0.0
ERR309795,0.0019542277,0.0024340153,4.4321816e-05,0.0008485913,0.00042510033,0.00052946806,0.99277914,0.00040653348,0.0005786419
ERR309198,0.0020851132,0.0023090937,4.2923177e-05,0.0009132889,0.0004207045,0.000518292,0.9933143,0.00039624807,0.0
ERR309253,4.0420236e-06,0.9984054,4.975559e-06,0.00037929416,3.9413197e-05,8.359943e-05,5.588741e-05,1.5757325e-06,0.0010257959
ERR308643,0.0024813283,0.001962605,4.5216933e-05,0.0008869053,0.00037565394,0.00048231595,0.99333745,0.000428464,0.0
ERR309742,0.001924649,0.0026620624,4.0445386e-05,0.00090926496,0.00044541445,0.0005432835,0.99310344,0.00037152122,0.0
ERR309323,0.0024936327,0.001968496,4.515473e-05,0.0008828583,0.00037385587,0.0004819136,0.9933272,0.00042696192,0.0
ERR309298,4.4473586e-06,0.00036638975,1.1991767e-05,0.00014588237,0.00019678473,0.0001950264,7.117803e-05,1.4473042e-05,0.9989938
ERR309349,0.0021959245,0.0022778213,4.267732e-05,0.00085505843,0.00047460198,0.00050765276,0.9928919,0.00045627356,0.00029808283
ERR309373,0.0019446167,0.0026276093,4.062804e-05,0.00090836344,0.0004420152,0.0005404791,0.9931231,0.00037324536,0.0
ERR308496,0.0018292964,0.0025463402,4.1628475e-05,0.000906229,0.00050219893,0.0005415082,0.9928794,0.00042280555,0.00033062696
ERR1598458,6.5584245e-06,0.9991506,9.017042e-06,0.0005728635,4.6379806e-05,0.0001118862,0.00010016175,2.5492818e-06,0.0
ERR1598797,1.5042858e-05,0.9986913,1.9733694e-05,0.0008560468,7.3468866e-05,0.0001519148,0.00018657354,5.951543e-06,0.0
ERR1599539,9.492458e-06,0.99883115,1.3335594e-05,0.00079358934,5.576586e-05,0.00013481609,0.00015810439,3.7481457e-06,0.0
ERR1598681,2.2871165e-05,0.99871963,3.1789554e-05,0.0006753768,0.00014126442,0.0002365427,0.00016136847,1.1123579e-05,0.0
ERR1598244,5.8145556e-06,0.99859905,7.3404376e-06,0.000446558,4.298596e-05,9.681089e-05,7.376202e-05,2.243929e-06,0.00072544813
ERR1599515,1.3605997e-05,0.9987958,1.6932194e-05,0.00059211254,9.343986e-05,0.00017488003,0.00012059713,6.7135375e-06,0.00018590689
ERR1599036,1.7986416e-05,0.99885315,2.2069218e-05,0.0006573315,0.0001124728,0.00017988432,0.0001489304,8.219921e-06,0.0
ERR1599289,1.081113e-05,0.9989646,1.41806895e-05,0.0006501343,6.709899e-05,0.00014813563,0.00014122343,3.8090739e-06,0.0
ERR1598978,4.7143285e-06,0.99866307,5.9822414e-06,0.0004082322,3.8243994e-05,9.33345e-05,6.328085e-05,1.7155287e-06,0.000721395
ERR1599096,1.3035288e-05,0.99851036,1.8383316e-05,0.0009998002,6.576334e-05,0.00015880476,0.0002284288,5.311119e-06,0.0
ERR1598778,1.0033042e-05,0.9990474,1.5373005e-05,0.0005281691,6.882873e-05,0.00016789263,0.00015946076,2.8048646e-06,0.0
