,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections,Unknown
ERR209762,0.19891259,0.017036289,0.04508227,0.0192886,0.71968025
SRR961737,0.03276077,0.01731205,0.01969254,0.010201573,0.9200331
ERR209132,0.03381133,0.017639786,0.019537747,0.010034591,0.91897655
SRR5495972,0.7293635,0.015193939,0.052826136,0.08390328,0.11871314
SRR5648888,0.03276047,0.0173136,0.019694686,0.010201871,0.9200294
SRR5866284,0.0350163,0.018058985,0.01936379,0.009841949,0.917719
SRR5399234,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
SRR5399237,0.2875335,0.011226356,0.045393884,0.55230105,0.10354519
SRR5983412,0.4676236,0.01706022,0.049149245,0.0366188,0.42954814
ERR209412,0.03294894,0.017384619,0.019701004,0.010185689,0.9197798
SRR5079174,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
ERR525914,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
SRR1999154,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
SRR5079166,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
SRR6182360,0.032930195,0.017383486,0.019685388,0.010174483,0.91982645
SRR6251482,0.53605646,0.013442993,0.055595696,0.06704211,0.32786274
SRR5078869,0.7206654,0.014633238,0.053446174,0.08654791,0.12470728
SRR5803659,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
SRR6265396,0.03276062,0.01731217,0.01969254,0.010201395,0.9200333
SRR5078585,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
SRR5548739,0.32317722,0.023011863,0.041909546,0.014392883,0.5975085
SRR6264793,0.03276041,0.01731205,0.01969248,0.010201454,0.9200336
SRR6683695,0.032817245,0.017304689,0.01969719,0.010220289,0.9199606
SRR5648933,0.044551075,0.020611376,0.017953277,0.008581489,0.9083028
SRR6182413,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
SRR6724522,0.17848995,0.04142931,0.013743222,0.0045823753,0.7617551
SRR1693225,0.7305631,0.015248805,0.052350163,0.086091906,0.11574602
SRR6901784,0.03276688,0.017314762,0.019693762,0.010201424,0.9200232
ERR209405,0.03278497,0.017322242,0.019695193,0.010200083,0.9199975
ERR209349,0.0415034,0.01935795,0.019017965,0.009347737,0.9107729
ERR209492,0.036845088,0.018469721,0.019209921,0.009657741,0.9158175
SRR5802255,0.032770395,0.017316073,0.01969266,0.010200202,0.9200207
ERR718998,0.032767057,0.017315269,0.019693851,0.010201126,0.9200227
SRR7507688,0.032768756,0.017321676,0.019700497,0.010201544,0.9200075
SRR6724500,0.1257875,0.24642467,0.08336106,0.0109087825,0.53351796
SRR5602015,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
SRR1765912,0.08597967,0.01688996,0.031484067,0.014314622,0.8513317
SRR5648952,0.03527865,0.0170016,0.019892126,0.011053145,0.9167745
ERR321575,0.032765985,0.01731518,0.019694328,0.010201395,0.9200231
SRR6265066,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
SRR5802230,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
ERR720086,0.032846063,0.017344534,0.01969114,0.010191172,0.9199271
ERR209693,0.6546926,0.016539812,0.05081585,0.059737414,0.21821427
SRR3400426,0.7326888,0.01507315,0.05266437,0.084067434,0.11550617
ERR720147,0.03288749,0.017353326,0.019673139,0.010179907,0.91990614
SRR5079011,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
ERR719643,0.03325486,0.017454028,0.019612342,0.010121286,0.91955745
SRR6264544,0.03276044,0.01731205,0.019692421,0.010201395,0.9200337
SRR5648965,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
SRR5202948,0.032760352,0.017312229,0.019692719,0.010201484,0.9200332
ERR719821,0.033192247,0.017284691,0.019719481,0.010312945,0.91949064
SRR6265456,0.0330438,0.017398298,0.019643486,0.010152876,0.91976154
SRR5757816,0.28886825,0.0113686025,0.045633793,0.5513017,0.10282767
ERR209465,0.03281349,0.017331094,0.019687533,0.010193229,0.9199747
SRR5601964,0.033367544,0.017340839,0.019702435,0.0102752745,0.9193139
SRR5602016,0.03276041,0.01731205,0.01969248,0.010201454,0.9200336
SRR5761756,0.032763034,0.01731357,0.019694358,0.01020214,0.9200269
ERR1637219,0.7326888,0.01507315,0.05266437,0.084067434,0.11550617
ERR526023,0.3244545,0.022978723,0.041942537,0.014481217,0.596143
SRR5429096,0.17418495,0.006960869,0.077810585,0.09297302,0.6480706
SRR5757991,0.20764399,0.015345365,0.025642514,0.38670135,0.36466682
SRR5580504,0.062482923,0.016162872,0.020541012,0.027160645,0.8736526
SRR5580641,0.03276059,0.017312616,0.019693345,0.010201722,0.9200317
SRR6182428,0.0416255,0.019769788,0.018383056,0.008971006,0.91125065
SRR5091537,0.36076498,0.019152194,0.046110958,0.023019016,0.55095285
SRR5218366,0.7326888,0.01507315,0.05266437,0.084067404,0.11550623
ERR209323,0.254354,0.020124733,0.042846262,0.016211689,0.6664633
SRR5078767,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
SRR7423252,0.033075064,0.017416835,0.01964724,0.010149717,0.9197111
SRR7507450,0.709051,0.015240818,0.0524756,0.0781351,0.1450975
SRR5983472,0.7326865,0.015073091,0.05266452,0.08406791,0.11550796
SRR5758174,0.28455698,0.01135096,0.044487208,0.5469457,0.11265916
SRR5650061,0.7325142,0.015116662,0.052595884,0.08450094,0.1152724
SRR5903353,0.033507347,0.01753202,0.019576252,0.010082364,0.919302
SRR5602062,0.03276056,0.01731214,0.019692719,0.010201544,0.92003304
SRR5580419,0.057231575,0.015250027,0.022871703,0.019759178,0.8848875
SRR1763600,0.65125626,0.015332192,0.052214712,0.06717679,0.21402001
ERR525882,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
SRR5947832,0.17584166,0.01882708,0.037806362,0.01583442,0.7516905
ERR719722,0.07368523,0.018777758,0.024864852,0.011886209,0.87078595
SRR7690157,0.7323299,0.015068144,0.05267167,0.08406639,0.11586392
SRR6264100,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
SRR5078581,0.032782376,0.017319858,0.019696027,0.010201782,0.91999996
SRR5079151,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
SRR6474243,0.317443,0.020855337,0.044105142,0.017828643,0.59976786
SRR1999202,0.032759637,0.017313838,0.019695044,0.010201871,0.92002964
ERR719996,0.032769263,0.017315835,0.019693404,0.010200739,0.92002076
SRR5580652,0.048458844,0.016144186,0.020213306,0.01690495,0.8982787
SRR6265001,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
SRR7464971,0.6378312,0.01235497,0.058341235,0.096536756,0.1949358
SRR6182450,0.033987015,0.017677307,0.019484937,0.009999007,0.91885173
SRR5813434,0.04702118,0.021124482,0.017850488,0.008422703,0.9055811
SRR5429198,0.07704726,0.008737057,0.069146514,0.03720036,0.80786884
SRR5803631,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
ERR634980,0.6882255,0.015354097,0.05239454,0.073682845,0.17034298
SRR5757800,0.28767622,0.011231542,0.045388192,0.55220777,0.10349631
SRR6264057,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
SRR5343126,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
ERR720185,0.03276083,0.01731342,0.019694328,0.010201901,0.9200295
SRR6331045,0.03276044,0.01731205,0.01969248,0.010201395,0.92003363
SRR6264744,0.03276044,0.01731205,0.019692421,0.010201454,0.92003363
SRR6265386,0.0327619,0.017312586,0.019692898,0.010201633,0.92003095
SRR5983413,0.46223122,0.019890428,0.04609567,0.027411163,0.44437152
ERR011150,0.03439173,0.017781496,0.019447625,0.00995034,0.9184288
SRR5649002,0.032827318,0.017303646,0.019697934,0.010223389,0.91994774
SRR5203213,0.03276038,0.01731205,0.01969254,0.010201395,0.92003363
ERR525959,0.0327605,0.017312318,0.019692779,0.010201424,0.920033
SRR5079031,0.03276041,0.01731205,0.01969251,0.010201454,0.9200336
