,root:Diseases:Digestive System Diseases,root:Diseases:Hemic and Lymphatic Diseases,root:Infections:Bacterial Infections and Mycoses,Unknown
ERR209762,0.20205104,0.018990159,0.010796517,0.76816225
SRR961737,0.049917877,0.012868077,0.010341585,0.9268725
ERR209132,0.051295847,0.012953371,0.010360301,0.9253905
SRR5495972,0.77900827,0.09812522,0.013301879,0.10956466
SRR5648888,0.049911052,0.012867212,0.010332584,0.9268892
SRR5866284,0.051000625,0.012945414,0.010343969,0.92570996
SRR5399234,0.049905717,0.012866974,0.010332555,0.9268948
SRR5399237,0.0354183,0.16738686,0.7837747,0.013420165
SRR5983412,0.4745348,0.029382914,0.01198858,0.48409373
ERR209412,0.051374137,0.012952119,0.010426044,0.92524767
SRR5079174,0.0499056,0.012866944,0.010332555,0.9268949
ERR525914,0.0499056,0.012866944,0.010332555,0.9268949
SRR1999154,0.0499056,0.012866944,0.010332555,0.9268949
SRR5079166,0.0499056,0.012866944,0.010332555,0.9268949
SRR6182360,0.049916357,0.0128674805,0.010332584,0.9268836
SRR6251482,0.74117714,0.081769794,0.012871087,0.164182
SRR5078869,0.6286785,0.03314966,0.011967599,0.32620424
SRR5803659,0.0499056,0.012866944,0.010332555,0.9268949
SRR6265396,0.049907744,0.012867063,0.010333151,0.92689204
SRR5078585,0.049906135,0.012866974,0.010332555,0.9268943
SRR5548739,0.78444135,0.100305945,0.013189197,0.10206354
SRR6264793,0.0499056,0.012866944,0.010332555,0.9268949
SRR6683695,0.05031416,0.012964278,0.011735082,0.9249865
SRR5648933,0.12551096,0.015715152,0.010502726,0.84827113
SRR6182413,0.055795163,0.014443129,0.07395786,0.85580385
SRR6724522,0.7844413,0.100305915,0.013189197,0.102063596
SRR1693225,0.78399384,0.1002436,0.013197869,0.10256469
SRR6901784,0.050048172,0.01287511,0.010341287,0.9267354
ERR209405,0.050363034,0.012891978,0.010339171,0.9264058
ERR209349,0.060398847,0.013691485,0.01046145,0.9154482
ERR209492,0.05408746,0.013162136,0.010416627,0.9223338
SRR5802255,0.050242394,0.012887746,0.010380268,0.9264896
ERR718998,0.04999143,0.012871563,0.010332942,0.92680407
SRR7507688,0.049978197,0.012870818,0.010333091,0.9268179
SRR6724500,0.7798152,0.09934163,0.013169885,0.10767329
SRR5602015,0.049905658,0.012866944,0.010332555,0.92689484
SRR1765912,0.25364834,0.020118535,0.01081568,0.71541744
SRR5648952,0.053632915,0.0137524605,0.031185955,0.9014287
ERR321575,0.050102115,0.0128775835,0.010333687,0.92668664
