,root:baby_birth:cesarean_section,root:baby_birth:vaginal_delivery,root:baby_fourthmonth:cesarean_section,root:baby_fourthmonth:vaginal_delivery,Unknown
ERR525753,0.3818255,0.13832378,0.21259096,0.16529876,0.10196096
ERR525804,0.38182715,0.13837269,0.21254307,0.1652475,0.102009594
ERR525879,0.3120224,0.21657452,0.15800825,0.26744515,0.045949757
ERR525928,0.38182563,0.13832453,0.21258944,0.1652987,0.10196167
ERR525948,0.40587357,0.17818362,0.0835146,0.27547142,0.056956768
ERR525963,0.19146472,0.12826481,0.18311116,0.49715927,0.0
ERR526027,0.40580907,0.17818931,0.08357385,0.27542356,0.057004213
ERR526035,0.31201643,0.21657756,0.1580148,0.26744604,0.045945168
ERR526051,0.38182557,0.13832402,0.21259046,0.16529885,0.101961136
ERR525735,0.19138107,0.12830928,0.18319063,0.49711898,0.0
ERR525744,0.19143455,0.12828085,0.18313979,0.4971448,0.0
ERR525773,0.1914632,0.1282656,0.1831126,0.49715856,0.0
ERR525797,0.3818255,0.13832378,0.21259096,0.16529876,0.10196096
ERR525807,0.41980797,0.119384676,0.13102598,0.32978132,0.0
ERR525845,0.3990152,0.18142575,0.08717874,0.27400133,0.058378935
ERR525853,0.19146214,0.12826619,0.18311362,0.49715805,0.0
ERR525913,0.3971269,0.08544151,0.11229031,0.40514123,0.0
ERR525921,0.41980797,0.119384676,0.13102598,0.32978132,0.0
ERR525946,0.3818267,0.13832772,0.21257845,0.16530272,0.101964355
ERR525724,0.41980714,0.11938475,0.13102615,0.329782,0.0
ERR525878,0.40630573,0.17801616,0.08357471,0.275677,0.056426406
ERR525883,0.3352541,0.37589198,0.19118217,0.097671695,0.0
ERR525892,0.37892103,0.29354364,0.12942398,0.080706656,0.1174047
ERR525894,0.19139984,0.12829931,0.18317276,0.497128,0.0
ERR525966,0.34804392,0.2710064,0.14057079,0.086695105,0.15368378
ERR526046,0.39699203,0.08566907,0.112398334,0.40494058,0.0
ERR526074,0.3352541,0.37589198,0.19118217,0.097671695,0.0
ERR526030,0.34018308,0.32840452,0.20830393,0.117453694,0.005654812
ERR526034,0.40234548,0.17135268,0.09723273,0.25570524,0.0733639
