,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525712,0.3371283,0.59773076,0.06514094,0.0
ERR525831,0.5869495,0.39200443,0.021046026,0.0
ERR525835,0.613075,0.2545123,0.13241269,0.0
ERR525859,0.13920228,0.2593979,0.60139984,0.0
ERR525875,0.10159031,0.37354988,0.5248598,0.0
ERR525895,0.21139784,0.21567029,0.5729318,0.0
ERR525901,0.592962,0.38665593,0.020382065,0.0
ERR525919,0.3371283,0.59773076,0.06514094,0.0
ERR526063,0.1280458,0.20799887,0.6639553,0.0
ERR525704,0.06429553,0.5936323,0.34207216,0.0
ERR525777,0.12297492,0.5917522,0.28527293,0.0
ERR525793,0.3371283,0.59773076,0.06514094,0.0
ERR525802,0.52517796,0.44590998,0.028912004,0.0
ERR525857,0.24019563,0.5874779,0.077433676,0.09489274
ERR525933,0.43182966,0.501133,0.04466313,0.022374213
ERR526037,0.14089829,0.63921213,0.11020213,0.10968745
ERR526065,0.07733844,0.5844848,0.3381767,0.0
ERR525805,0.51631594,0.32255653,0.1611275,0.0
ERR525917,0.37298393,0.36081722,0.2661988,0.0
ERR525749,0.3814674,0.44297874,0.17555377,0.0
ERR525774,0.6744032,0.21575785,0.10983896,0.0
ERR525818,0.606872,0.309783,0.08334501,0.0
ERR525822,0.67750794,0.20760286,0.11488919,0.0
ERR525914,0.6267121,0.3124825,0.060805403,0.0
ERR525966,0.558809,0.37072355,0.07046747,0.0
ERR526042,0.6258198,0.30449238,0.069687806,0.0
ERR526066,0.6258198,0.30449238,0.069687806,0.0
ERR525814,0.3371283,0.59773076,0.06514094,0.0
ERR525938,0.10159031,0.37354988,0.5248598,0.0
