,root:Diseases:Digestive System Diseases,root:Diseases:Hemic and Lymphatic Diseases,root:Infections:Bacterial Infections and Mycoses,Unknown
SRR5650076,0.84690046,0.008294672,0.033112735,0.11169207
SRR6265329,0.008930504,0.0017886758,0.0025983155,0.98668253
SRR1687067,0.10054293,0.0016120672,0.0031956732,0.8946493
SRR6264562,0.01174733,0.0019467175,0.0063025355,0.9800034
SRR5813185,0.16090226,0.0013307631,0.008377761,0.8293892
SRR5202972,0.12726325,0.00022917986,0.09668571,0.77582186
SRR5649070,0.025018126,0.001581341,0.0042708814,0.9691297
SRR7507531,0.009921908,0.0020282865,0.002532363,0.98551744
SRR6265219,0.009431779,0.0020883083,0.0041472316,0.9843327
SRR5202933,0.009543985,0.002200842,0.0038645566,0.9843906
SRR5091485,0.074584246,0.0014882386,0.0088302195,0.9150973
ERR720197,0.009269834,0.001963079,0.003489554,0.98527753
ERR209427,0.01178211,0.0018914044,0.0047413707,0.98158514
SRR5078601,0.008976877,0.0017732382,0.0025787354,0.98667115
SRR5813274,0.06613785,0.0028449,0.0030748844,0.9279424
ERR719000,0.01096952,0.0019074976,0.004109025,0.983014
ERR209880,0.8566315,0.009683281,0.0047323704,0.12895286
SRR5629106,0.020168453,0.0024973452,0.0028814673,0.97445273
ERR526014,0.021590084,0.0014729798,0.008520156,0.9684168
SRR5399367,0.010291904,0.0032375157,0.01311928,0.9733513
SRR1763557,0.8997995,0.0073040724,0.019118369,0.07377803
SRR6474259,0.06338602,0.0013423562,0.006186217,0.9290854
SRR6264858,0.055900186,0.006961882,0.38683102,0.5503069
SRR6264264,0.011488378,0.0021660328,0.0032457113,0.9830999
SRR5934944,0.61594725,0.005970329,0.005696565,0.37238586
SRR5429315,0.048873544,0.8986799,0.052446563,0.0
ERR321249,0.13456973,0.005129665,0.2666204,0.5936802
SRR6182332,0.0093381405,0.001799494,0.0026063025,0.98625606
SRR5343106,0.009274453,0.0019342601,0.0033333004,0.985458
SRR5079117,0.008994758,0.0018007755,0.0025658011,0.98663867
ERR1823594,0.17164654,0.0030058622,0.0021563172,0.8231913
ERR719559,0.011829317,0.0028119087,0.006432891,0.9789259
SRR5802258,0.018562168,0.0010838807,0.0074608326,0.9728931
SRR5648786,0.06049925,0.011937171,0.002226293,0.9253373
ERR209095,0.02288279,0.0013893843,0.005349964,0.97037786
SRR5802268,0.05775857,0.00062566996,0.004024416,0.9375913
SRR7507497,0.016289413,0.0023469627,0.003397137,0.9779665
SRR1009071,0.95117426,0.008483648,0.038718015,0.0016241074
SRR5078860,0.00887838,0.0017591119,0.0025022328,0.9868603
SRR6265085,0.047792077,0.0020687878,0.15057257,0.79956657
