,mean,std
725,2.113382834068034e-06,6.020039290888235e-05
726,0.3785613775253296,0.248774915933609
727,0.03539779782295227,0.08125963807106018
728,0.0,0.0
729,0.3785613775253296,0.248774915933609
730,0.03539779782295227,0.08125963807106018
731,0.01674559712409973,0.042367469519376755
732,0.3785613775253296,0.248774915933609
733,0.03539779782295227,0.08125963807106018
734,0.002613714197650552,0.018633773550391197
735,0.3785613775253296,0.248774915933609
736,0.03539779782295227,0.08125963807106018
737,0.015964848920702934,0.06826943159103394
738,0.004933516029268503,0.040740128606557846
739,0.004933516029268503,0.040740128606557846
740,0.0,0.0
741,0.004933516029268503,0.040740128606557846
742,0.004933516029268503,0.040740128606557846
743,0.0,0.0
744,0.004933516029268503,0.040740128606557846
745,0.004933516029268503,0.040740128606557846
746,0.0,0.0
747,0.004933516029268503,0.040740128606557846
748,0.004933516029268503,0.040740128606557846
749,7.513455784646794e-05,0.001442241482436657
750,8.616229752078652e-05,0.001969915349036455
751,8.616229752078652e-05,0.001969915349036455
752,0.0,0.0
753,8.616229752078652e-05,0.001969915349036455
754,8.616229752078652e-05,0.001969915349036455
755,8.616229752078652e-05,0.001969915349036455
756,1.0152908544114325e-05,7.821952021913603e-05
757,0.0,0.0
758,0.0,0.0
759,0.0,0.0
760,0.0,0.0
761,0.0,0.0
762,7.52616033423692e-05,0.0010519326897338033
763,5.985955795040354e-05,0.001014450564980507
764,0.0,0.0
765,7.52616033423692e-05,0.0010519326897338033
766,5.985955795040354e-05,0.001014450564980507
767,0.0,0.0
768,7.52616033423692e-05,0.0010519326897338033
769,5.985955795040354e-05,0.001014450564980507
770,5.985955795040354e-05,0.001014450564980507
771,7.52616033423692e-05,0.0010519326897338033
772,0.0,0.0
773,0.0,0.0
774,1.8761684259516187e-05,0.0003388307522982359
775,1.8761684259516187e-05,0.0003388307522982359
776,1.205454464070499e-05,0.00024024689628276974
777,0.0002061318518826738,0.004962378181517124
778,0.0,0.0
779,0.0,0.0
780,0.0002061318518826738,0.004962378181517124
781,0.0,0.0
782,0.0,0.0
783,0.0002061318518826738,0.004962378181517124
784,2.0613197193597443e-05,0.0004351286625023931
785,0.0,0.0
786,0.0002061318518826738,0.004962378181517124
787,0.0,0.0
788,0.0,0.0
