,root:Engineered:Food_production:Dairy_products,root:Environmental:Aquatic:Thermal_springs,root:Environmental:Terrestrial:Deep_subsurface,root:Environmental:Terrestrial:Soil,root:Host-associated:Birds:Digestive_system,root:Host-associated:Human:Digestive_system,root:Host-associated:Human:Reproductive_system,root:Host-associated:Human:Respiratory_system,root:Host-associated:Human:Skin,root:Host-associated:Mammals:Digestive_system,root:Host-associated:Mammals:Gastrointestinal_tract,root:Host-associated:Plants:Root,Unknown
ERR308395,2.1287137e-06,0.00061263214,0.00020382373,1.1480298e-06,8.916308e-05,0.0005296381,0.00031956297,0.00028315632,6.5761225e-05,0.9974317,0.00035906554,0.00010220746,0.0
ERR309771,1.5733426e-06,0.0005554681,0.00020101662,1.0371399e-06,8.119601e-05,0.0005596367,0.00027563484,0.00026286102,6.8271336e-05,0.99756014,0.00032247222,0.00011073123,0.0
ERR309110,1.5690827e-06,0.0005550815,0.00020113592,1.0363834e-06,8.113864e-05,0.0005601732,0.00027572442,0.00026277194,6.829941e-05,0.9975597,0.00032244276,0.000110867004,0.0
ERR309299,1.7015003e-06,0.0005696579,0.00020460405,1.0629698e-06,8.409697e-05,0.0005601899,0.0002780257,0.0002682302,6.801605e-05,0.997529,0.00032661617,0.000108853346,0.0
ERR308516,1.5686397e-06,0.0005538054,0.00020042282,1.0386384e-06,8.096249e-05,0.0005605646,0.0002750119,0.0002628335,6.82798e-05,0.9975629,0.00032190923,0.00011073999,0.0
ERR309101,1.7290431e-06,0.0005723005,0.00020531601,1.0678343e-06,8.449183e-05,0.0005605103,0.00027891537,0.00026995366,6.79157e-05,0.9975218,0.00032729685,0.00010862777,0.0
ERR308370,8.007977e-07,7.380003e-07,1.029994e-05,6.2489846e-05,5.477357e-06,0.9783352,0.0016751541,0.00046866832,0.00036125776,0.018731164,0.00020334464,0.00014539868,0.0
ERR308528,1.5694848e-06,0.0005551409,0.00020119539,1.0364445e-06,8.11534e-05,0.00056020275,0.00027563501,0.00026280162,6.83042e-05,0.99755967,0.00032241287,0.000110888956,0.0
ERR308287,1.6778889e-06,0.0005665421,0.00020398253,1.0577692e-06,8.3384395e-05,0.00056082546,0.00027728642,0.00026832442,6.809863e-05,0.9975341,0.00032528234,0.000109376895,0.0
ERR309253,7.7856004e-07,8.126162e-08,3.174644e-05,4.668125e-05,1.1739443e-05,0.995119,0.001553297,0.00029179454,1.974489e-05,0.0010715127,0.0006673932,1.1409487e-05,0.0011748075
ERR308669,1.5696993e-06,0.00055323966,0.00020054192,1.0431282e-06,8.104128e-05,0.0005617258,0.00027709623,0.00026265482,6.8352114e-05,0.99756086,0.00032134348,0.00011051126,0.0
ERR308363,1.5680499e-06,0.00055481493,0.00020086844,1.0360017e-06,8.108571e-05,0.0005597875,0.00027542736,0.00026256416,6.827645e-05,0.99756163,0.0003221756,0.00011079076,0.0
ERR308504,2.3192224e-06,0.00063045387,0.00020318595,1.1786562e-06,9.0772366e-05,0.0005246341,0.00033287847,0.0002826922,6.481358e-05,0.9974014,0.00036571088,0.00010003679,0.0
ERR309833,1.6032413e-06,0.0005586739,0.00020193608,1.0431626e-06,8.187471e-05,0.0005598054,0.00027607658,0.0002641069,6.8187226e-05,0.9975532,0.00032324065,0.00011024898,0.0
ERR309759,1.5745679e-06,0.00055561657,0.0002009867,1.0375408e-06,8.118534e-05,0.00055921945,0.00027625993,0.00026295014,6.825501e-05,0.9975594,0.00032276975,0.00011072586,0.0
ERR309144,1.5730936e-06,0.0005552607,0.00020071924,1.0381859e-06,8.114236e-05,0.0005594889,0.00027637975,0.00026286152,6.826691e-05,0.99756014,0.0003225026,0.00011060795,0.0
ERR309167,2.0504813e-06,0.0006102581,0.00020454066,1.1309662e-06,8.750439e-05,0.00054443954,0.00032683043,0.0002825346,6.680966e-05,0.99740916,0.0003582364,0.00010652884,0.0
